NELEC	10
ENUC	11.406077
NBASIS	13

OEI
2.489683	
4 1 0 0 -0.1291874
4 1 1 0 0.0042870
4 1 1 1 -0.0533275
4 1 2 0 -0.0028771
4 1 2 1 -0.0098168
4 1 2 2 -0.0115952
4 1 3 0 -0.0003435
4 1 3 1 -0.0015367
4 1 3 2 -0.0002976
4 1 3 3 -0.0248748
4 1 4 0 0.0015603
4 1 4 1 0.0237021
4 1 4 2 -0.0111498
4 1 4 3 -0.0025505
4 1 4 4 -0.0383240
4 2 0 0 -0.1049061
4 2 1 0 0.0007387
4 2 1 1 -0.0705565
4 2 2 0 0.0027861
4 2 2 1 0.0192917
4 2 2 2 -0.0434810
4 2 3 0 0.0000248
4 2 3 1 -0.0015062
4 2 3 2 -0.0009128
4 2 3 3 -0.0414125
4 2 4 0 -0.0035955
4 2 4 1 -0.0111498
4 2 4 2 0.0101913
4 2 4 3 -0.0011984
4 2 4 4 -0.0205141
4 3 0 0 0.0021703
4 3 1 0 -0.0001000
4 3 1 1 -0.0010267
4 3 2 0 0.0000452
4 3 2 1 -0.0005815
4 3 2 2 -0.0015562
4 3 3 0 0.0004359
4 3 3 1 0.0135072
4 3 3 2 0.0100815
4 3 3 3 0.0027445
4 3 4 0 -0.0003007
4 3 4 1 -0.0025505
4 3 4 2 -0.0011984
4 3 4 3 0.0223113
4 3 4 4 0.0022565
4 4 0 0 0.7281360
4 4 1 0 -0.0096299
4 4 1 1 0.4824622
4 4 2 0 0.0014938
4 4 2 1 -0.0113799
4 4 2 2 0.4728646
4 4 3 0 0.0004009
4 4 3 1 -0.0044204
4 4 3 2 0.0025667
4 4 3 3 0.4297812
4 4 4 0 0.0033262
4 4 4 1 -0.0383240
4 4 4 2 -0.0205141
4 4 4 3 0.0022565
4 4 4 4 0.5866241
5 0 0 0 0.0198029
5 0 1 0 0.0006710
5 0 1 1 0.0116585
5 0 2 0 0.0006528
5 0 2 1 0.0027427
5 0 2 2 0.0005124
5 0 3 0 -0.0000126
5 0 3 1 -0.0000385
5 0 3 2 -0.0007336
5 0 3 3 0.0033034
5 0 4 0 -0.0004991
5 0 4 1 -0.0013748
5 0 4 2 0.0007402
5 0 4 3 -0.0000449
5 0 4 4 0.0003367
5 0 5 0 0.0006527
5 0 5 1 0.0021521
5 0 5 2 -0.0012567
5 0 5 3 -0.0014155
5 0 5 4 0.0001418
5 0 5 5 0.0097969
5 1 0 0 0.0550405
5 1 1 0 -0.0021518
5 1 1 1 0.0199223
5 1 2 0 0.0032030
5 1 2 1 0.0122590
5 1 2 2 0.0015459
5 1 3 0 0.0002761
5 1 3 1 -0.0125374
5 1 3 2 -0.0111877
5 1 3 3 -0.0039663
5 1 4 0 -0.0004863
5 1 4 1 -0.0066867
5 1 4 2 -0.0035665
5 1 4 3 -0.0058076
5 1 4 4 0.0077024
5 1 5 0 0.0021521
5 1 5 1 0.0160148
5 1 5 2 0.0061128
5 1 5 3 0.0006776
5 1 5 4 -0.0005170
5 1 5 5 0.0403699
5 2 0 0 0.1068760
5 2 1 0 -0.0002942
5 2 1 1 0.0791819
5 2 2 0 -0.0038126
5 2 2 1 -0.0169259
5 2 2 2 0.0318325
5 2 3 0 -0.0015589
5 2 3 1 -0.0175491
5 2 3 2 -0.0067251
5 2 3 3 0.0474870
5 2 4 0 0.0006565
5 2 4 1 0.0013079
5 2 4 2 0.0154181
5 2 4 3 -0.0039333
5 2 4 4 0.0217063
5 2 5 0 -0.0012567
5 2 5 1 0.0061128
5 2 5 2 -0.0180380
5 2 5 3 -0.0024062
5 2 5 4 0.0076338
5 2 5 5 -0.0282058
5 3 0 0 0.0317794
5 3 1 0 -0.0000872
5 3 1 1 0.0079760
5 3 2 0 -0.0020831
5 3 2 1 -0.0145757
5 3 2 2 0.0144267
5 3 3 0 -0.0010922
5 3 3 1 -0.0096956
5 3 3 2 -0.0037235
5 3 3 3 0.0112904
5 3 4 0 0.0005172
5 3 4 1 -0.0011878
5 3 4 2 0.0021991
5 3 4 3 -0.0020695
5 3 4 4 0.0114728
5 3 5 0 -0.0014155
5 3 5 1 0.0006776
5 3 5 2 -0.0024062
5 3 5 3 0.0085785
5 3 5 4 0.0040580
5 3 5 5 0.0321775
5 4 0 0 -0.0452213
5 4 1 0 0.0007354
5 4 1 1 -0.0289076
5 4 2 0 0.0005764
5 4 2 1 0.0029540
5 4 2 2 -0.0121211
5 4 3 0 0.0004303
5 4 3 1 0.0011113
5 4 3 2 -0.0000321
5 4 3 3 -0.0202486
5 4 4 0 -0.0021168
5 4 4 1 -0.0047913
5 4 4 2 -0.0044647
