NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-182.296534
ENERGIES
-20.297663
-20.234850
-11.088220
-1.364066
-1.273256
-0.719453
-0.540031
-0.523141
-0.476666
-0.336978
-0.314620
0.351502
0.587699
0.803628
1.027648
1000000.439278

OEI
-36.148961	
1 1 1 1 4.7445676
2 0 0 0 0.0002002
2 0 1 0 0.0000007
2 0 1 1 0.0000214
2 0 2 0 0.0000006
2 0 2 1 0.0000005
2 0 2 2 0.0004980
2 1 0 0 0.0000424
2 1 1 0 0.0000085
2 1 1 1 -0.0019764
2 1 2 0 0.0000005
2 1 2 1 0.0000036
2 1 2 2 0.0004365
2 2 0 0 0.4009084
2 2 1 0 -0.0001944
2 2 1 1 0.4482049
2 2 2 0 0.0004980
2 2 2 1 0.0004365
2 2 2 2 3.5255787
3 0 0 0 0.3648225
3 0 1 0 0.0015321
3 0 1 1 -0.0008338
3 0 2 0 0.0000415
3 0 2 1 -0.0000001
3 0 2 2 -0.0007886
3 0 3 0 0.0446833
3 0 3 1 0.0001492
3 0 3 2 0.0000109
3 0 3 3 0.0083139
3 1 0 0 0.0012067
3 1 1 0 -0.0006939
3 1 1 1 0.1651926
3 1 2 0 0.0000004
3 1 2 1 -0.0000794
3 1 2 2 -0.0008783
3 1 3 0 0.0001492
3 1 3 1 0.0092440
3 1 3 2 -0.0000060
3 1 3 3 0.0003129
3 2 0 0 -0.0019161
3 2 1 0 -0.0000002
3 2 1 1 -0.0018132
3 2 2 0 0.0000446
3 2 2 1 0.0000437
3 2 2 2 0.1304132
3 2 3 0 0.0000109
3 2 3 1 -0.0000060
3 2 3 2 0.0083856
3 2 3 3 -0.0017955
3 3 0 0 0.8543326
3 3 1 0 0.0019393
3 3 1 1 0.3921930
3 3 2 0 -0.0000513
3 3 2 1 -0.0000136
3 3 2 2 0.5009331
3 3 3 0 0.0083139
3 3 3 1 0.0003129
3 3 3 2 -0.0017955
3 3 3 3 0.6002226
4 0 0 0 0.1909650
4 0 1 0 0.0007934
4 0 1 1 0.0016708
4 0 2 0 0.0000200
4 0 2 1 -0.0000009
4 0 2 2 -0.0001894
4 0 3 0 0.0234711
4 0 3 1 0.0001907
4 0 3 2 0.0000049
4 0 3 3 0.0044864
4 0 4 0 0.0124019
4 0 4 1 -0.0001440
4 0 4 2 0.0000130
4 0 4 3 0.0022057
4 0 4 4 0.0012390
4 1 0 0 0.0011169
4 1 1 0 0.0015317
4 1 1 1 -0.3610675
4 1 2 0 -0.0000001
4 1 2 1 0.0001720
4 1 2 2 0.0020354
4 1 3 0 0.0001896
4 1 3 1 -0.0201790
4 1 3 2 0.0000072
4 1 3 3 -0.0010160
4 1 4 0 -0.0001440
4 1 4 1 0.0441982
4 1 4 2 0.0000530
4 1 4 3 0.0031953
4 1 4 4 -0.0068897
4 2 0 0 -0.0031191
4 2 1 0 -0.0000417
4 2 1 1 0.0068040
4 2 2 0 -0.0000109
4 2 2 1 -0.0000478
