-------- parallel information --------
 # of process = 1
 # of threads = 24
 Buffer size  = 4096 (MB)
-------- input information -----------
 Input   = ./samples/O2.inp
--------------------------------------
nat = 2
=============== INPUT DATA (A) ================
 O     0.00000     0.00000     0.00000
 O     0.00000     0.00000     1.20800
===============================================
nelec = 16,  nocc = 8
nat=2, ncs=6, nao=10, nps=18
S-TYPE: [  0,   4)
P-TYPE: [  4,   6)
== allocd memory size in ofmo-scf.c =      0.005 MB
ncspair = 21, npspair = 189 
******************** cutoff results **********************
      :     NCS PAIR                   NPS PAIR           
cstype: surved/ total (  rate)     surved/   total (  rate)
 (S|S):     10/    10 (100.00)         87/      90 ( 96.67)
 (P|S):      8/     8 (100.00)         72/      72 (100.00)
 (P|P):      3/     3 (100.00)         27/      27 (100.00)
**********************************************************
etime (buffer int2e) =  0.009054
Enuc =     28.0358807544
scfd scfe eps_ps4 eps_sch eps_eri: 1.00e-05 1.00e-08 1.00e-20 1.00e-12 1.00e-15
Allocated memory in ofmo_diis =    0.008 MB
g_incore: 100000
AO : 9 3 9 3 | 0.180518
AO : 9 1 2 0 | -0.000000
AO : 9 1 0 0 | -0.293385
AO : 9 1 1 0 | -0.068117
AO : 9 1 1 1 | -0.237650
AO : 9 1 2 1 | -0.005256
AO : 9 1 2 2 | -0.214412
AO : 9 1 3 0 | -0.006883
AO : 9 1 3 1 | -0.072187
AO : 9 1 3 2 | -0.050493
AO : 9 1 3 3 | -0.192918
AO : 6 2 4 4 | 0.016566
AO : 6 2 5 5 | 0.016566
AO : 6 4 4 2 | 0.000038
AO : 6 5 5 2 | 0.000038
AO : 6 6 6 2 | 0.019558
AO : 6 3 4 4 | 0.184109
AO : 6 3 5 5 | 0.184109
AO : 6 4 4 3 | 0.007743
AO : 6 5 5 3 | 0.007743
AO : 6 6 6 3 | 0.210316
AO : 9 0 4 4 | -0.041637
AO : 9 0 5 5 | -0.041637
AO : 7 0 6 4 | 0.000102
AO : 8 0 6 5 | 0.000102
AO : 9 0 6 6 | -0.042039
AO : 9 1 4 4 | -0.231739
AO : 9 1 5 5 | -0.231739
AO : 7 1 6 4 | 0.006856
AO : 8 1 6 5 | 0.006856
AO : 9 1 6 6 | -0.249249
AO : 9 2 4 4 | -0.008098
AO : 9 2 5 5 | -0.008098
AO : 7 2 6 4 | 0.001545
AO : 8 2 6 5 | 0.001545
AO : 9 2 6 6 | -0.012053
AO : 9 3 4 4 | -0.098320
AO : 9 3 5 5 | -0.098320
AO : 7 3 6 4 | 0.015507
AO : 8 3 6 5 | 0.015507
AO : 9 3 6 6 | -0.125000
AO : 9 0 0 0 | -0.121787
AO : 9 0 1 0 | -0.022338
AO : 9 0 1 1 | -0.041769
AO : 9 0 2 1 | -0.000424
AO : 9 0 2 2 | -0.017668
AO : 9 0 3 0 | -0.002205
AO : 9 0 3 1 | -0.008573
AO : 9 0 3 2 | -0.004182
AO : 9 0 3 3 | -0.017575
AO : 7 7 4 4 | 0.398533
AO : 7 7 5 5 | 0.392167
AO : 7 7 6 6 | 0.440420
AO : 8 7 5 4 | 0.003183
AO : 8 8 4 4 | 0.392167
AO : 8 8 5 5 | 0.398533
