NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.839200
ENERGIES
-10.970801
-0.936664
-0.545290
-0.333738
0.463728
0.646541
0.710934
849736.462857
965066.258644
996477.931848
1070620.558257
1118093.893798

OEI
-18.565171	
0.211446	-4.621297	
-0.000000	0.000000	-4.237242	
-0.195123	0.118736	-0.000000	-4.305929	
0.119058	-0.142265	-0.000000	0.450661	-3.154904	
0.252823	-0.927428	0.000000	-0.139325	-0.001322	-3.927085	
0.000000	-0.000000	-0.784679	-0.000000	-0.000000	-0.000000	-3.523151	
-0.115705	-0.052182	0.000000	0.039043	0.000328	0.017830	-0.000000	849732.877661	
-0.000000	0.000000	0.128658	-0.000000	-0.000000	-0.000000	-0.023611	0.000000	965063.399996	
0.004993	0.022569	-0.000000	0.000912	-0.005540	0.013392	0.000000	0.001165	-0.000000	996474.700666	
-0.037903	-0.202145	0.000000	-0.065472	-0.132263	0.117045	0.000000	-0.146617	-0.000000	-0.137519	1070618.019416	
0.112410	0.073118	-0.000000	-0.130743	-0.001970	-0.000260	0.000000	0.833267	-0.000000	-0.038241	0.318899	1118090.206782	

ENV_OEI
-5.092250	
0.397934	-0.659095	
-0.000000	0.000000	-0.488486	
-0.379813	-0.117148	0.000000	-0.672972	
0.239143	-0.327044	0.000000	-0.186806	-0.864031	
0.515516	-0.046711	0.000000	0.209735	0.351406	-0.897872	
0.000000	0.000000	-0.140076	0.000000	0.000000	-0.000000	-0.512172	
-0.220526	-0.007681	-0.000000	0.029801	0.006669	0.050564	0.000000	-0.814104	
0.000000	-0.000000	-0.150279	-0.000000	0.000000	-0.000000	0.163349	-0.000000	-0.897737	
-0.014998	0.325723	-0.000000	0.669417	1.451636	-0.750774	-0.000000	0.148095	0.000000	-18.828035	
-0.055568	0.044224	-0.000000	0.025323	0.055127	-0.068040	-0.000000	0.060554	-0.000000	-1.708314	-0.861961	
0.210396	-0.020741	0.000000	0.027387	0.000653	-0.027650	-0.000000	-0.124714	-0.000000	-0.167158	0.000639	-0.696308	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.996694	0.016193	-0.006490	-0.006490	0.001353	-0.006650	-0.016622	0.000000	-0.023186	-0.002259	-0.000000	0.003188	
-0.138966	0.318776	0.249158	0.249158	-0.033380	-0.014975	-0.326097	-0.000000	-0.212100	0.358885	0.000000	0.061063	
0.000000	-0.000000	0.432883	-0.432883	0.000000	-0.000000	0.000000	-0.624351	0.000000	-0.000000	0.336162	-0.000000	
0.132176	-0.520549	-0.150791	-0.150791	-0.059617	0.259327	-0.511070	-0.000000	0.512462	0.379378	0.000000	-0.100882	
-0.081401	0.507542	-0.825171	-0.825171	-0.126259	0.763015	0.236327	-0.000000	-0.280868	0.703401	-0.000000	-0.038577	
-0.180629	1.108465	-0.544514	-0.544514	0.067141	-0.411112	-0.989434	0.000000	-0.072775	-0.647371	0.000000	-0.044190	
-0.000000	0.000000	-0.953177	0.953177	0.000000	-0.000000	-0.000000	-1.077796	0.000000	-0.000000	-0.332017	-0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049399	-0.203229	-0.000000	-0.573902	-0.025821	0.000000	0.799278	
0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	1.000000	-0.000000	
-0.000565	0.002600	0.000000	0.000000	1.025611	-0.216380	0.001361	0.000000	0.003845	0.105482	-0.000000	0.019655	
0.018948	-0.087231	-0.000000	-0.000000	0.019715	0.850777	-0.045686	-0.000000	-0.129013	-0.446528	-0.000000	-0.196306	
-0.081637	0.375835	0.000000	0.000000	-0.011611	0.229176	0.196837	0.000000	0.555851	-0.120150	0.000000	0.583417	

ERI
0 0 0 0 3.5237728
1 0 0 0 -0.1852023
1 0 1 0 0.0195129
1 0 1 1 0.0061257
1 1 0 0 0.6393579
1 1 1 0 0.0061257
1 1 1 1 0.5964992
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0096409
2 0 2 1 0.0108049
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0108049
2 1 2 1 0.0985544
2 1 2 2 -0.0000000
2 2 0 0 0.6559316
2 2 1 0 -0.0007699
2 2 1 1 0.5084254
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5405815
3 0 0 0 0.1724752
3 0 1 0 -0.0128141
3 0 1 1 0.0085913
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0038085
3 0 3 0 0.0250811
3 0 3 1 0.0073687
3 0 3 2 -0.0000000
3 0 3 3 -0.0090530
3 1 0 0 -0.0556907
3 1 1 0 0.0010033
3 1 1 1 0.0216789
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0227134
3 1 3 0 0.0073687
3 1 3 1 0.0595149
3 1 3 2 -0.0000000
3 1 3 3 -0.0395585
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0079045
3 2 2 1 -0.0431374
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0418354
3 2 3 3 0.0000000
3 3 0 0 0.7671305
3 3 1 0 -0.0063280
3 3 1 1 0.4850746
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4863431
3 3 3 0 -0.0090530
3 3 3 1 -0.0395585
3 3 3 2 0.0000000
3 3 3 3 0.6215233
4 0 0 0 -0.1070149
4 0 1 0 0.0084073
4 0 1 1 -0.0039334
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0024410
4 0 3 0 -0.0139208
4 0 3 1 -0.0030384
4 0 3 2 -0.0000000
4 0 3 3 0.0036716
4 0 4 0 0.0078923
4 0 4 1 0.0000508
4 0 4 2 -0.0000000
4 0 4 3 -0.0032042
4 0 4 4 -0.0002164
4 1 0 0 0.0390172
4 1 1 0 0.0008105
4 1 1 1 0.0339226
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0255512
4 1 3 0 -0.0001286
4 1 3 1 0.0266835
4 1 3 2 -0.0000000
4 1 3 3 0.0364498
4 1 4 0 0.0000508
4 1 4 1 0.0666111
4 1 4 2 0.0000000
4 1 4 3 0.0157476
4 1 4 4 0.0183199
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0018480
4 2 2 1 -0.0701286
4 2 2 2 0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 0.0207050
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0751091
4 2 4 3 -0.0000000
4 2 4 4 -0.0000000
4 3 0 0 -0.1646175
4 3 1 0 0.0058863
4 3 1 1 0.0283601
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 -0.0225636
4 3 3 0 0.0076749
4 3 3 1 0.0532129
4 3 3 2 -0.0000000
4 3 3 3 -0.0995544
4 3 4 0 -0.0032042
4 3 4 1 0.0157476
4 3 4 2 -0.0000000
4 3 4 3 0.0965495
4 3 4 4 0.0391744
4 4 0 0 0.5034546
4 4 1 0 0.0011035
4 4 1 1 0.5127224
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4664390
4 4 3 0 0.0005134
4 4 3 1 0.0230628
4 4 3 2 -0.0000000
4 4 3 3 0.4497833
4 4 4 0 -0.0002164
4 4 4 1 0.0183199
4 4 4 2 -0.0000000
4 4 4 3 0.0391744
4 4 4 4 0.5178353
5 0 0 0 -0.2373943
5 0 1 0 0.0273610
5 0 1 1 0.0119730
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0002695
5 0 3 0 -0.0099097
5 0 3 1 0.0053927
5 0 3 2 0.0000000
5 0 3 3 -0.0149887
5 0 4 0 0.0077726
5 0 4 1 0.0006478
5 0 4 2 -0.0000000
5 0 4 3 0.0129041
5 0 4 4 0.0014333
5 0 5 0 0.0425250
5 0 5 1 0.0039137
5 0 5 2 0.0000000
5 0 5 3 -0.0029291
5 0 5 4 0.0016231
5 0 5 5 0.0097496
5 1 0 0 0.2752703
5 1 1 0 0.0006582
5 1 1 1 0.0726341
5 1 2 0 -0.0000000
5 1 2 1 0.0000000
5 1 2 2 0.0693123
5 1 3 0 0.0080179
5 1 3 1 -0.0252808
5 1 3 2 0.0000000
5 1 3 3 0.0945563
5 1 4 0 -0.0040469
5 1 4 1 0.0046535
5 1 4 2 0.0000000
5 1 4 3 -0.0545471
5 1 4 4 -0.0036575
5 1 5 0 0.0039137
5 1 5 1 0.1098712
5 1 5 2 -0.0000000
5 1 5 3 0.0240241
5 1 5 4 0.0140450
5 1 5 5 0.1019001
5 2 0 0 -0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0058354
5 2 2 1 -0.0031376
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0014690
5 2 3 3 -0.0000000
5 2 4 0 0.0000000
5 2 4 1 -0.0000000
5 2 4 2 0.0223321
5 2 4 3 0.0000000
5 2 4 4 0.0000000
5 2 5 0 0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0290670
5 2 5 3 -0.0000000
5 2 5 4 0.0000000
5 2 5 5 -0.0000000
5 3 0 0 0.0534118
5 3 1 0 -0.0033226
5 3 1 1 -0.0206914
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 0.0121790
5 3 3 0 0.0034433
5 3 3 1 -0.0007415
5 3 3 2 -0.0000000
5 3 3 3 0.0158042
5 3 4 0 -0.0014490
5 3 4 1 -0.0256771
5 3 4 2 0.0000000
5 3 4 3 -0.0305943
5 3 4 4 -0.0228174
5 3 5 0 -0.0029291
5 3 5 1 0.0240241
5 3 5 2 -0.0000000
5 3 5 3 0.0425951
5 3 5 4 0.0111800
5 3 5 5 0.0003645
5 4 0 0 0.0003972
5 4 1 0 0.0013894
5 4 1 1 -0.0054135
5 4 2 0 -0.0000000
5 4 2 1 -0.0000000
5 4 2 2 0.0243508
5 4 3 0 -0.0007110
5 4 3 1 -0.0353945
5 4 3 2 0.0000000
5 4 3 3 -0.0165918
5 4 4 0 0.0004205
5 4 4 1 -0.0494664
5 4 4 2 0.0000000
5 4 4 3 -0.0195535
5 4 4 4 -0.0113160
5 4 5 0 0.0016231
5 4 5 1 0.0140450
5 4 5 2 0.0000000
5 4 5 3 0.0111800
5 4 5 4 0.0573344
5 4 5 5 -0.0151730
5 5 0 0 0.8014576
5 5 1 0 0.0013752
5 5 1 1 0.5817189
5 5 2 0 -0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.5097488
5 5 3 0 0.0183468
5 5 3 1 0.0253771
5 5 3 2 0.0000000
5 5 3 3 0.5059178
5 5 4 0 -0.0089782
5 5 4 1 0.0361357
5 5 4 2 0.0000000
5 5 4 3 0.0068721
5 5 4 4 0.4984772
5 5 5 0 0.0097496
5 5 5 1 0.1019001
5 5 5 2 -0.0000000
5 5 5 3 0.0003645
5 5 5 4 -0.0151730
5 5 5 5 0.6199867
