NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.113977
ENERGIES
-10.828821
-0.484079
-0.426932
-0.232675
0.586564
0.803143
0.919871
849736.658985
965066.593069
996478.297649
1070620.713655
1118094.141434

OEI
-18.388468	
3 3 3 1 0.0409798
3 3 3 2 0.0000000
3 3 3 3 0.5698679
4 0 0 0 0.2146355
4 0 1 0 0.0177816
4 0 1 1 0.0176612
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0000534
4 0 3 0 0.0122717
4 0 3 1 -0.0015536
4 0 3 2 -0.0000000
4 0 3 3 0.0041443
4 0 4 0 0.0250094
4 0 4 1 0.0026187
4 0 4 2 0.0000000
4 0 4 3 0.0002518
4 0 4 4 -0.0019322
4 1 0 0 0.0639944
4 1 1 0 0.0016215
4 1 1 1 0.0248167
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 -0.0025505
4 1 3 0 -0.0022240
4 1 3 1 0.0139889
4 1 3 2 0.0000000
4 1 3 3 0.0325463
4 1 4 0 0.0026187
4 1 4 1 0.0098939
4 1 4 2 -0.0000000
4 1 4 3 0.0215993
4 1 4 4 -0.0028234
4 2 0 0 0.0000000
4 2 1 0 0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0015048
4 2 2 1 -0.0295228
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0550019
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.1248019
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.1394840
4 3 1 0 0.0028545
4 3 1 1 0.0523791
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0075784
4 3 3 0 -0.0103575
4 3 3 1 0.0341299
4 3 3 2 0.0000000
4 3 3 3 0.0847876
4 3 4 0 0.0002518
4 3 4 1 0.0215993
4 3 4 2 0.0000000
4 3 4 3 0.0684547
4 3 4 4 0.0009891
4 4 0 0 0.5961451
4 4 1 0 0.0132713
4 4 1 1 0.3669513
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5118314
4 4 3 0 -0.0013724
4 4 3 1 0.0371181
4 4 3 2 0.0000000
4 4 3 3 0.4572770
4 4 4 0 -0.0019322
4 4 4 1 -0.0028234
4 4 4 2 -0.0000000
4 4 4 3 0.0009891
4 4 4 4 0.5404954
5 0 0 0 -0.0000000
5 0 1 0 -0.0000000
5 0 1 1 0.0000000
5 0 2 0 0.0113078
5 0 2 1 -0.0123147
5 0 2 2 -0.0000000
5 0 3 0 -0.0000000
5 0 3 1 0.0000000
5 0 3 2 -0.0091265
5 0 3 3 0.0000000
5 0 4 0 0.0000000
5 0 4 1 -0.0000000
5 0 4 2 0.0018125
5 0 4 3 0.0000000
5 0 4 4 -0.0000000
5 0 5 0 0.0234983
5 0 5 1 -0.0172903
5 0 5 2 -0.0000000
5 0 5 3 -0.0056077
5 0 5 4 -0.0152513
5 0 5 5 0.0000000
5 1 0 0 -0.0000000
5 1 1 0 0.0000000
5 1 1 1 -0.0000000
5 1 2 0 -0.0085482
5 1 2 1 0.0353444
5 1 2 2 0.0000000
5 1 3 0 0.0000000
5 1 3 1 -0.0000000
5 1 3 2 0.0175660
5 1 3 3 -0.0000000
5 1 4 0 -0.0000000
5 1 4 1 -0.0000000
5 1 4 2 -0.0003932
5 1 4 3 -0.0000000
5 1 4 4 0.0000000
5 1 5 0 -0.0172903
5 1 5 1 0.0522990
5 1 5 2 -0.0000000
5 1 5 3 0.0155291
5 1 5 4 0.0203113
5 1 5 5 -0.0000000
5 2 0 0 0.2350361
5 2 1 0 0.0012731
5 2 1 1 0.1216685
5 2 2 0 -0.0000000
5 2 2 1 0.0000000
5 2 2 2 0.0080886
5 2 3 0 -0.0002109
5 2 3 1 0.0086548
5 2 3 2 0.0000000
5 2 3 3 0.0901834
5 2 4 0 0.0066160
5 2 4 1 0.0228456
5 2 4 2 0.0000000
5 2 4 3 0.0583477
5 2 4 4 -0.0247194
5 2 5 0 -0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.1109281
5 2 5 3 -0.0000000
5 2 5 4 0.0000000
5 2 5 5 0.0767051
5 3 0 0 -0.0000000
5 3 1 0 0.0000000
5 3 1 1 -0.0000000
5 3 2 0 -0.0034679
5 3 2 1 0.0034568
5 3 2 2 -0.0000000
5 3 3 0 0.0000000
5 3 3 1 -0.0000000
5 3 3 2 0.0037202
5 3 3 3 -0.0000000
5 3 4 0 -0.0000000
5 3 4 1 -0.0000000
5 3 4 2 0.0373387
5 3 4 3 -0.0000000
5 3 4 4 -0.0000000
5 3 5 0 -0.0056077
5 3 5 1 0.0155291
5 3 5 2 -0.0000000
5 3 5 3 0.0328047
5 3 5 4 -0.0165560
5 3 5 5 -0.0000000
5 4 0 0 0.0000000
5 4 1 0 0.0000000
5 4 1 1 -0.0000000
5 4 2 0 -0.0056695
5 4 2 1 0.0394528
5 4 2 2 0.0000000
5 4 3 0 0.0000000
5 4 3 1 -0.0000000
5 4 3 2 0.0659579
5 4 3 3 0.0000000
5 4 4 0 -0.0000000
5 4 4 1 0.0000000
5 4 4 2 -0.1045336
5 4 4 3 0.0000000
5 4 4 4 0.0000000
5 4 5 0 -0.0152513
5 4 5 1 0.0203113
5 4 5 2 0.0000000
5 4 5 3 -0.0165560
5 4 5 4 0.1156028
5 4 5 5 -0.0000000
5 5 0 0 0.7924510
5 5 1 0 0.0068299
5 5 1 1 0.5034944
5 5 2 0 0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.5204571
5 5 3 0 0.0023237
5 5 3 1 0.0334766
5 5 3 2 0.0000000
5 5 3 3 0.5156461
5 5 4 0 0.0086512
5 5 4 1 0.0153270
5 5 4 2 0.0000000
5 5 4 3 0.0297270
5 5 4 4 0.5006606
5 5 5 0 0.0000000
5 5 5 1 -0.0000000
5 5 5 2 0.0767051
5 5 5 3 -0.0000000
5 5 5 4 -0.0000000
5 5 5 5 0.5876330
6 0 0 0 0.1800713
6 0 1 0 0.0250933
6 0 1 1 -0.0086283
6 0 2 0 0.0000000
6 0 2 1 -0.0000000
6 0 2 2 0.0043626
6 0 3 0 -0.0014727
6 0 3 1 0.0098624
6 0 3 2 0.0000000
6 0 3 3 0.0097856
6 0 4 0 0.0101131
6 0 4 1 0.0031353
6 0 4 2 0.0000000
6 0 4 3 0.0099289
6 0 4 4 0.0140574
6 0 5 0 -0.0000000
6 0 5 1 0.0000000
6 0 5 2 0.0010958
6 0 5 3 -0.0000000
6 0 5 4 0.0000000
6 0 5 5 0.0046744
6 0 6 0 0.0274559
6 0 6 1 -0.0031369
6 0 6 2 -0.0000000
6 0 6 3 -0.0031129
6 0 6 4 -0.0031921
6 0 6 5 0.0000000
6 0 6 6 -0.0084089
6 1 0 0 0.2363571
6 1 1 0 0.0000806
6 1 1 1 0.0696388
6 1 2 0 0.0000000
6 1 2 1 -0.0000000
6 1 2 2 0.0670503
6 1 3 0 0.0051293
6 1 3 1 0.0401829
6 1 3 2 0.0000000
6 1 3 3 0.0693723
6 1 4 0 0.0102608
6 1 4 1 0.0089341
6 1 4 2 0.0000000
6 1 4 3 0.0161080
6 1 4 4 0.0570121
6 1 5 0 0.0000000
6 1 5 1 -0.0000000
6 1 5 2 0.0413737
6 1 5 3 -0.0000000
6 1 5 4 0.0000000
6 1 5 5 0.1056476
6 1 6 0 -0.0031369
6 1 6 1 0.1138741
6 1 6 2 0.0000000
6 1 6 3 -0.0578996
6 1 6 4 0.0001185
6 1 6 5 -0.0000000
6 1 6 6 -0.0034408
6 2 0 0 0.0000000
6 2 1 0 0.0000000
6 2 1 1 0.0000000
6 2 2 0 -0.0034448
6 2 2 1 0.0134213
6 2 2 2 0.0000000
6 2 3 0 0.0000000
6 2 3 1 0.0000000
6 2 3 2 -0.0008995
6 2 3 3 0.0000000
6 2 4 0 0.0000000
6 2 4 1 0.0000000
6 2 4 2 0.0015515
6 2 4 3 0.0000000
6 2 4 4 0.0000000
6 2 5 0 -0.0068052
6 2 5 1 0.0199949
6 2 5 2 0.0000000
6 2 5 3 0.0011870
6 2 5 4 0.0023460
6 2 5 5 0.0000000
6 2 6 0 -0.0000000
6 2 6 1 0.0000000
6 2 6 2 0.0121280
6 2 6 3 -0.0000000
6 2 6 4 0.0000000
6 2 6 5 0.0162360
6 2 6 6 -0.0000000
6 3 0 0 -0.1272261
6 3 1 0 -0.0055282
6 3 1 1 0.0128407
6 3 2 0 -0.0000000
6 3 2 1 0.0000000
6 3 2 2 -0.0538148
6 3 3 0 -0.0035379
6 3 3 1 -0.0224039
6 3 3 2 -0.0000000
6 3 3 3 -0.0519796
6 3 4 0 0.0004397
6 3 4 1 -0.0029912
6 3 4 2 -0.0000000
6 3 4 3 -0.0130441
6 3 4 4 -0.0651836
6 3 5 0 0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0067211
6 3 5 3 0.0000000
6 3 5 4 0.0000000
6 3 5 5 -0.0560419
6 3 6 0 -0.0031129
6 3 6 1 -0.0578996
6 3 6 2 -0.0000000
6 3 6 3 0.0645817
6 3 6 4 0.0054468
6 3 6 5 0.0000000
6 3 6 6 0.0324593
6 4 0 0 -0.0189885
6 4 1 0 -0.0001286
6 4 1 1 -0.0046153
6 4 2 0 -0.0000000
6 4 2 1 -0.0000000
6 4 2 2 -0.0011968
6 4 3 0 0.0044774
6 4 3 1 -0.0076268
