NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.113460
ENERGIES
-10.828743
-0.483960
-0.426860
-0.232590
0.586627
0.803220
0.920020
849736.659121
965066.593236
996478.297888
1070620.713812
1118094.141564

OEI
-18.388445	
3 3 3 2 -0.0000000
3 3 3 3 0.5698622
4 0 0 0 -0.2146349
4 0 1 0 -0.0177831
4 0 1 1 -0.0176618
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 0.0000535
4 0 3 0 -0.0122696
4 0 3 1 0.0015554
4 0 3 2 -0.0000000
4 0 3 3 -0.0041446
4 0 4 0 0.0250093
4 0 4 1 0.0026188
4 0 4 2 -0.0000000
4 0 4 3 0.0002514
4 0 4 4 0.0019323
4 1 0 0 -0.0640060
4 1 1 0 -0.0016217
4 1 1 1 -0.0248252
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0025523
4 1 3 0 0.0022251
4 1 3 1 -0.0139916
4 1 3 2 0.0000000
4 1 3 3 -0.0325511
4 1 4 0 0.0026188
4 1 4 1 0.0098978
4 1 4 2 0.0000000
4 1 4 3 0.0216042
4 1 4 4 0.0028245
4 2 0 0 0.0000000
4 2 1 0 0.0000000
4 2 1 1 0.0000000
4 2 2 0 0.0015047
4 2 2 1 0.0295288
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0549994
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1248039
4 2 4 3 -0.0000000
4 2 4 4 -0.0000000
4 3 0 0 -0.1394787
4 3 1 0 -0.0028538
4 3 1 1 -0.0523841
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 0.0075784
4 3 3 0 0.0103582
4 3 3 1 -0.0341311
4 3 3 2 0.0000000
4 3 3 3 -0.0847801
4 3 4 0 0.0002514
4 3 4 1 0.0216042
