NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-23.064033
ENERGIES
-6.782249
-0.396203
0.011074
0.227630
0.950346
1.417161
1.509303
849736.725506
965066.463594
996478.161959
1070621.101645
1118093.833341

OEI
-13.519280	
3 3 3 2 -0.0000000
3 3 3 3 0.4984262
4 0 0 0 -0.2019791
4 0 1 0 0.0114139
4 0 1 1 -0.0119678
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0066824
4 0 3 0 -0.0266717
4 0 3 1 -0.0039887
4 0 3 2 0.0000000
4 0 3 3 -0.0001859
4 0 4 0 0.0301648
4 0 4 1 0.0010868
4 0 4 2 -0.0000000
4 0 4 3 -0.0082417
4 0 4 4 0.0033083
4 1 0 0 0.0031891
4 1 1 0 0.0004312
4 1 1 1 0.0359619
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 -0.0329219
4 1 3 0 -0.0015380
4 1 3 1 0.0493682
4 1 3 2 -0.0000000
4 1 3 3 0.0200371
4 1 4 0 0.0010868
4 1 4 1 0.0472322
4 1 4 2 -0.0000000
4 1 4 3 0.0086767
4 1 4 4 0.0061416
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0007206
4 2 2 1 -0.0601362
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0540141
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0587995
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 -0.2160539
4 3 1 0 0.0069634
4 3 1 1 0.0766803
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 0.0152805
4 3 3 0 0.0032018
4 3 3 1 0.0458304
4 3 3 2 -0.0000000
4 3 3 3 -0.0202641
4 3 4 0 -0.0082417
4 3 4 1 0.0086767
4 3 4 2 0.0000000
4 3 4 3 0.1448872
4 3 4 4 -0.0772668
4 4 0 0 0.7042757
4 4 1 0 -0.0063728
4 4 1 1 0.4553637
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4635140
4 4 3 0 0.0007563
4 4 3 1 -0.0085491
4 4 3 2 0.0000000
4 4 3 3 0.5026464
4 4 4 0 0.0033083
4 4 4 1 0.0061416
4 4 4 2 -0.0000000
