NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-21.181947
ENERGIES
-6.497853
-0.129495
0.214046
0.476383
1.186262
1.638081
1.758235
849737.128079
965066.796748
996478.623491
1070620.946780
1118094.572082

OEI
-13.314136	
3 3 3 2 0.0000000
3 3 3 3 0.5178845
4 0 0 0 -0.2190445
4 0 1 0 -0.0155649
4 0 1 1 -0.0087524
4 0 2 0 -0.0000000
4 0 2 1 -0.0000000
4 0 2 2 -0.0057008
4 0 3 0 0.0280450
4 0 3 1 -0.0042751
4 0 3 2 0.0000000
4 0 3 3 -0.0005815
4 0 4 0 0.0295452
4 0 4 1 0.0001718
4 0 4 2 -0.0000000
4 0 4 3 0.0055801
4 0 4 4 0.0004181
4 1 0 0 -0.0372540
4 1 1 0 0.0003489
4 1 1 1 -0.0217207
4 1 2 0 -0.0000000
4 1 2 1 -0.0000000
4 1 2 2 0.0363750
4 1 3 0 -0.0006012
4 1 3 1 -0.0470672
4 1 3 2 0.0000000
4 1 3 3 -0.0371869
4 1 4 0 0.0001718
4 1 4 1 0.0590809
4 1 4 2 -0.0000000
4 1 4 3 0.0059970
4 1 4 4 -0.0184747
4 2 0 0 -0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0009165
4 2 2 1 0.0783346
4 2 2 2 0.0000000
4 2 3 0 -0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0462926
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0689876
4 2 4 3 -0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.2256624
4 3 1 0 0.0076735
4 3 1 1 -0.0682839
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0132604
4 3 3 0 0.0060752
4 3 3 1 -0.0588229
4 3 3 2 -0.0000000
4 3 3 3 0.0421395
4 3 4 0 0.0055801
4 3 4 1 0.0059970
4 3 4 2 -0.0000000
