NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.374915
ENERGIES
-10.806405
-0.770721
-0.345120
-0.182309
0.631110
0.831912
0.897526
849736.634986
965066.432370
996478.203115
1070621.118934
1118093.776271

OEI
-18.371161	
3 3 3 2 -0.0000000
3 3 3 3 0.6255778
4 0 0 0 0.1320242
4 0 1 0 0.0122860
4 0 1 1 0.0016585
4 0 2 0 0.0000000
4 0 2 1 -0.0000000
4 0 2 2 0.0020097
4 0 3 0 0.0140924
4 0 3 1 -0.0020891
4 0 3 2 -0.0000000
4 0 3 3 -0.0011369
4 0 4 0 0.0095366
4 0 4 1 0.0003044
4 0 4 2 0.0000000
4 0 4 3 -0.0012998
4 0 4 4 0.0000765
4 1 0 0 0.0819024
4 1 1 0 -0.0006237
4 1 1 1 0.0394635
4 1 2 0 -0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0191243
4 1 3 0 0.0009179
4 1 3 1 -0.0190112
4 1 3 2 0.0000000
4 1 3 3 0.0546940
4 1 4 0 0.0003044
4 1 4 1 0.0705022
4 1 4 2 0.0000000
4 1 4 3 -0.0096575
4 1 4 4 0.0068955
4 2 0 0 0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 0.0015131
4 2 2 1 -0.0786216
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0158495
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0877404
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.1416096
4 3 1 0 0.0046368
4 3 1 1 -0.0206049
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 0.0169769
4 3 3 0 -0.0079474
4 3 3 1 0.0583891
4 3 3 2 -0.0000000
4 3 3 3 0.0861442
4 3 4 0 -0.0012998
4 3 4 1 -0.0096575
4 3 4 2 0.0000000
4 3 4 3 0.0796912
4 3 4 4 -0.0353499
4 4 0 0 0.4976576
4 4 1 0 -0.0018358
4 4 1 1 0.5130823
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4745266
4 4 3 0 0.0014257
4 4 3 1 -0.0226096
4 4 3 2 0.0000000
4 4 3 3 0.4396327
4 4 4 0 0.0000765
4 4 4 1 0.0068955
4 4 4 2 -0.0000000
4 4 4 3 -0.0353499
4 4 4 4 0.5210480
5 0 0 0 -0.2201055
5 0 1 0 -0.0261636
5 0 1 1 0.0117084
5 0 2 0 -0.0000000
5 0 2 1 0.0000000
5 0 2 2 0.0013613
5 0 3 0 -0.0072843
5 0 3 1 -0.0072211
5 0 3 2 0.0000000
5 0 3 3 -0.0156794
5 0 4 0 -0.0118348
5 0 4 1 0.0008633
5 0 4 2 -0.0000000
5 0 4 3 -0.0121894
5 0 4 4 0.0031130
5 0 5 0 0.0399442
5 0 5 1 -0.0046904
5 0 5 2 0.0000000
5 0 5 3 -0.0045317
5 0 5 4 -0.0027452
5 0 5 5 0.0104266
5 1 0 0 -0.2615049
5 1 1 0 0.0003391
5 1 1 1 -0.0714208
5 1 2 0 0.0000000
5 1 2 1 0.0000000
5 1 2 2 -0.0645610
5 1 3 0 -0.0080184
5 1 3 1 -0.0294100
5 1 3 2 0.0000000
5 1 3 3 -0.0866371
5 1 4 0 -0.0030675
5 1 4 1 -0.0141015
5 1 4 2 -0.0000000
5 1 4 3 -0.0452807
5 1 4 4 0.0011187
5 1 5 0 -0.0046904
5 1 5 1 0.1024175
5 1 5 2 0.0000000
5 1 5 3 -0.0353804
5 1 5 4 0.0330986
5 1 5 5 -0.0912637
5 2 0 0 -0.0000000
5 2 1 0 -0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0053463
5 2 2 1 -0.0021705
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 -0.0000000
5 2 3 2 -0.0008072
5 2 3 3 -0.0000000
5 2 4 0 0.0000000
5 2 4 1 -0.0000000
5 2 4 2 -0.0184082
5 2 4 3 -0.0000000
5 2 4 4 0.0000000
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0238266
5 2 5 3 -0.0000000
5 2 5 4 -0.0000000
5 2 5 5 -0.0000000
5 3 0 0 0.0873213
5 3 1 0 0.0042761
5 3 1 1 -0.0201756
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 0.0145543
5 3 3 0 0.0023956
5 3 3 1 0.0110823
5 3 3 2 -0.0000000
5 3 3 3 0.0361483
5 3 4 0 0.0016297
5 3 4 1 -0.0190541
5 3 4 2 0.0000000
5 3 4 3 0.0383933
5 3 4 4 -0.0278986
5 3 5 0 -0.0045317
5 3 5 1 -0.0353804
5 3 5 2 -0.0000000
5 3 5 3 0.0546773
5 3 5 4 -0.0182696
5 3 5 5 0.0014468
5 4 0 0 -0.0437352
5 4 1 0 0.0011532
5 4 1 1 -0.0082878
5 4 2 0 0.0000000
5 4 2 1 -0.0000000
5 4 2 2 -0.0313120
5 4 3 0 -0.0019681
5 4 3 1 -0.0314170
5 4 3 2 -0.0000000
5 4 3 3 0.0095019
5 4 4 0 -0.0004129
5 4 4 1 0.0421288
5 4 4 2 0.0000000
5 4 4 3 -0.0259346
5 4 4 4 0.0025387
5 4 5 0 -0.0027452
5 4 5 1 0.0330986
5 4 5 2 -0.0000000
5 4 5 3 -0.0182696
5 4 5 4 0.0562222
5 4 5 5 0.0115075
5 5 0 0 0.7999846
5 5 1 0 0.0001411
5 5 1 1 0.5760518
5 5 2 0 -0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.4988878
5 5 3 0 0.0186442
5 5 3 1 -0.0342003
5 5 3 2 0.0000000
5 5 3 3 0.5134641
5 5 4 0 0.0069612
5 5 4 1 0.0619846
5 5 4 2 -0.0000000
5 5 4 3 -0.0154381
5 5 4 4 0.4978781
5 5 5 0 0.0104266
5 5 5 1 -0.0912637
5 5 5 2 -0.0000000
5 5 5 3 0.0014468
5 5 5 4 0.0115075
5 5 5 5 0.6287503
6 0 0 0 -0.0000000
6 0 1 0 -0.0000000
6 0 1 1 0.0000000
6 0 2 0 0.0129465
6 0 2 1 -0.0142773
6 0 2 2 0.0000000
6 0 3 0 -0.0000000
6 0 3 1 -0.0000000
6 0 3 2 -0.0094081
6 0 3 3 -0.0000000
6 0 4 0 -0.0000000
6 0 4 1 -0.0000000
6 0 4 2 0.0020237
6 0 4 3 -0.0000000
6 0 4 4 -0.0000000
6 0 5 0 0.0000000
6 0 5 1 0.0000000
6 0 5 2 0.0071208
6 0 5 3 0.0000000
6 0 5 4 0.0000000
6 0 5 5 -0.0000000
6 0 6 0 0.0198317
6 0 6 1 -0.0056153
6 0 6 2 -0.0000000
6 0 6 3 -0.0104879
6 0 6 4 -0.0097735
6 0 6 5 0.0101336
6 0 6 6 0.0000000
6 1 0 0 -0.0000000
6 1 1 0 0.0000000
6 1 1 1 -0.0000000
6 1 2 0 -0.0040611
6 1 2 1 -0.0288828
6 1 2 2 -0.0000000
6 1 3 0 -0.0000000
6 1 3 1 -0.0000000
