NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-168.570762
ENERGIES
-19.922046
-19.600413
-8.138262
-1.017847
-0.812525
-0.352695
-0.195741
-0.180856
-0.057575
0.035106
0.087075
0.870003
0.877818
1.372567
1.665187
1000000.990072

OEI
-35.810987	
1 1 1 0 0.0037284
1 1 1 1 4.7427467
2 0 0 0 -0.0020912
2 0 1 0 0.0000016
2 0 1 1 0.0000173
2 0 2 0 0.0000032
2 0 2 1 -0.0000005
2 0 2 2 -0.0002526
2 1 0 0 0.0000247
2 1 1 0 -0.0000007
2 1 1 1 -0.0008616
2 1 2 0 -0.0000005
2 1 2 1 0.0000032
2 1 2 2 0.0002987
2 2 0 0 0.4012258
2 2 1 0 0.0000306
2 2 1 1 0.4486419
2 2 2 0 -0.0002526
2 2 2 1 0.0002987
2 2 2 2 3.4656256
3 0 0 0 0.4203301
3 0 1 0 -0.0003338
3 0 1 1 0.0000648
3 0 2 0 -0.0003105
3 0 2 1 -0.0000004
3 0 2 2 -0.0002261
3 0 3 0 0.0590138
3 0 3 1 -0.0000474
3 0 3 2 -0.0000673
3 0 3 3 0.0137717
3 1 0 0 -0.0001252
3 1 1 0 -0.0000321
3 1 1 1 -0.0384314
3 1 2 0 0.0000005
3 1 2 1 0.0000029
3 1 2 2 -0.0000266
3 1 3 0 -0.0000474
3 1 3 1 0.0004909
3 1 3 2 0.0000001
3 1 3 3 0.0001994
3 2 0 0 0.0010284
3 2 1 0 -0.0000006
3 2 1 1 -0.0002331
3 2 2 0 0.0000251
3 2 2 1 -0.0000201
3 2 2 2 -0.0761293
3 2 3 0 -0.0000673
3 2 3 1 0.0000001
3 2 3 2 0.0029889
3 2 3 3 0.0016579
3 3 0 0 1.0056656
3 3 1 0 -0.0006107
3 3 1 1 0.2458538
3 3 2 0 -0.0000208
3 3 2 1 0.0000334
3 3 2 2 0.4163405
3 3 3 0 0.0137717
3 3 3 1 0.0001994
3 3 3 2 0.0016579
3 3 3 3 0.7211648
4 0 0 0 0.0395355
4 0 1 0 -0.0000312
4 0 1 1 0.0005742
4 0 2 0 -0.0000226
4 0 2 1 -0.0000002
4 0 2 2 0.0003062
4 0 3 0 0.0057363
4 0 3 1 -0.0000109
4 0 3 2 -0.0000102
4 0 3 3 0.0010609
4 0 4 0 0.0006280
4 0 4 1 0.0000655
4 0 4 2 0.0000085
4 0 4 3 -0.0000481
4 0 4 4 0.0001650
4 1 0 0 -0.0001637
4 1 1 0 0.0003581
4 1 1 1 0.4304937
4 1 2 0 0.0000006
4 1 2 1 -0.0000293
4 1 2 2 -0.0012236
4 1 3 0 -0.0000105
4 1 3 1 -0.0054250
4 1 3 2 0.0000169
4 1 3 3 -0.0000383
4 1 4 0 0.0000655
4 1 4 1 0.0617905
4 1 4 2 0.0000534
4 1 4 3 -0.0012926
4 1 4 4 0.0147077
4 2 0 0 0.0024975
4 2 1 0 -0.0000077
4 2 1 1 -0.0065807
4 2 2 0 -0.0000181
4 2 2 1 0.0000499
4 2 2 2 0.1518222
4 2 3 0 -0.0000232
4 2 3 1 -0.0000004
4 2 3 2 -0.0047012
4 2 3 3 0.0031334
4 2 4 0 0.0000085
4 2 4 1 0.0000534
4 2 4 2 0.0110222
4 2 4 3 0.0007763
4 2 4 4 -0.0058896
4 3 0 0 0.0688552
4 3 1 0 -0.0001182
4 3 1 1 -0.0773010
4 3 2 0 -0.0000179
4 3 2 1 0.0000400
4 3 2 2 -0.0296067
4 3 3 0 0.0012009
4 3 3 1 0.0001505
4 3 3 2 -0.0000337
4 3 3 3 0.0436223
4 3 4 0 -0.0000481
4 3 4 1 -0.0012926
4 3 4 2 0.0007763
4 3 4 3 0.0120503
4 3 4 4 -0.0511482
4 4 0 0 0.2692990
4 4 1 0 0.0006230
4 4 1 1 1.0261465
4 4 2 0 0.0000133
4 4 2 1 -0.0002708
4 4 2 2 0.5312479
4 4 3 0 0.0002324
4 4 3 1 -0.0016176
4 4 3 2 -0.0011392
4 4 3 3 0.2692501
4 4 4 0 0.0001650
4 4 4 1 0.0147077
4 4 4 2 -0.0058896
4 4 4 3 -0.0511482
4 4 4 4 0.7454170
5 0 0 0 -0.0765280
5 0 1 0 0.0000588
5 0 1 1 0.0021563
5 0 2 0 0.0001500
5 0 2 1 -0.0000013
5 0 2 2 0.0048981
5 0 3 0 -0.0103588
5 0 3 1 0.0000060
5 0 3 2 0.0001310
5 0 3 3 -0.0045396
5 0 4 0 -0.0001422
5 0 4 1 -0.0000124
5 0 4 2 0.0000300
5 0 4 3 -0.0022939
5 0 4 4 0.0021610
5 0 5 0 0.0125784
5 0 5 1 -0.0000091
5 0 5 2 -0.0001124
5 0 5 3 -0.0165189
5 0 5 4 -0.0012700
5 0 5 5 0.0027861
5 1 0 0 -0.0003566
5 1 1 0 -0.0000632
5 1 1 1 -0.0778945
5 1 2 0 -0.0000006
5 1 2 1 0.0000086
5 1 2 2 -0.0014707
5 1 3 0 0.0000075
5 1 3 1 0.0008879
5 1 3 2 0.0000102
5 1 3 3 -0.0004649
5 1 4 0 -0.0000121
5 1 4 1 -0.0109858
5 1 4 2 0.0000211
5 1 4 3 0.0004511
5 1 4 4 -0.0038216
5 1 5 0 -0.0000091
5 1 5 1 0.0024972
5 1 5 2 -0.0000221
5 1 5 3 0.0001159
5 1 5 4 -0.0001654
5 1 5 5 -0.0003258
5 2 0 0 -0.0039161
5 2 1 0 0.0000050
5 2 1 1 0.0030159
5 2 2 0 -0.0000431
5 2 2 1 0.0000115
5 2 2 2 0.1593195
5 2 3 0 0.0000570
5 2 3 1 -0.0000038
5 2 3 2 -0.0058064
5 2 3 3 -0.0041033
5 2 4 0 0.0000141
5 2 4 1 -0.0000416
5 2 4 2 0.0093368
5 2 4 3 -0.0007697
5 2 4 4 0.0051577
5 2 5 0 -0.0001124
5 2 5 1 -0.0000221
5 2 5 2 0.0116955
5 2 5 3 0.0010665
5 2 5 4 -0.0000912
5 2 5 5 -0.0034933
5 3 0 0 -0.0771651
5 3 1 0 0.0000343
5 3 1 1 -0.0390264
5 3 2 0 -0.0001152
5 3 2 1 0.0000116
5 3 2 2 -0.1165120
5 3 3 0 -0.0033681
5 3 3 1 0.0000328
5 3 3 2 -0.0018281
5 3 3 3 -0.0120986
5 3 4 0 -0.0016770
5 3 4 1 0.0002804
5 3 4 2 -0.0013733
5 3 4 3 0.0179820
5 3 4 4 -0.0462452
5 3 5 0 -0.0165189
5 3 5 1 0.0001159
5 3 5 2 0.0010665
5 3 5 3 0.1389411
5 3 5 4 0.0082480
5 3 5 5 -0.0216625
5 4 0 0 0.0516359
5 4 1 0 -0.0001324
5 4 1 1 -0.1086129
5 4 2 0 -0.0000020
5 4 2 1 0.0000275
5 4 2 2 0.0269301
5 4 3 0 0.0000909
5 4 3 1 0.0004307
5 4 3 2 0.0000130
5 4 3 3 0.0438044
5 4 4 0 -0.0001154
5 4 4 1 -0.0031130
5 4 4 2 0.0009399
5 4 4 3 0.0078982
5 4 4 4 -0.0502634
5 4 5 0 -0.0012700
5 4 5 1 -0.0001654
5 4 5 2 -0.0000912
5 4 5 3 0.0082480
5 4 5 4 0.0185057
5 4 5 5 0.0380117
5 5 0 0 0.7894423
5 5 1 0 -0.0003986
5 5 1 1 0.2903338
5 5 2 0 0.0000448
5 5 2 1 0.0000097
5 5 2 2 0.4578701
5 5 3 0 0.0051777
5 5 3 1 0.0000066
5 5 3 2 0.0017773
5 5 3 3 0.6270745
5 5 4 0 0.0006629
5 5 4 1 0.0007017
5 5 4 2 0.0038226
5 5 4 3 0.0284666
5 5 4 4 0.2978279
5 5 5 0 0.0027861
5 5 5 1 -0.0003258
5 5 5 2 -0.0034933
5 5 5 3 -0.0216625
5 5 5 4 0.0380117
5 5 5 5 0.6072773
6 0 0 0 0.1464061
6 0 1 0 -0.0001141
6 0 1 1 0.0010209
6 0 2 0 -0.0000142
6 0 2 1 0.0000030
6 0 2 2 0.0059357
6 0 3 0 0.0180473
6 0 3 1 -0.0000027
6 0 3 2 -0.0000406
6 0 3 3 0.0130461
6 0 4 0 0.0018040
6 0 4 1 0.0000004
6 0 4 2 0.0001528
6 0 4 3 0.0011604
6 0 4 4 0.0014631
6 0 5 0 -0.0012098
6 0 5 1 -0.0000077
6 0 5 2 -0.0000809
6 0 5 3 -0.0043721
6 0 5 4 -0.0000130
6 0 5 5 0.0065183
6 0 6 0 0.0256775
6 0 6 1 -0.0000287
6 0 6 2 -0.0000633
6 0 6 3 -0.0223551
6 0 6 4 -0.0022962
6 0 6 5 0.0033186
6 0 6 6 -0.0105891
6 1 0 0 -0.0005043
6 1 1 0 0.0000217
6 1 1 1 0.0240256
6 1 2 0 -0.0000006
6 1 2 1 -0.0000073
6 1 2 2 0.0007630
6 1 3 0 -0.0000134
6 1 3 1 -0.0003368
6 1 3 2 -0.0000209
6 1 3 3 -0.0003828
6 1 4 0 0.0000027
6 1 4 1 0.0030670
6 1 4 2 -0.0000117
6 1 4 3 -0.0000596
6 1 4 4 0.0019441
6 1 5 0 -0.0000019
6 1 5 1 -0.0003761
6 1 5 2 0.0000454
6 1 5 3 0.0000522
6 1 5 4 -0.0006019
6 1 5 5 -0.0001223
6 1 6 0 -0.0000287
6 1 6 1 0.0008306
6 1 6 2 0.0000324
6 1 6 3 0.0001127
6 1 6 4 -0.0009176
6 1 6 5 0.0001544
6 1 6 6 -0.0003530
6 2 0 0 -0.0029610
6 2 1 0 0.0000035
6 2 1 1 0.0015657
6 2 2 0 -0.0000278
6 2 2 1 0.0000121
6 2 2 2 0.0395486
6 2 3 0 0.0000052
6 2 3 1 -0.0000019
6 2 3 2 -0.0021078
6 2 3 3 -0.0030889
6 2 4 0 -0.0000028
6 2 4 1 -0.0000319
6 2 4 2 0.0019740
6 2 4 3 -0.0001590
6 2 4 4 0.0023725
6 2 5 0 -0.0001533
6 2 5 1 -0.0000079
6 2 5 2 0.0039598
6 2 5 3 0.0022060
6 2 5 4 -0.0003536
6 2 5 5 -0.0033327
6 2 6 0 -0.0000633
6 2 6 1 0.0000324
6 2 6 2 0.0020728
6 2 6 3 0.0007761
6 2 6 4 -0.0005731
6 2 6 5 -0.0010520
6 2 6 6 -0.0024729
6 3 0 0 0.1027433
6 3 1 0 -0.0000943
6 3 1 1 -0.0151148
6 3 2 0 -0.0001260
6 3 2 1 -0.0000326
6 3 2 2 -0.0675766
6 3 3 0 0.0074858
6 3 3 1 -0.0001127
6 3 3 2 0.0000999
6 3 3 3 -0.0024444
6 3 4 0 0.0007167
6 3 4 1 -0.0000789
6 3 4 2 -0.0018616
6 3 4 3 0.0001865
6 3 4 4 -0.0163947
6 3 5 0 -0.0037937
6 3 5 1 0.0001508
6 3 5 2 0.0002362
6 3 5 3 0.0027667
6 3 5 4 0.0007110
6 3 5 5 -0.0098762
6 3 6 0 -0.0223551
