NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-181.656453
ENERGIES
-20.249052
-20.167088
-11.090776
-1.320388
-1.238141
-0.676578
-0.492395
-0.485071
-0.437621
-0.302875
-0.283224
0.400515
0.645527
0.850593
1.074099
1000000.617205

OEI
-36.088734	
1 1 1 1 4.7442072
2 0 0 0 0.0001856
2 0 1 0 0.0000005
2 0 1 1 0.0000200
2 0 2 0 0.0000008
2 0 2 1 0.0000005
2 0 2 2 0.0005028
2 1 0 0 0.0000421
2 1 1 0 0.0000065
2 1 1 1 -0.0019500
2 1 2 0 0.0000005
2 1 2 1 0.0000036
2 1 2 2 0.0004402
2 2 0 0 0.4009012
2 2 1 0 -0.0001504
2 2 1 1 0.4482093
2 2 2 0 0.0005028
2 2 2 1 0.0004402
2 2 2 2 3.5258671
3 0 0 0 -0.3314262
3 0 1 0 -0.0010652
3 0 1 1 0.0008471
3 0 2 0 -0.0000366
3 0 2 1 -0.0000001
3 0 2 2 0.0006762
3 0 3 0 0.0368719
3 0 3 1 0.0000644
3 0 3 2 0.0000055
3 0 3 3 -0.0063598
3 1 0 0 -0.0007171
3 1 1 0 0.0007127
3 1 1 1 -0.2189215
3 1 2 0 -0.0000003
3 1 2 1 0.0001027
3 1 2 2 0.0011744
3 1 3 0 0.0000644
3 1 3 1 0.0162124
3 1 3 2 -0.0000086
3 1 3 3 -0.0012211
3 2 0 0 0.0013943
3 2 1 0 -0.0000050
3 2 1 1 0.0028929
3 2 2 0 -0.0000460
3 2 2 1 -0.0000518
3 2 2 2 -0.1466549
3 2 3 0 0.0000055
3 2 3 1 -0.0000086
3 2 3 2 0.0103840
3 2 3 3 0.0014354
3 3 0 0 0.7536151
3 3 1 0 0.0008374
3 3 1 1 0.4921989
3 3 2 0 -0.0000403
3 3 2 1 -0.0000703
3 3 2 2 0.5248487
3 3 3 0 -0.0063598
3 3 3 1 -0.0012211
3 3 3 2 0.0014354
3 3 3 3 0.5486082
4 0 0 0 0.2479915
4 0 1 0 0.0007915
4 0 1 1 0.0011518
4 0 2 0 0.0000253
4 0 2 1 -0.0000010
4 0 2 2 -0.0003179
4 0 3 0 -0.0275675
4 0 3 1 -0.0001724
4 0 3 2 -0.0000004
4 0 3 3 0.0048387
4 0 4 0 0.0206947
4 0 4 1 -0.0000585
4 0 4 2 0.0000084
4 0 4 3 -0.0034986
4 0 4 4 0.0026530
4 1 0 0 0.0010391
4 1 1 0 0.0010892
4 1 1 1 -0.3326616
4 1 2 0 0.0000000
4 1 2 1 0.0001555
4 1 2 2 0.0018246
4 1 3 0 -0.0001720
4 1 3 1 0.0246184
4 1 3 2 0.0000050
4 1 3 3 -0.0020067
4 1 4 0 -0.0000585
4 1 4 1 0.0374761
4 1 4 2 0.0000534
4 1 4 3 -0.0036735
4 1 4 4 -0.0054511
4 2 0 0 -0.0033445
4 2 1 0 -0.0000316
4 2 1 1 0.0063464
4 2 2 0 -0.0000038
4 2 2 1 -0.0000403
4 2 2 2 -0.0794982
4 2 3 0 -0.0000276
4 2 3 1 0.0000157
4 2 3 2 0.0054769
4 2 3 3 -0.0011795
4 2 4 0 0.0000084
4 2 4 1 0.0000534
4 2 4 2 0.0046364
4 2 4 3 0.0050401
4 2 4 4 0.0035738
4 3 0 0 -0.3436937
4 3 1 0 -0.0022224
4 3 1 1 0.3432376
4 3 2 0 0.0000352
4 3 2 1 -0.0001600
4 3 2 2 0.0704980
4 3 3 0 0.0049746
4 3 3 1 -0.0025518
4 3 3 2 0.0004047
4 3 3 3 -0.0580696
4 3 4 0 -0.0034986
4 3 4 1 -0.0036735
4 3 4 2 0.0050401
4 3 4 3 0.2031020
4 3 4 4 0.0774617
4 4 0 0 0.5232748
4 4 1 0 -0.0007370
4 4 1 1 0.7476650
4 4 2 0 0.0000044
4 4 2 1 -0.0001365
4 4 2 2 0.5141223
4 4 3 0 -0.0035842
4 4 3 1 -0.0036539
4 4 3 2 0.0014203
4 4 3 3 0.4902407
4 4 4 0 0.0026530
4 4 4 1 -0.0054511
4 4 4 2 0.0035738
4 4 4 3 0.0774617
4 4 4 4 0.5420735
5 0 0 0 -0.0491319
5 0 1 0 -0.0001552
5 0 1 1 -0.0016451
5 0 2 0 0.0000142
5 0 2 1 -0.0000000
5 0 2 2 -0.0046518
5 0 3 0 0.0045829
5 0 3 1 -0.0000092
5 0 3 2 -0.0000846
5 0 3 3 -0.0046658
5 0 4 0 -0.0042908
5 0 4 1 -0.0000573
5 0 4 2 0.0000678
5 0 4 3 0.0000367
5 0 4 4 -0.0014859
5 0 5 0 0.0096673
5 0 5 1 0.0000170
5 0 5 2 0.0001528
5 0 5 3 0.0118362
5 0 5 4 -0.0082920
5 0 5 5 0.0012905
5 1 0 0 -0.0008072
5 1 1 0 0.0004145
5 1 1 1 -0.1284244
5 1 2 0 -0.0000001
5 1 2 1 0.0000548
5 1 2 2 -0.0022288
5 1 3 0 -0.0000184
5 1 3 1 0.0087680
5 1 3 2 -0.0000229
5 1 3 3 -0.0030795
5 1 4 0 -0.0000587
5 1 4 1 0.0136984
5 1 4 2 -0.0000502
5 1 4 3 -0.0030295
5 1 4 4 -0.0048704
5 1 5 0 0.0000170
5 1 5 1 0.0067249
5 1 5 2 -0.0000142
5 1 5 3 0.0004053
5 1 5 4 0.0001467
5 1 5 5 -0.0004217
5 2 0 0 -0.0044955
5 2 1 0 -0.0000207
5 2 1 1 0.0018147
5 2 2 0 0.0000537
5 2 2 1 0.0000277
5 2 2 2 0.1601284
5 2 3 0 -0.0000332
5 2 3 1 0.0000122
5 2 3 2 -0.0114177
5 2 3 3 -0.0021188
5 2 4 0 0.0000182
5 2 4 1 0.0000365
5 2 4 2 -0.0043522
5 2 4 3 0.0037380
5 2 4 4 0.0016921
5 2 5 0 0.0001528
5 2 5 1 -0.0000142
5 2 5 2 0.0135869
5 2 5 3 0.0012192
5 2 5 4 -0.0004191
5 2 5 5 -0.0027754
5 3 0 0 -0.0029984
5 3 1 0 -0.0000987
5 3 1 1 0.0256003
5 3 2 0 0.0000337
5 3 2 1 -0.0000278
5 3 2 2 -0.1521982
5 3 3 0 -0.0018098
5 3 3 1 -0.0015443
5 3 3 2 -0.0006425
5 3 3 3 -0.0475145
5 3 4 0 0.0002071
5 3 4 1 -0.0021517
5 3 4 2 0.0020374
5 3 4 3 -0.0088311
5 3 4 4 -0.0168575
5 3 5 0 0.0118362
5 3 5 1 0.0004053
5 3 5 2 0.0012192
5 3 5 3 0.0979751
5 3 5 4 -0.0427940
5 3 5 5 -0.0132216
5 4 0 0 -0.0788171
5 4 1 0 -0.0007290
5 4 1 1 0.1462351
5 4 2 0 -0.0000086
5 4 2 1 -0.0000402
5 4 2 2 0.0280411
5 4 3 0 0.0016442
5 4 3 1 -0.0023647
5 4 3 2 0.0003531
5 4 3 3 -0.0034285
5 4 4 0 -0.0003326
5 4 4 1 -0.0031002
5 4 4 2 -0.0003643
5 4 4 3 0.0571132
5 4 4 4 0.0282652
5 4 5 0 -0.0082920
5 4 5 1 0.0001467
5 4 5 2 -0.0004191
5 4 5 3 -0.0427940
5 4 5 4 0.0615032
5 4 5 5 -0.0341195
5 5 0 0 0.7171630
5 5 1 0 0.0011079
5 5 1 1 0.3720198
5 5 2 0 -0.0000457
5 5 2 1 -0.0000110
5 5 2 2 0.4948524
5 5 3 0 -0.0032718
5 5 3 1 -0.0012015
5 5 3 2 0.0003094
5 5 3 3 0.5121483
5 5 4 0 0.0020430
5 5 4 1 -0.0016767
5 5 4 2 -0.0038598
5 5 4 3 -0.1073316
5 5 4 4 0.4288886
5 5 5 0 0.0012905
5 5 5 1 -0.0004217
5 5 5 2 -0.0027754
5 5 5 3 -0.0132216
5 5 5 4 -0.0341195
5 5 5 5 0.5432892
6 0 0 0 0.0100001
6 0 1 0 0.0000324
6 0 1 1 -0.0001751
6 0 2 0 0.0000021
6 0 2 1 0.0000001
6 0 2 2 -0.0002194
6 0 3 0 -0.0010199
6 0 3 1 0.0000006
6 0 3 2 0.0000006
6 0 3 3 0.0003308
6 0 4 0 0.0007226
6 0 4 1 0.0000091
6 0 4 2 0.0000044
6 0 4 3 -0.0003958
6 0 4 4 0.0002366
6 0 5 0 0.0003849
6 0 5 1 0.0000059
6 0 5 2 0.0000050
6 0 5 3 0.0007433
6 0 5 4 -0.0005602
6 0 5 5 0.0003321
6 0 6 0 0.0110643
