NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-22.630894
ENERGIES
-6.733830
-0.348447
0.061819
0.278726
1.006455
1.472697
1.559794
849736.783593
965066.507336
996478.213439
1070621.140997
1118093.893078

OEI
-13.450987	
3 3 3 3 0.4976321
4 0 0 0 0.2087943
4 0 1 0 -0.0119546
4 0 1 1 0.0119400
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 0.0066946
4 0 3 0 -0.0269091
4 0 3 1 -0.0039701
4 0 3 2 0.0000000
4 0 3 3 0.0005396
4 0 4 0 0.0314739
4 0 4 1 0.0011216
4 0 4 2 -0.0000000
4 0 4 3 0.0080621
4 0 4 4 -0.0035024
4 1 0 0 -0.0066338
4 1 1 0 -0.0003820
4 1 1 1 -0.0347600
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 0.0321817
4 1 3 0 -0.0015082
4 1 3 1 0.0484854
4 1 3 2 0.0000000
4 1 3 3 -0.0208104
4 1 4 0 0.0011216
4 1 4 1 0.0453866
4 1 4 2 0.0000000
4 1 4 3 -0.0064216
4 1 4 4 -0.0063881
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 0.0005665
4 2 2 1 0.0595105
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0541471
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0579247
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.2146449
4 3 1 0 0.0067978
4 3 1 1 0.0758948
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 0.0162830
4 3 3 0 -0.0030081
4 3 3 1 -0.0461129
4 3 3 2 0.0000000
4 3 3 3 -0.0153934
4 3 4 0 0.0080621
4 3 4 1 -0.0064216
4 3 4 2 -0.0000000
4 3 4 3 0.1427531
4 3 4 4 -0.0814939
4 4 0 0 0.7111819
4 4 1 0 -0.0065488
4 4 1 1 0.4522153
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4627075
4 4 3 0 -0.0007067
4 4 3 1 0.0112272
4 4 3 2 -0.0000000
4 4 3 3 0.5005147
4 4 4 0 -0.0035024
4 4 4 1 -0.0063881
4 4 4 2 0.0000000
4 4 4 3 -0.0814939
4 4 4 4 0.5500385
5 0 0 0 0.0000000
5 0 1 0 -0.0000000
5 0 1 1 -0.0000000
5 0 2 0 -0.0125273
5 0 2 1 -0.0136698
5 0 2 2 0.0000000
5 0 3 0 -0.0000000
5 0 3 1 0.0000000
5 0 3 2 -0.0165986
5 0 3 3 -0.0000000
5 0 4 0 0.0000000
5 0 4 1 -0.0000000
5 0 4 2 -0.0019191
5 0 4 3 -0.0000000
5 0 4 4 0.0000000
5 0 5 0 0.0265926
5 0 5 1 0.0022756
5 0 5 2 -0.0000000
5 0 5 3 0.0093314
5 0 5 4 -0.0144797
5 0 5 5 -0.0000000
5 1 0 0 -0.0000000
5 1 1 0 -0.0000000
5 1 1 1 -0.0000000
5 1 2 0 -0.0020192
5 1 2 1 0.0323457
5 1 2 2 -0.0000000
5 1 3 0 0.0000000
5 1 3 1 -0.0000000
5 1 3 2 0.0305695
5 1 3 3 -0.0000000
5 1 4 0 -0.0000000
5 1 4 1 -0.0000000
5 1 4 2 0.0319524
5 1 4 3 0.0000000
5 1 4 4 -0.0000000
5 1 5 0 0.0022756
