NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.736053
ENERGIES
-10.954402
-0.932216
-0.539475
-0.329184
0.464732
0.653195
0.717630
849736.466498
965066.256960
996477.922830
1070620.556238
1118093.898555

OEI
-18.535377	
3 3 3 2 0.0000000
3 3 3 3 0.6185429
4 0 0 0 0.1053628
4 0 1 0 -0.0081474
4 0 1 1 0.0041058
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 0.0024630
4 0 3 0 0.0139679
4 0 3 1 0.0031177
4 0 3 2 -0.0000000
4 0 3 3 -0.0038772
4 0 4 0 0.0078948
4 0 4 1 0.0001115
4 0 4 2 -0.0000000
4 0 4 3 -0.0034142
4 0 4 4 0.0002017
4 1 0 0 -0.0360972
4 1 1 0 -0.0007807
4 1 1 1 -0.0331901
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 0.0264944
4 1 3 0 0.0002737
4 1 3 1 -0.0273256
4 1 3 2 -0.0000000
4 1 3 3 -0.0361340
4 1 4 0 0.0001115
4 1 4 1 0.0665306
4 1 4 2 -0.0000000
4 1 4 3 0.0164569
4 1 4 4 -0.0187843
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 0.0018929
4 2 2 1 0.0703160
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0211100
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0751469
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.1668757
4 3 1 0 -0.0059064
4 3 1 1 -0.0293692
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0224767
4 3 3 0 -0.0075860
4 3 3 1 -0.0543907
4 3 3 2 0.0000000
4 3 3 3 0.0990906
4 3 4 0 -0.0034142
4 3 4 1 0.0164569
4 3 4 2 0.0000000
4 3 4 3 0.0990594
4 3 4 4 -0.0388326
4 4 0 0 0.5056313
4 4 1 0 0.0009814
4 4 1 1 0.5124419
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4665381
4 4 3 0 0.0004195
4 4 3 1 0.0232127
4 4 3 2 0.0000000
4 4 3 3 0.4521282
4 4 4 0 0.0002017
4 4 4 1 -0.0187843
4 4 4 2 -0.0000000
4 4 4 3 -0.0388326
4 4 4 4 0.5170508
5 0 0 0 0.2383429
5 0 1 0 -0.0272934
5 0 1 1 -0.0119861
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 -0.0003159
5 0 3 0 0.0102026
5 0 3 1 -0.0054109
5 0 3 2 -0.0000000
5 0 3 3 0.0148301
5 0 4 0 0.0073764
5 0 4 1 0.0005508
5 0 4 2 0.0000000
5 0 4 3 0.0130657
5 0 4 4 -0.0012214
5 0 5 0 0.0428158
5 0 5 1 0.0039663
5 0 5 2 -0.0000000
5 0 5 3 -0.0029178
5 0 5 4 -0.0016315
5 0 5 5 -0.0097983
5 1 0 0 -0.2746653
5 1 1 0 -0.0006695
5 1 1 1 -0.0721689
5 1 2 0 -0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0684947
5 1 3 0 -0.0079737
5 1 3 1 0.0255713
5 1 3 2 -0.0000000
5 1 3 3 -0.0935868
5 1 4 0 -0.0041449
5 1 4 1 0.0041160
5 1 4 2 -0.0000000
5 1 4 3 -0.0549761
5 1 4 4 0.0028381
5 1 5 0 0.0039663
5 1 5 1 0.1094977
5 1 5 2 -0.0000000
5 1 5 3 0.0229763
5 1 5 4 -0.0116670
5 1 5 5 -0.1037054
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 -0.0057682
5 2 2 1 0.0040794
5 2 2 2 0.0000000
5 2 3 0 0.0000000
5 2 3 1 -0.0000000
5 2 3 2 -0.0018352
5 2 3 3 0.0000000
5 2 4 0 0.0000000
5 2 4 1 -0.0000000
5 2 4 2 0.0228915
5 2 4 3 0.0000000
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0295699
5 2 5 3 -0.0000000
5 2 5 4 -0.0000000
5 2 5 5 0.0000000
5 3 0 0 -0.0509394
5 3 1 0 0.0032809
5 3 1 1 0.0212981
5 3 2 0 -0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0116736
5 3 3 0 -0.0033914
5 3 3 1 0.0010681
5 3 3 2 0.0000000
5 3 3 3 -0.0141382
5 3 4 0 -0.0013991
5 3 4 1 -0.0260460
5 3 4 2 -0.0000000
5 3 4 3 -0.0307932
5 3 4 4 0.0223429
5 3 5 0 -0.0029178
5 3 5 1 0.0229763
5 3 5 2 -0.0000000
5 3 5 3 0.0422255
5 3 5 4 -0.0103130
5 3 5 5 -0.0005952
5 4 0 0 -0.0045392
5 4 1 0 0.0014393
5 4 1 1 -0.0062447
5 4 2 0 -0.0000000
5 4 2 1 -0.0000000
5 4 2 2 0.0235567
5 4 3 0 -0.0009035
5 4 3 1 -0.0354287
5 4 3 2 0.0000000
5 4 3 3 -0.0182564
5 4 4 0 -0.0004992
5 4 4 1 0.0492471
5 4 4 2 -0.0000000
5 4 4 3 0.0185009
5 4 4 4 -0.0113332
5 4 5 0 -0.0016315
5 4 5 1 -0.0116670
5 4 5 2 -0.0000000
5 4 5 3 -0.0103130
5 4 5 4 0.0565496
5 4 5 5 -0.0150778
5 5 0 0 0.8044328
5 5 1 0 0.0013166
5 5 1 1 0.5812888
5 5 2 0 -0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.5106920
5 5 3 0 0.0183344
5 5 3 1 0.0239822
5 5 3 2 0.0000000
5 5 3 3 0.5065882
5 5 4 0 0.0092615
5 5 4 1 -0.0334655
5 5 4 2 -0.0000000
5 5 4 3 -0.0055734
5 5 4 4 0.4980111
5 5 5 0 -0.0097983
5 5 5 1 -0.1037054
5 5 5 2 0.0000000
5 5 5 3 -0.0005952
5 5 5 4 -0.0150778
5 5 5 5 0.6211498
6 0 0 0 0.0000000
6 0 1 0 -0.0000000
6 0 1 1 -0.0000000
6 0 2 0 -0.0133550
6 0 2 1 -0.0134412
6 0 2 2 0.0000000
