NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.295327
ENERGIES
-10.900837
-0.904314
-0.503025
-0.298088
0.484730
0.687435
0.756300
849736.493491
965066.265392
996477.905883
1070620.561723
1118093.929673

OEI
-18.434465	
3 3 3 1 -0.0381998
3 3 3 2 0.0000000
3 3 3 3 0.6087263
4 0 0 0 -0.1003989
4 0 1 0 0.0073512
4 0 1 1 -0.0046960
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0025428
4 0 3 0 -0.0141070
4 0 3 1 -0.0033747
4 0 3 2 -0.0000000
4 0 3 3 0.0045018
4 0 4 0 0.0080301
4 0 4 1 0.0003364
4 0 4 2 -0.0000000
4 0 4 3 -0.0041363
4 0 4 4 -0.0001039
4 1 0 0 0.0268281
4 1 1 0 0.0006933
4 1 1 1 0.0311856
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 -0.0293507
4 1 3 0 -0.0007298
4 1 3 1 0.0294252
4 1 3 2 -0.0000000
4 1 3 3 0.0350744
4 1 4 0 0.0003364
4 1 4 1 0.0659891
4 1 4 2 -0.0000000
4 1 4 3 0.0183713
4 1 4 4 0.0197438
4 2 0 0 0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0020179
4 2 2 1 -0.0707413
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 0.0227811
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0753608
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.1740769
4 3 1 0 0.0059945
4 3 1 1 0.0327215
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 -0.0217795
4 3 3 0 0.0073027
4 3 3 1 0.0579219
4 3 3 2 -0.0000000
4 3 3 3 -0.0972212
4 3 4 0 -0.0041363
4 3 4 1 0.0183713
4 3 4 2 -0.0000000
4 3 4 3 0.1072788
4 3 4 4 0.0365238
4 4 0 0 0.5144355
4 4 1 0 0.0005590
4 4 1 1 0.5114305
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4671955
4 4 3 0 0.0001241
4 4 3 1 0.0230321
4 4 3 2 0.0000000
4 4 3 3 0.4601570
4 4 4 0 -0.0001039
4 4 4 1 0.0197438
4 4 4 2 0.0000000
4 4 4 3 0.0365238
4 4 4 4 0.5140640
5 0 0 0 -0.2409677
5 0 1 0 0.0270725
5 0 1 1 0.0120217
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 0.0004797
5 0 3 0 -0.0111316
5 0 3 1 0.0053997
5 0 3 2 -0.0000000
5 0 3 3 -0.0142111
5 0 4 0 0.0061128
5 0 4 1 0.0002385
5 0 4 2 -0.0000000
5 0 4 3 0.0135499
5 0 4 4 0.0004503
5 0 5 0 0.0435548
5 0 5 1 0.0040919
5 0 5 2 -0.0000000
5 0 5 3 -0.0028413
5 0 5 4 0.0016234
5 0 5 5 0.0099021
5 1 0 0 0.2727708
5 1 1 0 0.0007106
5 1 1 1 0.0708386
5 1 2 0 0.0000000
5 1 2 1 -0.0000000
5 1 2 2 0.0657113
5 1 3 0 0.0078048
5 1 3 1 -0.0263292
5 1 3 2 0.0000000
5 1 3 3 0.0904481
5 1 4 0 -0.0044774
5 1 4 1 0.0022974
5 1 4 2 0.0000000
5 1 4 3 -0.0563764
5 1 4 4 0.0003664
5 1 5 0 0.0040919
5 1 5 1 0.1083615
5 1 5 2 0.0000000
5 1 5 3 0.0193740
5 1 5 4 0.0041522
5 1 5 5 0.1082077
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 0.0055241
5 2 2 1 -0.0072344
5 2 2 2 0.0000000
5 2 3 0 0.0000000
5 2 3 1 -0.0000000
5 2 3 2 0.0032439
5 2 3 3 0.0000000
5 2 4 0 -0.0000000
5 2 4 1 0.0000000
5 2 4 2 0.0248655
5 2 4 3 -0.0000000
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0312746
5 2 5 3 0.0000000
5 2 5 4 -0.0000000
5 2 5 5 0.0000000
5 3 0 0 0.0420661
5 3 1 0 -0.0031248
5 3 1 1 -0.0232030
5 3 2 0 -0.0000000
5 3 2 1 -0.0000000
5 3 2 2 0.0099668
5 3 3 0 0.0032200
5 3 3 1 -0.0019272
5 3 3 2 0.0000000
5 3 3 3 0.0083508
5 3 4 0 -0.0012432
5 3 4 1 -0.0271791
5 3 4 2 -0.0000000
5 3 4 3 -0.0308224
5 3 4 4 -0.0203944
5 3 5 0 -0.0028413
5 3 5 1 0.0193740
5 3 5 2 0.0000000
5 3 5 3 0.0407683
5 3 5 4 0.0078177
5 3 5 5 0.0005797
5 4 0 0 -0.0204568
5 4 1 0 0.0015889
5 4 1 1 -0.0090783
5 4 2 0 0.0000000
5 4 2 1 0.0000000
5 4 2 2 0.0211109
5 4 3 0 -0.0015440
5 4 3 1 -0.0354911
5 4 3 2 -0.0000000
5 4 3 3 -0.0230828
5 4 4 0 0.0007861
5 4 4 1 -0.0479949
5 4 4 2 -0.0000000
5 4 4 3 -0.0145879
5 4 4 4 -0.0112568
5 4 5 0 0.0016234
5 4 5 1 0.0041522
5 4 5 2 -0.0000000
5 4 5 3 0.0078177
5 4 5 4 0.0545095
5 4 5 5 -0.0156046
5 5 0 0 0.8116397
5 5 1 0 0.0011998
5 5 1 1 0.5799510
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5130399
5 5 3 0 0.0181704
5 5 3 1 0.0195512
5 5 3 2 -0.0000000
5 5 3 3 0.5077135
5 5 4 0 -0.0101740
5 5 4 1 0.0248714
5 5 4 2 -0.0000000
5 5 4 3 0.0017714
5 5 4 4 0.4968069
5 5 5 0 0.0099021
5 5 5 1 0.1082077
5 5 5 2 0.0000000
5 5 5 3 0.0005797
5 5 5 4 -0.0156046
5 5 5 5 0.6241478
6 0 0 0 0.0000000
6 0 1 0 -0.0000000
6 0 1 1 -0.0000000
6 0 2 0 0.0132558
6 0 2 1 0.0133576
6 0 2 2 0.0000000
6 0 3 0 0.0000000
6 0 3 1 -0.0000000
6 0 3 2 -0.0106078
6 0 3 3 0.0000000
6 0 4 0 -0.0000000
6 0 4 1 0.0000000
6 0 4 2 -0.0024855
6 0 4 3 -0.0000000
6 0 4 4 -0.0000000
6 0 5 0 -0.0000000
6 0 5 1 -0.0000000
6 0 5 2 0.0069325
6 0 5 3 -0.0000000
6 0 5 4 0.0000000
6 0 5 5 0.0000000
6 0 6 0 0.0190562
6 0 6 1 0.0045025
6 0 6 2 0.0000000
6 0 6 3 -0.0097593
6 0 6 4 0.0084099
6 0 6 5 0.0112378
6 0 6 6 -0.0000000
6 1 0 0 -0.0000000
6 1 1 0 -0.0000000
6 1 1 1 -0.0000000
6 1 2 0 0.0034846
6 1 2 1 -0.0300908
6 1 2 2 -0.0000000
6 1 3 0 -0.0000000
6 1 3 1 0.0000000
6 1 3 2 0.0055226
6 1 3 3 -0.0000000
6 1 4 0 0.0000000
6 1 4 1 -0.0000000
6 1 4 2 0.0438313
6 1 4 3 0.0000000
6 1 4 4 0.0000000
6 1 5 0 0.0000000
6 1 5 1 -0.0000000
6 1 5 2 0.0302210
6 1 5 3 -0.0000000
6 1 5 4 -0.0000000
6 1 5 5 -0.0000000
6 1 6 0 0.0045025
6 1 6 1 0.0392307
6 1 6 2 -0.0000000
6 1 6 3 -0.0141639
6 1 6 4 -0.0463226
6 1 6 5 -0.0289839
6 1 6 6 0.0000000
6 2 0 0 0.2542255
6 2 1 0 -0.0059382
6 2 1 1 0.0099451
6 2 2 0 -0.0000000
6 2 2 1 -0.0000000
6 2 2 2 0.0437164
6 2 3 0 0.0016550
6 2 3 1 -0.0199938
6 2 3 2 0.0000000
6 2 3 3 0.1016085
6 2 4 0 -0.0012058
6 2 4 1 0.0236360
6 2 4 2 -0.0000000
6 2 4 3 -0.0702090
6 2 4 4 -0.0212303
6 2 5 0 -0.0088302
6 2 5 1 0.0752578
6 2 5 2 0.0000000
6 2 5 3 0.0181778
6 2 5 4 -0.0299886
6 2 5 5 0.0487866
6 2 6 0 0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.1208086
6 2 6 3 -0.0000000
6 2 6 4 0.0000000
6 2 6 5 0.0000000
6 2 6 6 0.0443747
6 3 0 0 -0.0000000
6 3 1 0 0.0000000
6 3 1 1 0.0000000
6 3 2 0 -0.0070995
6 3 2 1 -0.0104427
6 3 2 2 -0.0000000
6 3 3 0 -0.0000000
6 3 3 1 0.0000000
6 3 3 2 0.0261001
6 3 3 3 -0.0000000
6 3 4 0 0.0000000
6 3 4 1 0.0000000
6 3 4 2 -0.0131725
6 3 4 3 0.0000000
6 3 4 4 0.0000000
6 3 5 0 -0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0087016
6 3 5 3 -0.0000000
6 3 5 4 -0.0000000
6 3 5 5 0.0000000
6 3 6 0 -0.0097593
6 3 6 1 -0.0141639
6 3 6 2 -0.0000000
6 3 6 3 0.0309772
6 3 6 4 -0.0059929
6 3 6 5 0.0003404
6 3 6 6 -0.0000000
6 4 0 0 0.0000000
6 4 1 0 -0.0000000
6 4 1 1 0.0000000
6 4 2 0 0.0061045
6 4 2 1 0.0785993
6 4 2 2 0.0000000
6 4 3 0 0.0000000
6 4 3 1 0.0000000
6 4 3 2 -0.0420767
6 4 3 3 0.0000000
6 4 4 0 0.0000000
6 4 4 1 0.0000000
6 4 4 2 -0.0729661
6 4 4 3 0.0000000
6 4 4 4 -0.0000000
6 4 5 0 0.0000000
6 4 5 1 -0.0000000
6 4 5 2 -0.0311010
6 4 5 3 -0.0000000
6 4 5 4 0.0000000
6 4 5 5 0.0000000
6 4 6 0 0.0084099
6 4 6 1 -0.0463226
6 4 6 2 0.0000000
6 4 6 3 -0.0059929
6 4 6 4 0.0933151
6 4 6 5 0.0660206
6 4 6 6 -0.0000000
6 5 0 0 -0.0000000
6 5 1 0 -0.0000000
6 5 1 1 -0.0000000
6 5 2 0 0.0085478
6 5 2 1 0.0715902
6 5 2 2 0.0000000
6 5 3 0 -0.0000000
6 5 3 1 -0.0000000
6 5 3 2 -0.0274054
6 5 3 3 -0.0000000
6 5 4 0 0.0000000
6 5 4 1 -0.0000000
6 5 4 2 -0.0598097
6 5 4 3 -0.0000000
6 5 4 4 -0.0000000
6 5 5 0 -0.0000000
6 5 5 1 -0.0000000
6 5 5 2 -0.0098976
6 5 5 3 0.0000000
6 5 5 4 0.0000000
6 5 5 5 0.0000000
6 5 6 0 0.0112378
6 5 6 1 -0.0289839
6 5 6 2 0.0000000
6 5 6 3 0.0003404
6 5 6 4 0.0660206
6 5 6 5 0.0650902
6 5 6 6 -0.0000000
6 6 0 0 0.7146392
6 6 1 0 -0.0053453
6 6 1 1 0.4924217
6 6 2 0 -0.0000000
6 6 2 1 -0.0000000
6 6 2 2 0.5303339
6 6 3 0 0.0044416
6 6 3 1 -0.0244030
6 6 3 2 0.0000000
6 6 3 3 0.4899218
6 6 4 0 -0.0027258
6 6 4 1 -0.0316296
6 6 4 2 0.0000000
