NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-20.939638
ENERGIES
-6.469568
-0.101776
0.242977
0.505602
1.215488
1.668736
1.787359
849737.159751
965066.822864
996478.652526
1070620.970604
1118094.604900

OEI
-13.279093	
3 3 3 3 0.5172560
4 0 0 0 -0.2211306
4 0 1 0 0.0157611
4 0 1 1 -0.0087451
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0056986
4 0 3 0 -0.0281482
4 0 3 1 -0.0042736
4 0 3 2 -0.0000000
4 0 3 3 -0.0006707
4 0 4 0 0.0299802
4 0 4 1 -0.0001691
4 0 4 2 -0.0000000
4 0 4 3 -0.0055452
4 0 4 4 0.0004463
4 1 0 0 0.0384523
4 1 1 0 0.0003263
4 1 1 1 0.0214366
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0362805
4 1 3 0 -0.0006084
4 1 3 1 0.0468663
4 1 3 2 0.0000000
4 1 3 3 0.0375971
4 1 4 0 -0.0001691
4 1 4 1 0.0586614
4 1 4 2 -0.0000000
4 1 4 3 0.0051897
4 1 4 4 0.0183867
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0008794
4 2 2 1 -0.0783333
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0464707
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0689334
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 -0.2256215
4 3 1 0 0.0076289
4 3 1 1 0.0681829
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0136615
4 3 3 0 0.0060122
4 3 3 1 0.0591744
4 3 3 2 -0.0000000
4 3 3 3 -0.0403949
4 3 4 0 -0.0055452
4 3 4 1 0.0051897
4 3 4 2 0.0000000
4 3 4 3 0.1593896
4 3 4 4 -0.0425723
4 4 0 0 0.6516762
4 4 1 0 -0.0047358
4 4 1 1 0.4749761
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4642926
4 4 3 0 -0.0003963
4 4 3 1 0.0005047
4 4 3 2 0.0000000
4 4 3 3 0.5100429
4 4 4 0 0.0004463
4 4 4 1 0.0183867
4 4 4 2 -0.0000000
4 4 4 3 -0.0425723
4 4 4 4 0.5170856
5 0 0 0 0.0000000
5 0 1 0 -0.0000000
5 0 1 1 -0.0000000
5 0 2 0 -0.0121476
5 0 2 1 -0.0160923
5 0 2 2 0.0000000
5 0 3 0 0.0000000
5 0 3 1 0.0000000
5 0 3 2 0.0140182
5 0 3 3 0.0000000
5 0 4 0 -0.0000000
5 0 4 1 -0.0000000
5 0 4 2 0.0028878
5 0 4 3 -0.0000000
