NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-23.955807
ENERGIES
-6.902750
-0.518264
-0.094390
0.111558
0.842351
1.313594
1.392018
849736.683414
965066.354871
996478.041960
1070620.478433
1118094.166664

OEI
-13.617691	
3 3 3 2 0.0000000
3 3 3 3 0.4988256
4 0 0 0 -0.2078842
4 0 1 0 0.0122493
4 0 1 1 -0.0120088
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0067054
4 0 3 0 -0.0271461
4 0 3 1 -0.0039339
4 0 3 2 -0.0000000
4 0 3 3 -0.0005014
4 0 4 0 0.0312588
4 0 4 1 0.0012172
4 0 4 2 0.0000000
4 0 4 3 -0.0081016
4 0 4 4 0.0034647
4 1 0 0 0.0081890
4 1 1 0 0.0003081
4 1 1 1 0.0344942
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0322158
4 1 3 0 -0.0015393
4 1 3 1 0.0478263
4 1 3 2 -0.0000000
4 1 3 3 0.0215258
4 1 4 0 0.0012172
4 1 4 1 0.0451671
4 1 4 2 -0.0000000
4 1 4 3 0.0051632
4 1 4 4 0.0064866
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0006361
4 2 2 1 -0.0598002
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 0.0544662
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0590595
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.2144812
4 3 1 0 0.0068697
4 3 1 1 0.0751957
4 3 2 0 0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0161567
4 3 3 0 0.0028370
4 3 3 1 0.0475116
4 3 3 2 0.0000000
4 3 3 3 -0.0164803
4 3 4 0 -0.0081016
4 3 4 1 0.0051632
4 3 4 2 -0.0000000
4 3 4 3 0.1424754
4 3 4 4 -0.0806953
4 4 0 0 0.7096843
4 4 1 0 -0.0066066
4 4 1 1 0.4527209
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4634497
4 4 3 0 0.0009339
4 4 3 1 -0.0128706
4 4 3 2 -0.0000000
4 4 3 3 0.5009080
4 4 4 0 0.0034647
4 4 4 1 0.0064866
4 4 4 2 0.0000000
4 4 4 3 -0.0806953
4 4 4 4 0.5488142
5 0 0 0 0.0000000
5 0 1 0 -0.0000000
5 0 1 1 -0.0000000
5 0 2 0 0.0125615
5 0 2 1 0.0136933
5 0 2 2 0.0000000
5 0 3 0 0.0000000
5 0 3 1 0.0000000
5 0 3 2 -0.0166583
5 0 3 3 -0.0000000
5 0 4 0 -0.0000000
5 0 4 1 0.0000000
5 0 4 2 -0.0020252
5 0 4 3 -0.0000000
5 0 4 4 0.0000000
5 0 5 0 0.0265668
5 0 5 1 0.0024353
5 0 5 2 0.0000000
5 0 5 3 -0.0095143
5 0 5 4 0.0144625
5 0 5 5 -0.0000000
5 1 0 0 -0.0000000
5 1 1 0 0.0000000
