NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.868148
ENERGIES
-10.964342
-0.926472
-0.540465
-0.325945
0.485922
0.669639
0.711401
849736.433831
965066.312723
996478.089886
1070621.007977
1118093.563277

OEI
-18.588817	
0.220117	-4.628648	
-0.000000	0.000000	-4.232288	
-0.187943	0.117027	-0.000000	-4.338098	
0.153609	-0.300613	-0.000000	0.396242	-3.134453	
-0.235631	0.899436	0.000000	0.242266	0.180394	-3.844722	
0.000000	-0.000000	0.795322	-0.000000	-0.000000	0.000000	-3.538051	
-0.115889	-0.053945	0.000000	0.034269	0.003871	-0.015582	0.000000	849732.856099	
0.000000	-0.000000	-0.133278	-0.000000	0.000000	-0.000000	-0.025901	0.000000	965063.479053	
-0.005056	-0.023456	-0.000000	-0.002198	0.003144	0.013201	0.000000	-0.001115	0.000000	996474.909273	
0.038112	0.197451	0.000000	0.066141	0.118905	0.139337	-0.000000	0.151205	0.000000	-0.133039	1070618.491908	
0.112648	0.079454	0.000000	-0.126987	-0.005747	-0.002936	0.000000	0.852998	-0.000000	0.037606	-0.323291	1118089.879957	

ENV_OEI
-5.115815	
0.412570	-0.625899	
-0.000000	0.000000	-0.489497	
-0.365237	-0.068998	-0.000000	-0.661886	
0.308808	-0.297950	0.000000	-0.131594	-0.764324	
-0.478539	0.038056	0.000000	-0.200301	-0.312836	-0.978648	
0.000000	-0.000000	0.147342	0.000000	0.000000	0.000000	-0.521108	
-0.221130	-0.006421	0.000000	0.038390	0.050368	-0.014777	0.000000	-0.763176	
-0.000000	0.000000	0.131157	-0.000000	-0.000000	0.000000	0.141078	0.000000	-0.818679	
0.014928	-0.259523	0.000000	-0.611185	-1.348723	-0.974638	0.000000	-0.125623	-0.000000	-18.629459	
0.055112	-0.039194	0.000000	-0.002682	-0.036467	-0.068073	0.000000	-0.222291	0.000000	-1.669351	-0.878967	
0.210208	-0.001935	0.000000	0.038069	0.028504	0.047613	-0.000000	-0.039384	0.000000	0.179215	-0.134122	-0.596094	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996665	-0.016308	0.006497	0.006497	-0.001354	0.006665	0.027471	-0.000000	0.007900	-0.002259	0.000000	0.003204	
0.143809	-0.337437	-0.268038	-0.268038	0.027559	0.046179	0.319952	0.000000	0.227871	-0.168929	-0.000000	-0.281564	
-0.000000	0.000000	0.437276	-0.437276	-0.000000	-0.000000	-0.000000	0.619371	0.000000	0.000000	-0.337691	0.000000	
-0.127333	0.510617	0.117419	0.117419	0.054703	-0.221766	-0.301709	-0.000000	0.687272	-0.026100	0.000000	-0.366260	
0.105839	-0.655683	0.896431	0.896431	0.117565	-0.701195	0.238998	0.000000	-0.148040	-0.162565	0.000000	-0.599782	
-0.167324	1.026822	-0.415934	-0.415934	0.086857	-0.525064	-0.368943	-0.000000	-0.928076	-0.287435	-0.000000	-0.701790	
0.000000	-0.000000	0.951170	-0.951170	-0.000000	0.000000	0.000000	-1.080665	0.000000	0.000000	-0.330462	0.000000	
-0.084288	0.388040	-0.000000	-0.000000	0.012325	-0.049401	0.608823	0.000000	-0.000000	-0.744813	-0.000000	0.291146	
-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	-0.000000	-0.000000	0.053739	-0.000000	0.092871	
0.018947	-0.087226	-0.000000	-0.000000	0.019715	0.850780	-0.136854	-0.000000	-0.000000	-0.334096	-0.000000	-0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	-0.000000	-0.000000	-0.509850	0.000000	0.308002	

ERI
0 0 0 0 3.5236181
1 0 0 0 -0.1916113
1 0 1 0 0.0206474
1 0 1 1 0.0058968
1 1 0 0 0.6470259
1 1 1 0 0.0058968
1 1 1 1 0.5934777
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0095208
2 0 2 1 0.0111185
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0111185
2 1 2 1 0.1051578
2 1 2 2 -0.0000000
2 2 0 0 0.6535782
2 2 1 0 -0.0008047
2 2 1 1 0.5124275
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5397245
3 0 0 0 0.1661354
3 0 1 0 -0.0127081
3 0 1 1 0.0087395
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0038779
3 0 3 0 0.0249304
3 0 3 1 0.0082655
3 0 3 2 -0.0000000
3 0 3 3 -0.0095665
3 1 0 0 -0.0535581
3 1 1 0 0.0011197
3 1 1 1 0.0187728
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0189229
3 1 3 0 0.0082655
3 1 3 1 0.0588478
3 1 3 2 -0.0000000
3 1 3 3 -0.0420117
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0072590
3 2 2 1 -0.0384660
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0371296
3 2 3 3 0.0000000
3 3 0 0 0.7773734
3 3 1 0 -0.0067043
3 3 1 1 0.4872225
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4859476
3 3 3 0 -0.0095665
3 3 3 1 -0.0420117
3 3 3 2 0.0000000
3 3 3 3 0.6319734
4 0 0 0 -0.1392613
4 0 1 0 0.0128750
4 0 1 1 -0.0015742
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0022282
4 0 3 0 -0.0142795
4 0 3 1 -0.0020520
4 0 3 2 -0.0000000
4 0 3 3 0.0007737
4 0 4 0 0.0104438
4 0 4 1 -0.0003774
4 0 4 2 -0.0000000
4 0 4 3 -0.0011255
4 0 4 4 -0.0000088
4 1 0 0 0.0868701
4 1 1 0 0.0008328
4 1 1 1 0.0418739
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0140639
4 1 3 0 0.0013155
4 1 3 1 0.0194721
4 1 3 2 0.0000000
4 1 3 3 0.0533492
4 1 4 0 -0.0003774
4 1 4 1 0.0706210
4 1 4 2 0.0000000
4 1 4 3 0.0062867
4 1 4 4 0.0072243
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0010267
4 2 2 1 -0.0719635
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0162330
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0797349
4 2 4 3 -0.0000000
4 2 4 4 -0.0000000
4 3 0 0 -0.1422054
4 3 1 0 0.0050018
4 3 1 1 0.0206696
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0198300
4 3 3 0 0.0084841
4 3 3 1 0.0526602
4 3 3 2 -0.0000000
4 3 3 3 -0.0920845
4 3 4 0 -0.0011255
4 3 4 1 0.0062867
4 3 4 2 -0.0000000
4 3 4 3 0.0788478
4 3 4 4 0.0335452
4 4 0 0 0.5030480
4 4 1 0 0.0019255
4 4 1 1 0.5147880
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4728078
4 4 3 0 0.0014822
4 4 3 1 0.0188341
4 4 3 2 -0.0000000
4 4 3 3 0.4393674
4 4 4 0 -0.0000088
4 4 4 1 0.0072243
4 4 4 2 -0.0000000
4 4 4 3 0.0335452
4 4 4 4 0.5204012
5 0 0 0 0.2198528
5 0 1 0 -0.0263438
5 0 1 1 -0.0117690
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
