NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.174814
ENERGIES
-10.838377
-0.503653
-0.438703
-0.245669
0.576147
0.790764
0.894469
849736.562482
965066.564654
996478.263795
1070621.178486
1118093.692394

OEI
-18.384409	
3 3 3 2 0.0000000
3 3 3 3 0.5703601
4 0 0 0 0.2149648
4 0 1 0 0.0175152
4 0 1 1 0.0174967
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0000378
4 0 3 0 -0.0126847
4 0 3 1 0.0011990
4 0 3 2 -0.0000000
4 0 3 3 0.0040968
4 0 4 0 0.0250609
4 0 4 1 0.0026012
4 0 4 2 -0.0000000
4 0 4 3 -0.0003388
4 0 4 4 -0.0019016
4 1 0 0 0.0620790
4 1 1 0 0.0015943
4 1 1 1 0.0231682
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0021285
4 1 3 0 0.0020269
4 1 3 1 -0.0136321
4 1 3 2 0.0000000
4 1 3 3 0.0317047
4 1 4 0 0.0026012
4 1 4 1 0.0092052
4 1 4 2 -0.0000000
4 1 4 3 -0.0207352
4 1 4 4 -0.0024461
4 2 0 0 -0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0015132
4 2 2 1 -0.0283398
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0556219
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.1245140
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.1404221
4 3 1 0 -0.0029604
4 3 1 1 -0.0515037
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 0.0077979
4 3 3 0 -0.0102013
4 3 3 1 0.0338784
4 3 3 2 -0.0000000
4 3 3 3 -0.0860454
4 3 4 0 -0.0003388
4 3 4 1 -0.0207352
4 3 4 2 0.0000000
4 3 4 3 0.0690834
4 3 4 4 -0.0006834
4 4 0 0 0.5964761
4 4 1 0 0.0131738
4 4 1 1 0.3645984
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5117711
4 4 3 0 0.0009842
4 4 3 1 -0.0366525
4 4 3 2 0.0000000
4 4 3 3 0.4575061
4 4 4 0 -0.0019016
4 4 4 1 -0.0024461
4 4 4 2 0.0000000
4 4 4 3 -0.0006834
4 4 4 4 0.5404293
5 0 0 0 0.0000000
5 0 1 0 0.0000000
5 0 1 1 -0.0000000
5 0 2 0 0.0113193
5 0 2 1 -0.0120790
5 0 2 2 0.0000000
5 0 3 0 -0.0000000
5 0 3 1 -0.0000000
5 0 3 2 0.0094350
5 0 3 3 0.0000000
5 0 4 0 0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0017733
5 0 4 3 -0.0000000
5 0 4 4 0.0000000
5 0 5 0 0.0234861
5 0 5 1 -0.0170522
5 0 5 2 0.0000000
5 0 5 3 0.0060405
5 0 5 4 -0.0152798
5 0 5 5 -0.0000000
5 1 0 0 0.0000000
5 1 1 0 -0.0000000
5 1 1 1 0.0000000
5 1 2 0 -0.0084328
5 1 2 1 0.0345233
5 1 2 2 0.0000000
5 1 3 0 -0.0000000
5 1 3 1 -0.0000000
5 1 3 2 -0.0182723
5 1 3 3 0.0000000
5 1 4 0 0.0000000
5 1 4 1 -0.0000000
5 1 4 2 -0.0009045
5 1 4 3 -0.0000000
5 1 4 4 0.0000000
5 1 5 0 -0.0170522
5 1 5 1 0.0510340
5 1 5 2 0.0000000
5 1 5 3 -0.0161984
5 1 5 4 0.0205043
5 1 5 5 0.0000000
5 2 0 0 0.2351624
5 2 1 0 0.0012727
5 2 1 1 0.1206106
5 2 2 0 -0.0000000
5 2 2 1 -0.0000000
5 2 2 2 0.0082140
5 2 3 0 0.0001879
5 2 3 1 -0.0097321
5 2 3 2 0.0000000
5 2 3 3 0.0902328
5 2 4 0 0.0066099
5 2 4 1 0.0218684
5 2 4 2 0.0000000
5 2 4 3 -0.0588896
5 2 4 4 -0.0245770
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.1110082
5 2 5 3 -0.0000000
5 2 5 4 -0.0000000
5 2 5 5 0.0766146
5 3 0 0 0.0000000
5 3 1 0 0.0000000
5 3 1 1 -0.0000000
5 3 2 0 0.0036850
5 3 2 1 -0.0042489
5 3 2 2 0.0000000
5 3 3 0 -0.0000000
5 3 3 1 0.0000000
5 3 3 2 0.0040943
5 3 3 3 -0.0000000
5 3 4 0 -0.0000000
5 3 4 1 -0.0000000
5 3 4 2 -0.0373705
5 3 4 3 0.0000000
5 3 4 4 0.0000000
5 3 5 0 0.0060405
5 3 5 1 -0.0161984
5 3 5 2 -0.0000000
5 3 5 3 0.0334342
5 3 5 4 0.0161250
5 3 5 5 0.0000000
5 4 0 0 -0.0000000
5 4 1 0 0.0000000
5 4 1 1 -0.0000000
5 4 2 0 -0.0057003
5 4 2 1 0.0381960
5 4 2 2 -0.0000000
5 4 3 0 -0.0000000
5 4 3 1 -0.0000000
5 4 3 2 -0.0669642
5 4 3 3 -0.0000000
5 4 4 0 0.0000000
5 4 4 1 -0.0000000
5 4 4 2 -0.1044015
5 4 4 3 0.0000000
5 4 4 4 -0.0000000
5 4 5 0 -0.0152798
5 4 5 1 0.0205043
5 4 5 2 -0.0000000
5 4 5 3 0.0161250
5 4 5 4 0.1157622
5 4 5 5 0.0000000
5 5 0 0 0.7921762
5 5 1 0 0.0067478
5 5 1 1 0.5000625
5 5 2 0 -0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5205372
5 5 3 0 -0.0024833
5 5 3 1 -0.0348187
5 5 3 2 -0.0000000
5 5 3 3 0.5155864
5 5 4 0 0.0086401
5 5 4 1 0.0150693
5 5 4 2 -0.0000000
5 5 4 3 -0.0297927
5 5 4 4 0.5007620
5 5 5 0 -0.0000000
5 5 5 1 0.0000000
5 5 5 2 0.0766146
5 5 5 3 0.0000000
5 5 5 4 0.0000000
5 5 5 5 0.5874538
6 0 0 0 -0.1809426
6 0 1 0 -0.0250174
6 0 1 1 0.0090777
6 0 2 0 0.0000000
6 0 2 1 -0.0000000
6 0 2 2 -0.0044067
6 0 3 0 -0.0008321
6 0 3 1 0.0096546
6 0 3 2 0.0000000
6 0 3 3 -0.0101801
6 0 4 0 -0.0101458
6 0 4 1 -0.0030145
6 0 4 2 0.0000000
6 0 4 3 0.0100851
6 0 4 4 -0.0142246
6 0 5 0 -0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0011018
6 0 5 3 0.0000000
6 0 5 4 -0.0000000
6 0 5 5 -0.0047082
6 0 6 0 0.0279288
6 0 6 1 -0.0032569
6 0 6 2 0.0000000
6 0 6 3 0.0033245
6 0 6 4 -0.0033492
6 0 6 5 -0.0000000
6 0 6 6 0.0085389
6 1 0 0 -0.2383058
6 1 1 0 -0.0000499
6 1 1 1 -0.0663414
6 1 2 0 -0.0000000
6 1 2 1 0.0000000
6 1 2 2 -0.0680624
6 1 3 0 0.0052123
6 1 3 1 0.0418500
6 1 3 2 -0.0000000
6 1 3 3 -0.0704584
6 1 4 0 -0.0102711
6 1 4 1 -0.0089262
6 1 4 2 0.0000000
6 1 4 3 0.0161619
6 1 4 4 -0.0580513
6 1 5 0 -0.0000000
6 1 5 1 -0.0000000
6 1 5 2 -0.0415615
6 1 5 3 -0.0000000
6 1 5 4 0.0000000
6 1 5 5 -0.1066668
6 1 6 0 -0.0032569
6 1 6 1 0.1164926
6 1 6 2 -0.0000000
6 1 6 3 0.0572446
6 1 6 4 -0.0002636
6 1 6 5 -0.0000000
6 1 6 6 0.0003868
6 2 0 0 0.0000000
6 2 1 0 0.0000000
6 2 1 1 0.0000000
6 2 2 0 0.0034645
6 2 2 1 -0.0134278
6 2 2 2 0.0000000
6 2 3 0 -0.0000000
6 2 3 1 -0.0000000
6 2 3 2 -0.0006654
6 2 3 3 0.0000000
6 2 4 0 0.0000000
6 2 4 1 0.0000000
6 2 4 2 -0.0015947
6 2 4 3 -0.0000000
6 2 4 4 -0.0000000
6 2 5 0 0.0068326
6 2 5 1 -0.0199662
6 2 5 2 0.0000000
6 2 5 3 0.0016496
6 2 5 4 -0.0022909
6 2 5 5 0.0000000
6 2 6 0 0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.0124078
6 2 6 3 -0.0000000
6 2 6 4 -0.0000000
6 2 6 5 0.0165557
6 2 6 6 0.0000000
6 3 0 0 -0.1228740
6 3 1 0 -0.0054751
6 3 1 1 0.0166038
6 3 2 0 0.0000000
6 3 2 1 -0.0000000
6 3 2 2 -0.0530087
6 3 3 0 0.0034770
6 3 3 1 0.0220806
6 3 3 2 0.0000000
6 3 3 3 -0.0508069
6 3 4 0 0.0007317
6 3 4 1 -0.0029192
6 3 4 2 -0.0000000
6 3 4 3 0.0128970
6 3 4 4 -0.0648434
6 3 5 0 0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0058487
6 3 5 3 -0.0000000
6 3 5 4 0.0000000
6 3 5 5 -0.0543315
6 3 6 0 0.0033245
6 3 6 1 0.0572446
6 3 6 2 -0.0000000
6 3 6 3 0.0637369
6 3 6 4 -0.0060410
6 3 6 5 -0.0000000
6 3 6 6 0.0309728
6 4 0 0 0.0199619
6 4 1 0 0.0002488
6 4 1 1 0.0041164
6 4 2 0 -0.0000000
6 4 2 1 0.0000000
6 4 2 2 0.0015521
6 4 3 0 0.0045537
6 4 3 1 -0.0079091
6 4 3 2 -0.0000000
6 4 3 3 0.0211527
6 4 4 0 -0.0026840
6 4 4 1 0.0028383
6 4 4 2 -0.0000000
6 4 4 3 -0.0192429
6 4 4 4 0.0088079
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 0.0090095
6 4 5 3 0.0000000
6 4 5 4 0.0000000
6 4 5 5 0.0046092
6 4 6 0 -0.0033492
6 4 6 1 -0.0002636
6 4 6 2 -0.0000000
6 4 6 3 -0.0060410
6 4 6 4 0.0088394
6 4 6 5 -0.0000000
6 4 6 6 0.0038339
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 -0.0000000
6 5 2 0 0.0061381
6 5 2 1 -0.0255758
6 5 2 2 0.0000000
6 5 3 0 0.0000000
6 5 3 1 -0.0000000
6 5 3 2 0.0130702
6 5 3 3 0.0000000
6 5 4 0 -0.0000000
6 5 4 1 0.0000000
6 5 4 2 0.0163531
6 5 4 3 -0.0000000
6 5 4 4 0.0000000
6 5 5 0 0.0129989
6 5 5 1 -0.0335408
6 5 5 2 -0.0000000
6 5 5 3 -0.0012129
6 5 5 4 -0.0242324
6 5 5 5 0.0000000
6 5 6 0 -0.0000000
6 5 6 1 -0.0000000
6 5 6 2 0.0165557
6 5 6 3 -0.0000000
6 5 6 4 -0.0000000
6 5 6 5 0.0296071
6 5 6 6 -0.0000000
6 6 0 0 0.6944482
6 6 1 0 0.0003339
6 6 1 1 0.6008428
6 6 2 0 0.0000000
6 6 2 1 -0.0000000
6 6 2 2 0.3867958
6 6 3 0 -0.0127562
6 6 3 1 0.0762114
6 6 3 2 0.0000000
6 6 3 3 0.4797046
6 6 4 0 0.0157132
