NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.867870
ENERGIES
-10.964307
-0.926459
-0.540445
-0.325926
0.485928
0.669653
0.711423
849736.433838
965066.312716
996478.089859
1070621.007972
1118093.563285

OEI
-18.588748	
3 3 3 3 0.6319654
4 0 0 0 -0.1392520
4 0 1 0 0.0128736
4 0 1 1 -0.0015749
4 0 2 0 -0.0000000
4 0 2 1 -0.0000000
4 0 2 2 -0.0022283
4 0 3 0 0.0142797
4 0 3 1 0.0020524
4 0 3 2 -0.0000000
4 0 3 3 0.0007747
4 0 4 0 0.0104428
4 0 4 1 -0.0003773
4 0 4 2 0.0000000
4 0 4 3 0.0011262
4 0 4 4 -0.0000089
4 1 0 0 0.0868550
4 1 1 0 0.0008328
4 1 1 1 0.0418702
4 1 2 0 -0.0000000
4 1 2 1 0.0000000
4 1 2 2 -0.0140685
4 1 3 0 -0.0013149
4 1 3 1 -0.0194745
4 1 3 2 -0.0000000
4 1 3 3 0.0533449
4 1 4 0 -0.0003773
4 1 4 1 0.0706193
4 1 4 2 -0.0000000
4 1 4 3 -0.0062893
4 1 4 4 0.0072274
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0010270
4 2 2 1 -0.0719645
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0162348
4 2 3 3 -0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0797350
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.1422163
4 3 1 0 -0.0050021
4 3 1 1 -0.0206724
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0198305
4 3 3 0 0.0084838
4 3 3 1 0.0526626
4 3 3 2 -0.0000000
4 3 3 3 0.0920868
4 3 4 0 0.0011262
4 3 4 1 -0.0062893
4 3 4 2 -0.0000000
4 3 4 3 0.0788563
4 3 4 4 -0.0335477
4 4 0 0 0.5030466
4 4 1 0 0.0019252
4 4 1 1 0.5147861
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4728059
4 4 3 0 -0.0014816
4 4 3 1 -0.0188352
4 4 3 2 -0.0000000
4 4 3 3 0.4393724
4 4 4 0 -0.0000089
4 4 4 1 0.0072274
4 4 4 2 0.0000000
4 4 4 3 -0.0335477
4 4 4 4 0.5203990
5 0 0 0 -0.2198595
5 0 1 0 0.0263441
5 0 1 1 0.0117692
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 0.0006386
5 0 3 0 0.0067607
5 0 3 1 -0.0063526
5 0 3 2 0.0000000
5 0 3 3 -0.0157175
5 0 4 0 0.0129909
5 0 4 1 0.0012592
5 0 4 2 0.0000000
5 0 4 3 -0.0120263
5 0 4 4 0.0030244
5 0 5 0 0.0390752
5 0 5 1 0.0041005
5 0 5 2 -0.0000000
5 0 5 3 0.0040988
5 0 5 4 0.0024730
5 0 5 5 0.0099854
5 1 0 0 0.2653894
5 1 1 0 0.0003847
5 1 1 1 0.0711315
5 1 2 0 0.0000000
5 1 2 1 -0.0000000
5 1 2 2 0.0707138
5 1 3 0 -0.0080110
5 1 3 1 0.0264267
5 1 3 2 -0.0000000
5 1 3 3 0.0911569
5 1 4 0 -0.0030533
5 1 4 1 0.0151555
5 1 4 2 0.0000000
5 1 4 3 0.0470031
5 1 4 4 -0.0004513
5 1 5 0 0.0041005
5 1 5 1 0.1048414
5 1 5 2 0.0000000
5 1 5 3 -0.0365758
5 1 5 4 0.0382848
5 1 5 5 0.0827164
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 0.0059912
5 2 2 1 0.0065300
5 2 2 2 0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0016078
5 2 3 3 0.0000000
5 2 4 0 -0.0000000
5 2 4 1 0.0000000
5 2 4 2 0.0154854
5 2 4 3 0.0000000
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0233452
5 2 5 3 -0.0000000
5 2 5 4 -0.0000000
5 2 5 5 0.0000000
5 3 0 0 -0.0865385
5 3 1 0 0.0041667
5 3 1 1 0.0182126
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 -0.0172228
5 3 3 0 0.0027824
5 3 3 1 -0.0066640
5 3 3 2 0.0000000
5 3 3 3 -0.0363419
5 3 4 0 0.0019087
5 3 4 1 0.0193143
5 3 4 2 0.0000000
5 3 4 3 -0.0349612
5 3 4 4 0.0262244
5 3 5 0 0.0040988
5 3 5 1 -0.0365758
5 3 5 2 -0.0000000
5 3 5 3 0.0527357
5 3 5 4 -0.0207768
5 3 5 5 0.0029735
5 4 0 0 0.0551339
5 4 1 0 0.0010736
5 4 1 1 0.0098606
5 4 2 0 0.0000000
5 4 2 1 0.0000000
5 4 2 2 0.0325238
5 4 3 0 -0.0021461
5 4 3 1 0.0322626
5 4 3 2 0.0000000
5 4 3 3 -0.0030170
5 4 4 0 -0.0004693
5 4 4 1 -0.0407303
5 4 4 2 -0.0000000
5 4 4 3 0.0265026
5 4 4 4 -0.0024176
5 4 5 0 0.0024730
5 4 5 1 0.0382848
5 4 5 2 -0.0000000
5 4 5 3 -0.0207768
5 4 5 4 0.0594166
5 4 5 5 -0.0142865
5 5 0 0 0.7840416
5 5 1 0 0.0007182
5 5 1 1 0.5774989
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.4984951
5 5 3 0 -0.0183680
5 5 3 1 -0.0385143
5 5 3 2 0.0000000
5 5 3 3 0.5071658
5 5 4 0 -0.0066145
5 5 4 1 0.0668986
5 5 4 2 -0.0000000
5 5 4 3 -0.0189003
5 5 4 4 0.5005013
5 5 5 0 0.0099854
5 5 5 1 0.0827164
5 5 5 2 0.0000000
5 5 5 3 0.0029735
5 5 5 4 -0.0142865
5 5 5 5 0.6243067
6 0 0 0 -0.0000000
6 0 1 0 0.0000000
6 0 1 1 0.0000000
6 0 2 0 -0.0133422
6 0 2 1 -0.0139915
6 0 2 2 0.0000000
6 0 3 0 0.0000000
6 0 3 1 -0.0000000
6 0 3 2 -0.0095894
6 0 3 3 -0.0000000
6 0 4 0 0.0000000
6 0 4 1 0.0000000
6 0 4 2 0.0012375
6 0 4 3 -0.0000000
6 0 4 4 0.0000000
6 0 5 0 0.0000000
6 0 5 1 0.0000000
6 0 5 2 -0.0073965
6 0 5 3 -0.0000000
6 0 5 4 -0.0000000
6 0 5 5 -0.0000000
6 0 6 0 0.0188034
6 0 6 1 0.0047542
6 0 6 2 0.0000000
6 0 6 3 0.0095702
6 0 6 4 0.0098649
6 0 6 5 0.0096104
6 0 6 6 0.0000000
6 1 0 0 0.0000000
6 1 1 0 0.0000000
6 1 1 1 0.0000000
6 1 2 0 -0.0037356
6 1 2 1 0.0320310
6 1 2 2 0.0000000
6 1 3 0 -0.0000000
6 1 3 1 0.0000000
6 1 3 2 0.0019149
6 1 3 3 0.0000000
6 1 4 0 -0.0000000
6 1 4 1 0.0000000
6 1 4 2 -0.0500269
6 1 4 3 0.0000000
6 1 4 4 -0.0000000
6 1 5 0 -0.0000000
6 1 5 1 0.0000000
6 1 5 2 -0.0225966
6 1 5 3 -0.0000000
6 1 5 4 0.0000000
6 1 5 5 0.0000000
6 1 6 0 0.0047542
6 1 6 1 0.0427515
6 1 6 2 -0.0000000
6 1 6 3 0.0110704
6 1 6 4 -0.0532809
6 1 6 5 -0.0213084
6 1 6 6 0.0000000
6 2 0 0 -0.2547989
6 2 1 0 0.0062140
6 2 1 1 -0.0135683
6 2 2 0 0.0000000
6 2 2 1 0.0000000
6 2 2 2 -0.0458981
6 2 3 0 0.0011567
6 2 3 1 -0.0202799
6 2 3 2 0.0000000
6 2 3 3 -0.1109335
6 2 4 0 0.0029722
6 2 4 1 -0.0399272
6 2 4 2 0.0000000
6 2 4 3 -0.0560822
6 2 4 4 0.0353630
6 2 5 0 0.0083694
6 2 5 1 -0.0704602
6 2 5 2 -0.0000000
6 2 5 3 0.0331654
6 2 5 4 0.0085588
6 2 5 5 -0.0499888
6 2 6 0 0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.1207812
6 2 6 3 0.0000000
6 2 6 4 0.0000000
6 2 6 5 -0.0000000
6 2 6 6 -0.0423099
6 3 0 0 -0.0000000
6 3 1 0 0.0000000
6 3 1 1 0.0000000
6 3 2 0 -0.0070742
6 3 2 1 -0.0155760
6 3 2 2 -0.0000000
6 3 3 0 0.0000000
6 3 3 1 -0.0000000
6 3 3 2 -0.0278780
6 3 3 3 -0.0000000
6 3 4 0 0.0000000
6 3 4 1 0.0000000
6 3 4 2 -0.0080071
6 3 4 3 -0.0000000
6 3 4 4 0.0000000
6 3 5 0 -0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0047667
6 3 5 3 0.0000000
6 3 5 4 -0.0000000
6 3 5 5 -0.0000000
6 3 6 0 0.0095702
6 3 6 1 0.0110704
6 3 6 2 0.0000000
6 3 6 3 0.0304069
6 3 6 4 0.0105875
6 3 6 5 0.0018794
6 3 6 6 -0.0000000
6 4 0 0 0.0000000
6 4 1 0 -0.0000000
6 4 1 1 0.0000000
6 4 2 0 -0.0073913
6 4 2 1 -0.0932120
6 4 2 2 0.0000000
6 4 3 0 -0.0000000
6 4 3 1 0.0000000
6 4 3 2 -0.0361940
6 4 3 3 -0.0000000
6 4 4 0 0.0000000
6 4 4 1 -0.0000000
6 4 4 2 0.0866173
6 4 4 3 0.0000000
6 4 4 4 0.0000000
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 0.0159374
6 4 5 3 -0.0000000
6 4 5 4 -0.0000000
6 4 5 5 -0.0000000
6 4 6 0 0.0098649
6 4 6 1 -0.0532809
6 4 6 2 0.0000000
6 4 6 3 0.0105875
6 4 6 4 0.1146520
6 4 6 5 0.0577934
6 4 6 6 0.0000000
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 0.0000000
6 5 2 0 -0.0074916
6 5 2 1 -0.0586954
6 5 2 2 -0.0000000
6 5 3 0 -0.0000000
6 5 3 1 -0.0000000
6 5 3 2 -0.0147347
6 5 3 3 0.0000000
6 5 4 0 -0.0000000
6 5 4 1 0.0000000
6 5 4 2 0.0445194
6 5 4 3 -0.0000000
6 5 4 4 0.0000000
6 5 5 0 0.0000000
6 5 5 1 0.0000000
6 5 5 2 -0.0037620
6 5 5 3 0.0000000
6 5 5 4 -0.0000000
6 5 5 5 0.0000000
6 5 6 0 0.0096104
6 5 6 1 -0.0213084
6 5 6 2 -0.0000000
6 5 6 3 0.0018794
6 5 6 4 0.0577934
6 5 6 5 0.0424344
6 5 6 6 0.0000000
6 6 0 0 0.7098759
6 6 1 0 -0.0054792
6 6 1 1 0.4989687
6 6 2 0 -0.0000000
6 6 2 1 -0.0000000
