NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.350392
ENERGIES
-11.092958
-0.832355
-0.618577
-0.578712
0.615071
0.644279
0.691666
1000000.455638

OEI
-18.512060	
0.258293	-4.519403	
-0.000000	-0.000000	-4.202020	
0.008111	-0.017468	-0.000000	-4.142423	
0.000000	-0.000000	-0.806432	-0.000000	-3.565230	
0.041475	-0.132472	-0.000000	0.793369	0.000000	-3.563478	
-0.307274	0.920771	-0.000000	0.122689	-0.000000	0.010814	-3.474171	
-0.160068	-0.149853	0.000000	-0.002796	0.000000	-0.002032	0.001775	999996.008064	

ENV_OEI
-4.899818	
0.498803	-0.343524	
-0.000000	-0.000000	-0.298631	
0.016517	0.000470	-0.000000	-0.256382	
0.000000	-0.000000	-0.172301	-0.000000	-0.348900	
0.085383	-0.024686	-0.000000	0.156230	-0.000000	-0.328819	
-0.641573	0.236333	-0.000000	0.035004	0.000000	0.019555	-0.400829	
-0.306607	0.018062	0.000000	-0.000988	0.000000	-0.003076	-0.042108	-0.471406	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996661	0.016924	-0.006542	-0.006524	-0.006542	-0.027101	0.000000	-0.000012	
-0.174284	0.455877	0.258455	0.231030	0.258455	-0.381651	-0.000000	-0.004126	
0.000000	-0.000000	-0.403984	-0.000000	0.403984	0.000000	-0.599719	-0.000000	
-0.005927	0.023296	-0.241802	0.478541	-0.241802	-0.013183	-0.000000	0.584489	
-0.000000	0.000000	0.870774	-0.000000	-0.870774	-0.000000	-1.083465	0.000000	
-0.029533	0.179905	-0.586869	0.898742	-0.586869	-0.067365	-0.000000	-1.083863	
0.223338	-1.399140	0.678458	0.872539	0.678458	0.510652	-0.000000	-0.130979	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	0.000000	0.000000	

ERI
0 0 0 0 3.5237150
1 0 0 0 -0.2305483
1 0 1 0 0.0276714
1 0 1 1 0.0030221
1 1 0 0 0.6843219
1 1 1 0 0.0030221
1 1 1 1 0.5620822
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0090035
2 0 2 1 0.0120694
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0120694
2 1 2 1 0.1156863
2 1 2 2 0.0000000
2 2 0 0 0.6464503
2 2 1 0 -0.0018237
2 2 1 1 0.5057533
2 2 2 0 -0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5407272
3 0 0 0 -0.0078072
3 0 1 0 0.0008488
3 0 1 1 -0.0003237
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0027991
3 0 3 0 0.0086694
3 0 3 1 0.0115886
3 0 3 2 -0.0000000
3 0 3 3 0.0033594
3 1 0 0 0.0055963
3 1 1 0 -0.0000776
3 1 1 1 -0.0022448
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0467848
3 1 3 0 0.0115886
3 1 3 1 0.1101046
3 1 3 2 -0.0000000
3 1 3 3 0.0547699
3 2 0 0 -0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0025045
3 2 2 1 -0.0481607
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0413712
3 2 3 3 -0.0000000
3 3 0 0 0.6396010
3 3 1 0 -0.0017318
3 3 1 1 0.4991422
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4521970
3 3 3 0 0.0033594
3 3 3 1 0.0547699
3 3 3 2 -0.0000000
3 3 3 3 0.5419860
4 0 0 0 -0.0000000
4 0 1 0 0.0000000
4 0 1 1 0.0000000
4 0 2 0 0.0131016
4 0 2 1 0.0160077
4 0 2 2 -0.0000000
4 0 3 0 0.0000000
4 0 3 1 0.0000000
4 0 3 2 -0.0030456
4 0 3 3 -0.0000000
4 0 4 0 0.0191692
4 0 4 1 0.0083974
4 0 4 2 0.0000000
4 0 4 3 0.0044158
4 0 4 4 0.0000000
4 1 0 0 0.0000000
4 1 1 0 -0.0000000
4 1 1 1 0.0000000
4 1 2 0 0.0061812
4 1 2 1 -0.0136552
4 1 2 2 0.0000000
4 1 3 0 0.0000000
4 1 3 1 0.0000000
4 1 3 2 0.0271984
4 1 3 3 0.0000000
4 1 4 0 0.0083974
4 1 4 1 0.0445426
4 1 4 2 0.0000000
4 1 4 3 -0.0156385
4 1 4 4 0.0000000
4 2 0 0 0.2528887
4 2 1 0 -0.0058817
4 2 1 1 0.0492482
4 2 2 0 0.0000000
4 2 2 1 -0.0000000
4 2 2 2 0.0407703
4 2 3 0 0.0025194
4 2 3 1 0.0482937
4 2 3 2 0.0000000
4 2 3 3 0.0725209
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1215621
4 2 4 3 0.0000000
4 2 4 4 0.0470483
4 3 0 0 0.0000000
4 3 1 0 -0.0000000
4 3 1 1 0.0000000
4 3 2 0 0.0030122
4 3 2 1 0.0492193
4 3 2 2 0.0000000
4 3 3 0 0.0000000
4 3 3 1 -0.0000000
4 3 3 2 -0.0157912
4 3 3 3 -0.0000000
4 3 4 0 0.0044158
4 3 4 1 -0.0156385
4 3 4 2 0.0000000
4 3 4 3 0.0364351
4 3 4 4 0.0000000
4 4 0 0 0.7174921
4 4 1 0 -0.0064377
4 4 1 1 0.4956755
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.5304533
4 4 3 0 0.0000342
4 4 3 1 -0.0332906
4 4 3 2 -0.0000000
4 4 3 3 0.4573762
4 4 4 0 0.0000000
4 4 4 1 0.0000000
4 4 4 2 0.0470483
4 4 4 3 0.0000000
4 4 4 4 0.5494861
5 0 0 0 -0.0385710
5 0 1 0 0.0047331
5 0 1 1 0.0008074
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 0.0030979
5 0 3 0 -0.0127061
5 0 3 1 -0.0157124
5 0 3 2 0.0000000
5 0 3 3 -0.0046628
5 0 4 0 0.0000000
5 0 4 1 -0.0000000
5 0 4 2 -0.0049770
5 0 4 3 -0.0000000
5 0 4 4 -0.0016541
5 0 5 0 0.0200280
5 0 5 1 0.0087264
5 0 5 2 -0.0000000
5 0 5 3 -0.0038442
5 0 5 4 0.0000000
5 0 5 5 0.0040331
5 1 0 0 0.0399158
5 1 1 0 -0.0000769
5 1 1 1 0.0138512
5 1 2 0 0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0155245
5 1 3 0 -0.0063136
5 1 3 1 0.0089978
5 1 3 2 -0.0000000
5 1 3 3 0.0336698
5 1 4 0 -0.0000000
5 1 4 1 0.0000000
5 1 4 2 0.0242612
5 1 4 3 -0.0000000
5 1 4 4 -0.0219942
5 1 5 0 0.0087264
5 1 5 1 0.0436571
5 1 5 2 0.0000000
5 1 5 3 -0.0019263
5 1 5 4 -0.0000000
5 1 5 5 0.0355091
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 -0.0018926
5 2 2 1 -0.0492105
5 2 2 2 0.0000000
5 2 3 0 -0.0000000
5 2 3 1 -0.0000000
5 2 3 2 0.0180098
5 2 3 3 0.0000000
5 2 4 0 -0.0029212
5 2 4 1 0.0209169
5 2 4 2 0.0000000
5 2 4 3 -0.0349961
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
