NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.458924
ENERGIES
-11.107464
-0.840979
-0.627808
-0.587448
0.605366
0.634688
0.683352
1000000.443319

OEI
-18.534460	
0.259039	-4.533069	
-0.000000	0.000000	-4.217703	
0.008429	-0.017780	0.000000	-4.158052	
0.000000	-0.000000	-0.808366	-0.000000	-3.572201	
-0.042657	0.136992	0.000000	-0.794920	-0.000000	-3.569897	
-0.306847	0.921443	-0.000000	0.126871	-0.000000	-0.011263	-3.480586	
-0.160175	-0.149992	-0.000000	-0.002958	-0.000000	0.002000	0.001422	999995.992102	

ENV_OEI
-4.922253	
0.500389	-0.354752	
-0.000000	0.000000	-0.310702	
0.017189	0.000590	0.000000	-0.267845	
0.000000	-0.000000	-0.176205	-0.000000	-0.359483	
-0.087795	0.026135	0.000000	-0.160285	0.000000	-0.339358	
-0.640856	0.239459	-0.000000	0.036654	-0.000000	-0.020226	-0.409693	
-0.306130	0.018326	-0.000000	-0.001135	0.000000	0.002685	-0.042966	-0.487368	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996673	0.016867	-0.006528	-0.006505	-0.006528	-0.027075	-0.000000	-0.000019	
-0.174650	0.458365	0.257390	0.229165	0.257390	-0.382554	0.000000	-0.004664	
0.000000	-0.000000	0.401499	0.000000	-0.401499	0.000000	0.602806	0.000000	
-0.006146	0.024081	-0.240129	0.475368	-0.240129	-0.013678	-0.000000	0.587988	
-0.000000	0.000000	-0.871923	-0.000000	0.871923	-0.000000	1.081750	0.000000	
0.030359	-0.185147	0.590217	-0.896925	0.590217	0.069255	-0.000000	1.081514	
0.222882	-1.397630	0.676550	0.876626	0.676550	0.509711	0.000000	-0.134669	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	0.000000	0.000000	

ERI
0 0 0 0 3.5237777
1 0 0 0 -0.2309942
1 0 1 0 0.0277814
1 0 1 1 0.0030251
1 1 0 0 0.6852879
1 1 1 0 0.0030251
1 1 1 1 0.5628482
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0090773
2 0 2 1 0.0121433
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0121433
2 1 2 1 0.1156207
2 1 2 2 -0.0000000
2 2 0 0 0.6478939
2 2 1 0 -0.0018569
2 2 1 1 0.5063552
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5411961
3 0 0 0 -0.0080910
3 0 1 0 0.0008765
3 0 1 1 -0.0003447
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0027972
3 0 3 0 0.0087539
3 0 3 1 0.0116635
3 0 3 2 0.0000000
3 0 3 3 0.0033792
3 1 0 0 0.0057142
3 1 1 0 -0.0000846
3 1 1 1 -0.0023566
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0463064
3 1 3 0 0.0116635
3 1 3 1 0.1098413
3 1 3 2 0.0000000
3 1 3 3 0.0545215
3 2 0 0 -0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0024821
3 2 2 1 -0.0476755
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0411080
3 2 3 3 -0.0000000
3 3 0 0 0.6412339
3 3 1 0 -0.0017744
3 3 1 1 0.4995993
3 3 2 0 0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4530033
3 3 3 0 0.0033792
3 3 3 1 0.0545215
3 3 3 2 -0.0000000
3 3 3 3 0.5426347
4 0 0 0 -0.0000000
4 0 1 0 0.0000000
4 0 1 1 0.0000000
4 0 2 0 0.0131291
4 0 2 1 0.0160116
4 0 2 2 -0.0000000
4 0 3 0 0.0000000
4 0 3 1 0.0000000
4 0 3 2 -0.0029949
4 0 3 3 0.0000000
4 0 4 0 0.0190928
4 0 4 1 0.0083588
4 0 4 2 0.0000000
4 0 4 3 0.0044290
4 0 4 4 0.0000000
4 1 0 0 0.0000000
4 1 1 0 -0.0000000
4 1 1 1 0.0000000
4 1 2 0 0.0061881
4 1 2 1 -0.0136743
4 1 2 2 0.0000000
4 1 3 0 0.0000000
4 1 3 1 0.0000000
4 1 3 2 0.0271735
4 1 3 3 -0.0000000
4 1 4 0 0.0083588
4 1 4 1 0.0445712
4 1 4 2 -0.0000000
4 1 4 3 -0.0156584
4 1 4 4 0.0000000
4 2 0 0 0.2530879
4 2 1 0 -0.0059056
4 2 1 1 0.0493796
4 2 2 0 0.0000000
4 2 2 1 0.0000000
4 2 2 2 0.0414340
4 2 3 0 0.0025332
4 2 3 1 0.0482370
4 2 3 2 -0.0000000
4 2 3 3 0.0729597
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.1215942
4 2 4 3 0.0000000
4 2 4 4 0.0464082
4 3 0 0 0.0000000
4 3 1 0 -0.0000000
4 3 1 1 0.0000000
4 3 2 0 0.0030410
4 3 2 1 0.0491845
4 3 2 2 0.0000000
4 3 3 0 -0.0000000
4 3 3 1 -0.0000000
4 3 3 2 -0.0155320
4 3 3 3 0.0000000
4 3 4 0 0.0044290
4 3 4 1 -0.0156584
4 3 4 2 0.0000000
4 3 4 3 0.0364253
4 3 4 4 0.0000000
4 4 0 0 0.7160497
4 4 1 0 -0.0064129
4 4 1 1 0.4956813
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5304854
4 4 3 0 0.0000144
4 4 3 1 -0.0333441
4 4 3 2 0.0000000
4 4 3 3 0.4574087
4 4 4 0 0.0000000
4 4 4 1 0.0000000
4 4 4 2 0.0464082
4 4 4 3 0.0000000
4 4 4 4 0.5489530
5 0 0 0 0.0396504
5 0 1 0 -0.0048830
5 0 1 1 -0.0008422
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 -0.0030492
5 0 3 0 0.0127234
5 0 3 1 0.0157021
5 0 3 2 0.0000000
5 0 3 3 0.0046737
5 0 4 0 0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0050034
5 0 4 3 -0.0000000
5 0 4 4 0.0016524
5 0 5 0 0.0199714
5 0 5 1 0.0086801
5 0 5 2 -0.0000000
5 0 5 3 -0.0038388
5 0 5 4 0.0000000
5 0 5 5 -0.0040852
5 1 0 0 -0.0412250
5 1 1 0 0.0000801
5 1 1 1 -0.0143342
5 1 2 0 -0.0000000
5 1 2 1 0.0000000
5 1 2 2 0.0151338
5 1 3 0 0.0063263
5 1 3 1 -0.0089056
5 1 3 2 -0.0000000
5 1 3 3 -0.0339820
5 1 4 0 0.0000000
5 1 4 1 -0.0000000
5 1 4 2 -0.0246217
5 1 4 3 0.0000000
5 1 4 4 0.0218513
5 1 5 0 0.0086801
5 1 5 1 0.0437296
5 1 5 2 0.0000000
5 1 5 3 -0.0023949
5 1 5 4 -0.0000000
5 1 5 5 -0.0356195
5 2 0 0 -0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0018838
5 2 2 1 0.0492227
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 -0.0000000
5 2 3 2 -0.0178727
5 2 3 3 -0.0000000
5 2 4 0 0.0028924
5 2 4 1 -0.0211474
5 2 4 2 -0.0000000
5 2 4 3 0.0350538
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0408437
5 2 5 3 -0.0000000
5 2 5 4 -0.0248740
5 2 5 5 0.0000000
5 3 0 0 0.2489686
5 3 1 0 -0.0057279
5 3 1 1 0.0531712
5 3 2 0 -0.0000000
5 3 2 1 -0.0000000
5 3 2 2 0.0684936
5 3 3 0 -0.0034063
5 3 3 1 -0.0418287
5 3 3 2 0.0000000
5 3 3 3 0.0395987
5 3 4 0 -0.0000000
5 3 4 1 0.0000000
5 3 4 2 0.0556582
5 3 4 3 0.0000000
5 3 4 4 0.0712457
5 3 5 0 -0.0038388
5 3 5 1 -0.0023949
5 3 5 2 -0.0000000
5 3 5 3 0.1135707
5 3 5 4 0.0000000
5 3 5 5 0.0646510
5 4 0 0 0.0000000
5 4 1 0 -0.0000000
5 4 1 1 -0.0000000
5 4 2 0 -0.0013060
5 4 2 1 -0.0478748
5 4 2 2 -0.0000000
5 4 3 0 0.0000000
5 4 3 1 0.0000000
5 4 3 2 0.0400465
5 4 3 3 0.0000000
5 4 4 0 -0.0014747
5 4 4 1 0.0352658
5 4 4 2 0.0000000
5 4 4 3 -0.0211520
5 4 4 4 -0.0000000
5 4 5 0 0.0000000
5 4 5 1 -0.0000000
5 4 5 2 -0.0248740
5 4 5 3 0.0000000
5 4 5 4 0.0505503
5 4 5 5 -0.0000000
5 5 0 0 0.7238851
5 5 1 0 -0.0064557
5 5 1 1 0.4951668
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.4746154
5 5 3 0 -0.0036412
5 5 3 1 0.0085630
5 5 3 2 -0.0000000
5 5 3 3 0.5176830
5 5 4 0 -0.0000000
5 5 4 1 -0.0000000
5 5 4 2 0.0647868
5 5 4 3 0.0000000
5 5 4 4 0.4815045
5 5 5 0 -0.0040852
5 5 5 1 -0.0356195
5 5 5 2 0.0000000
5 5 5 3 0.0646510
5 5 5 4 -0.0000000
5 5 5 5 0.5382334
6 0 0 0 0.2907347
6 0 1 0 -0.0347717
6 0 1 1 -0.0018069
6 0 2 0 0.0000000
6 0 2 1 0.0000000
6 0 2 2 0.0028877
6 0 3 0 -0.0028058
6 0 3 1 -0.0019473
6 0 3 2 -0.0000000
6 0 3 3 0.0017650
6 0 4 0 -0.0000000
6 0 4 1 0.0000000
6 0 4 2 0.0061045
6 0 4 3 0.0000000
6 0 4 4 0.0072600
6 0 5 0 0.0036018
6 0 5 1 -0.0013960
6 0 5 2 -0.0000000
6 0 5 3 0.0070610
6 0 5 4 0.0000000
6 0 5 5 0.0080827
6 0 6 0 0.0440270
6 0 6 1 -0.0018109
6 0 6 2 -0.0000000
6 0 6 3 -0.0000425
6 0 6 4 -0.0000000
6 0 6 5 0.0013467
6 0 6 6 0.0017408
6 1 0 0 -0.2753536
6 1 1 0 0.0007605
6 1 1 1 -0.1054331
6 1 2 0 0.0000000
6 1 2 1 0.0000000
6 1 2 2 -0.0661412
6 1 3 0 -0.0006384
6 1 3 1 -0.0017519
6 1 3 2 0.0000000
6 1 3 3 -0.0590446
6 1 4 0 0.0000000
6 1 4 1 -0.0000000
6 1 4 2 -0.0700578
6 1 4 3 -0.0000000
6 1 4 4 -0.0644469
6 1 5 0 -0.0012006
6 1 5 1 0.0108635
6 1 5 2 0.0000000
6 1 5 3 -0.0710699
6 1 5 4 0.0000000
6 1 5 5 -0.0612086
6 1 6 0 -0.0018109
6 1 6 1 0.1021722
6 1 6 2 -0.0000000
6 1 6 3 0.0162688
6 1 6 4 0.0000000
6 1 6 5 -0.0062641
6 1 6 6 -0.0831182
6 2 0 0 0.0000000
6 2 1 0 -0.0000000
6 2 1 1 0.0000000
6 2 2 0 -0.0060976
6 2 2 1 0.0183768
6 2 2 2 -0.0000000
6 2 3 0 0.0000000
6 2 3 1 0.0000000
6 2 3 2 -0.0264058
6 2 3 3 0.0000000
6 2 4 0 -0.0081321
6 2 4 1 -0.0429549
6 2 4 2 0.0000000
6 2 4 3 0.0195582
6 2 4 4 -0.0000000
6 2 5 0 0.0000000
6 2 5 1 0.0000000
6 2 5 2 0.0249105
6 2 5 3 -0.0000000
6 2 5 4 -0.0367285
6 2 5 5 0.0000000
6 2 6 0 -0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.0452436
6 2 6 3 0.0000000
6 2 6 4 -0.0237601
6 2 6 5 -0.0000000
6 2 6 6 0.0000000
6 3 0 0 -0.0393498
6 3 1 0 0.0008187
6 3 1 1 -0.0115263
6 3 2 0 0.0000000
6 3 2 1 0.0000000
6 3 2 2 -0.0401859
6 3 3 0 -0.0050836
6 3 3 1 0.0313266
6 3 3 2 0.0000000
6 3 3 3 0.0242897
6 3 4 0 -0.0000000
6 3 4 1 -0.0000000
6 3 4 2 0.0166018
6 3 4 3 -0.0000000
6 3 4 4 -0.0483180
6 3 5 0 -0.0069877
6 3 5 1 -0.0435127
6 3 5 2 -0.0000000
6 3 5 3 -0.0353083
6 3 5 4 0.0000000
6 3 5 5 0.0176584
6 3 6 0 -0.0000425
6 3 6 1 0.0162688
6 3 6 2 0.0000000
6 3 6 3 0.0618407
6 3 6 4 -0.0000000
6 3 6 5 -0.0466629
6 3 6 6 0.0056478
6 4 0 0 0.0000000
6 4 1 0 -0.0000000
6 4 1 1 -0.0000000
6 4 2 0 -0.0118453
6 4 2 1 -0.0960878
6 4 2 2 0.0000000
6 4 3 0 -0.0000000
6 4 3 1 -0.0000000
6 4 3 2 0.0411728
6 4 3 3 -0.0000000
6 4 4 0 -0.0162806
6 4 4 1 0.0194401
6 4 4 2 -0.0000000
6 4 4 3 -0.0494873
6 4 4 4 0.0000000
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 -0.0506204
