NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-181.622908
ENERGIES
-20.247047
-20.165453
-11.089127
-1.318797
-1.236489
-0.674979
-0.490697
-0.483434
-0.436027
-0.301347
-0.281700
0.402399
0.647211
0.852305
1.075946
1000000.620716

OEI
-36.087321	
1 1 1 1 4.7442047
2 0 0 0 0.0001868
2 0 1 0 0.0000005
2 0 1 1 0.0000200
2 0 2 0 0.0000008
2 0 2 1 0.0000005
2 0 2 2 0.0005027
2 1 0 0 0.0000421
2 1 1 0 0.0000065
2 1 1 1 -0.0019490
2 1 2 0 0.0000005
2 1 2 1 0.0000036
2 1 2 2 0.0004398
2 2 0 0 0.4009014
2 2 1 0 -0.0001511
2 2 1 1 0.4482092
2 2 2 0 0.0005027
2 2 2 1 0.0004398
2 2 2 2 3.5258588
3 0 0 0 -0.3310530
3 0 1 0 -0.0010703
3 0 1 1 0.0008518
3 0 2 0 -0.0000362
3 0 2 1 -0.0000001
3 0 2 2 0.0006749
3 0 3 0 0.0367324
3 0 3 1 0.0000644
3 0 3 2 0.0000052
3 0 3 3 -0.0063219
3 1 0 0 -0.0007201
3 1 1 0 0.0007174
3 1 1 1 -0.2193938
3 1 2 0 -0.0000002
3 1 2 1 0.0001029
3 1 2 2 0.0011774
3 1 3 0 0.0000644
3 1 3 1 0.0162825
3 1 3 2 -0.0000089
3 1 3 3 -0.0012366
3 2 0 0 0.0013895
3 2 1 0 -0.0000051
3 2 1 1 0.0029017
3 2 2 0 -0.0000460
3 2 2 1 -0.0000519
3 2 2 2 -0.1468097
3 2 3 0 0.0000052
3 2 3 1 -0.0000089
3 2 3 2 0.0104055
3 2 3 3 0.0014284
3 3 0 0 0.7525673
3 3 1 0 0.0008347
3 3 1 1 0.4932070
3 3 2 0 -0.0000401
3 3 2 1 -0.0000710
3 3 2 2 0.5250913
3 3 3 0 -0.0063219
3 3 3 1 -0.0012366
3 3 3 2 0.0014284
3 3 3 3 0.5481883
4 0 0 0 0.2485265
4 0 1 0 0.0007979
4 0 1 1 0.0011557
4 0 2 0 0.0000255
4 0 2 1 -0.0000010
4 0 2 2 -0.0003181
4 0 3 0 -0.0276031
4 0 3 1 -0.0001736
4 0 3 2 -0.0000006
4 0 3 3 0.0048376
4 0 4 0 0.0208287
4 0 4 1 -0.0000579
4 0 4 2 0.0000086
4 0 4 3 -0.0035241
4 0 4 4 0.0026865
4 1 0 0 0.0010442
4 1 1 0 0.0010932
4 1 1 1 -0.3323706
4 1 2 0 0.0000000
4 1 2 1 0.0001552
4 1 2 2 0.0018230
4 1 3 0 -0.0001732
4 1 3 1 0.0246500
4 1 3 2 0.0000055
4 1 3 3 -0.0020103
4 1 4 0 -0.0000579
4 1 4 1 0.0374101
4 1 4 2 0.0000535
4 1 4 3 -0.0036736
4 1 4 4 -0.0054398
4 2 0 0 -0.0033442
4 2 1 0 -0.0000317
4 2 1 1 0.0063396
4 2 2 0 -0.0000037
4 2 2 1 -0.0000402
4 2 2 2 -0.0792855
4 2 3 0 -0.0000274
4 2 3 1 0.0000156
4 2 3 2 0.0054698
4 2 3 3 -0.0011680
4 2 4 0 0.0000086
4 2 4 1 0.0000535
4 2 4 2 0.0046183
4 2 4 3 0.0050433
4 2 4 4 0.0035589
4 3 0 0 -0.3440400
4 3 1 0 -0.0022354
4 3 1 1 0.3436139
4 3 2 0 0.0000353
4 3 2 1 -0.0001600
4 3 2 2 0.0704981
4 3 3 0 0.0049674
4 3 3 1 -0.0025638
4 3 3 2 0.0004108
4 3 3 3 -0.0575440
4 3 4 0 -0.0035241
4 3 4 1 -0.0036736
4 3 4 2 0.0050433
4 3 4 3 0.2034872
4 3 4 4 0.0769582
4 4 0 0 0.5243407
4 4 1 0 -0.0007333
4 4 1 1 0.7466779
4 4 2 0 0.0000041
4 4 2 1 -0.0001358
4 4 2 2 0.5138467
4 4 3 0 -0.0035984
4 4 3 1 -0.0036539
4 4 3 2 0.0014316
4 4 3 3 0.4907365
4 4 4 0 0.0026865
4 4 4 1 -0.0054398
4 4 4 2 0.0035589
4 4 4 3 0.0769582
4 4 4 4 0.5414610
5 0 0 0 -0.0491498
5 0 1 0 -0.0001562
5 0 1 1 -0.0016420
5 0 2 0 0.0000139
5 0 2 1 -0.0000001
5 0 2 2 -0.0046498
5 0 3 0 0.0046277
5 0 3 1 -0.0000093
5 0 3 2 -0.0000845
5 0 3 3 -0.0046857
5 0 4 0 -0.0043477
5 0 4 1 -0.0000576
5 0 4 2 0.0000673
5 0 4 3 0.0000551
5 0 4 4 -0.0014965
5 0 5 0 0.0096832
5 0 5 1 0.0000172
5 0 5 2 0.0001533
5 0 5 3 0.0118139
5 0 5 4 -0.0083011
5 0 5 5 0.0012808
5 1 0 0 -0.0008086
5 1 1 0 0.0004169
5 1 1 1 -0.1286068
5 1 2 0 -0.0000001
5 1 2 1 0.0000548
5 1 2 2 -0.0022328
5 1 3 0 -0.0000185
5 1 3 1 0.0087991
5 1 3 2 -0.0000234
5 1 3 3 -0.0030958
5 1 4 0 -0.0000595
5 1 4 1 0.0137053
5 1 4 2 -0.0000510
5 1 4 3 -0.0030355
5 1 4 4 -0.0048597
5 1 5 0 0.0000172
5 1 5 1 0.0067420
5 1 5 2 -0.0000145
5 1 5 3 0.0004065
5 1 5 4 0.0001367
5 1 5 5 -0.0004210
5 2 0 0 -0.0044934
5 2 1 0 -0.0000207
5 2 1 1 0.0018107
5 2 2 0 0.0000537
5 2 2 1 0.0000277
5 2 2 2 0.1601801
5 2 3 0 -0.0000331
5 2 3 1 0.0000122
5 2 3 2 -0.0114309
5 2 3 3 -0.0021243
5 2 4 0 0.0000184
5 2 4 1 0.0000364
5 2 4 2 -0.0043398
5 2 4 3 0.0037370
5 2 4 4 0.0016917
5 2 5 0 0.0001533
