NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.707927
ENERGIES
-11.137171
-0.863591
-0.653503
-0.611745
0.579586
0.609693
0.661293
1000000.409036

OEI
-18.577520	
-0.260140	-4.562847	
-0.000000	-0.000000	-4.254940	
0.009065	0.018716	-0.000000	-4.194670	
3 1 3 1 0.1093955
3 1 3 2 0.0000000
3 1 3 3 -0.0541051
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0024398
3 2 2 1 0.0468289
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0406523
3 2 3 3 -0.0000000
3 3 0 0 0.6442200
3 3 1 0 0.0018502
3 3 1 1 0.5003090
3 3 2 0 -0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4545102
3 3 3 0 0.0034167
3 3 3 1 -0.0541051
3 3 3 2 -0.0000000
3 3 3 3 0.5438040
4 0 0 0 0.0000000
4 0 1 0 0.0000000
4 0 1 1 0.0000000
4 0 2 0 0.0131793
4 0 2 1 -0.0160126
4 0 2 2 0.0000000
4 0 3 0 -0.0000000
4 0 3 1 0.0000000
4 0 3 2 -0.0029017
4 0 3 3 -0.0000000
4 0 4 0 0.0189533
4 0 4 1 -0.0082716
4 0 4 2 -0.0000000
4 0 4 3 0.0044563
4 0 4 4 -0.0000000
4 1 0 0 0.0000000
4 1 1 0 0.0000000
4 1 1 1 0.0000000
4 1 2 0 -0.0061886
4 1 2 1 -0.0138678
4 1 2 2 0.0000000
4 1 3 0 0.0000000
4 1 3 1 0.0000000
4 1 3 2 -0.0271902
4 1 3 3 0.0000000
4 1 4 0 -0.0082716
4 1 4 1 0.0446869
4 1 4 2 0.0000000
4 1 4 3 0.0157567
4 1 4 4 0.0000000
4 2 0 0 0.2534316
4 2 1 0 0.0059432
4 2 1 1 0.0494663
4 2 2 0 -0.0000000
4 2 2 1 0.0000000
4 2 2 2 0.0426490
4 2 3 0 0.0025573
4 2 3 1 -0.0481846
4 2 3 2 -0.0000000
4 2 3 3 0.0737407
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1216338
4 2 4 3 0.0000000
4 2 4 4 0.0452290
4 3 0 0 -0.0000000
4 3 1 0 -0.0000000
4 3 1 1 -0.0000000
4 3 2 0 0.0030965
4 3 2 1 -0.0491721
4 3 2 2 -0.0000000
4 3 3 0 0.0000000
4 3 3 1 -0.0000000
4 3 3 2 -0.0150759
4 3 3 3 0.0000000
4 3 4 0 0.0044563
4 3 4 1 0.0157567
4 3 4 2 0.0000000
4 3 4 3 0.0364263
4 3 4 4 -0.0000000
4 4 0 0 0.7133990
4 4 1 0 0.0063621
4 4 1 1 0.4955790
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.5305250
4 4 3 0 -0.0000237
4 4 3 1 0.0334479
4 4 3 2 0.0000000
4 4 3 3 0.4574725
4 4 4 0 -0.0000000
4 4 4 1 0.0000000
4 4 4 2 0.0452290
4 4 4 3 -0.0000000
4 4 4 4 0.5479936
5 0 0 0 0.0418487
5 0 1 0 0.0051736
5 0 1 1 -0.0009016
5 0 2 0 0.0000000
5 0 2 1 -0.0000000
5 0 2 2 -0.0029577
5 0 3 0 0.0127502
5 0 3 1 -0.0156747
5 0 3 2 -0.0000000
5 0 3 3 0.0046987
5 0 4 0 0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0050573
5 0 4 3 0.0000000
5 0 4 4 0.0016540
5 0 5 0 0.0198792
5 0 5 1 -0.0085776
5 0 5 2 0.0000000
5 0 5 3 -0.0038299
5 0 5 4 -0.0000000
5 0 5 5 -0.0041939
5 1 0 0 0.0437181
5 1 1 0 0.0000858
5 1 1 1 0.0152315
5 1 2 0 -0.0000000
5 1 2 1 0.0000000
5 1 2 2 -0.0144093
5 1 3 0 -0.0063370
5 1 3 1 -0.0088733
5 1 3 2 -0.0000000
5 1 3 3 0.0346092
5 1 4 0 0.0000000
5 1 4 1 0.0000000
5 1 4 2 0.0253489
5 1 4 3 0.0000000
5 1 4 4 -0.0216070
5 1 5 0 -0.0085776
5 1 5 1 0.0439013
5 1 5 2 0.0000000
5 1 5 3 0.0032558
5 1 5 4 -0.0000000
5 1 5 5 0.0358351
5 2 0 0 0.0000000
5 2 1 0 0.0000000
5 2 1 1 0.0000000
5 2 2 0 0.0018591
5 2 2 1 -0.0492278
5 2 2 2 -0.0000000
5 2 3 0 0.0000000
5 2 3 1 -0.0000000
5 2 3 2 -0.0176145
5 2 3 3 0.0000000
5 2 4 0 0.0028293
5 2 4 1 0.0216354
5 2 4 2 0.0000000
5 2 4 3 0.0351490
5 2 4 4 -0.0000000
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0411369
5 2 5 3 0.0000000
5 2 5 4 -0.0258860
5 2 5 5 -0.0000000
5 3 0 0 0.2490495
5 3 1 0 0.0057553
5 3 1 1 0.0534862
5 3 2 0 0.0000000
5 3 2 1 -0.0000000
5 3 2 2 0.0688609
5 3 3 0 -0.0034989
5 3 3 1 0.0415476
5 3 3 2 0.0000000
5 3 3 3 0.0408913
5 3 4 0 0.0000000
5 3 4 1 0.0000000
5 3 4 2 0.0557640
5 3 4 3 -0.0000000
5 3 4 4 0.0704192
5 3 5 0 -0.0038299
5 3 5 1 0.0032558
5 3 5 2 0.0000000
5 3 5 3 0.1131981
5 3 5 4 0.0000000
5 3 5 5 0.0641922
5 4 0 0 -0.0000000
5 4 1 0 -0.0000000
5 4 1 1 -0.0000000
5 4 2 0 -0.0014286
5 4 2 1 0.0489179
5 4 2 2 0.0000000
5 4 3 0 -0.0000000
5 4 3 1 0.0000000
5 4 3 2 0.0402328
5 4 3 3 -0.0000000
5 4 4 0 -0.0016267
5 4 4 1 -0.0357932
5 4 4 2 -0.0000000
5 4 4 3 -0.0218289
5 4 4 4 0.0000000
5 4 5 0 -0.0000000
5 4 5 1 -0.0000000
5 4 5 2 -0.0258860
5 4 5 3 0.0000000
5 4 5 4 0.0517614
5 4 5 5 0.0000000
5 5 0 0 0.7210840
5 5 1 0 0.0063848
5 5 1 1 0.4949654
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.4752263
5 5 3 0 -0.0038143
5 5 3 1 -0.0073873
5 5 3 2 0.0000000
5 5 3 3 0.5171328
5 5 4 0 0.0000000
5 5 4 1 -0.0000000
5 5 4 2 0.0634064
5 5 4 3 -0.0000000
5 5 4 4 0.4806632
5 5 5 0 -0.0041939
5 5 5 1 0.0358351
5 5 5 2 -0.0000000
5 5 5 3 0.0641922
5 5 5 4 0.0000000
5 5 5 5 0.5363066
6 0 0 0 -0.2898085
6 0 1 0 -0.0347471
6 0 1 1 0.0017834
6 0 2 0 0.0000000
6 0 2 1 -0.0000000
6 0 2 2 -0.0029612
6 0 3 0 0.0029856
6 0 3 1 -0.0020562
6 0 3 2 -0.0000000
6 0 3 3 -0.0018023
6 0 4 0 -0.0000000
6 0 4 1 -0.0000000
6 0 4 2 -0.0060753
6 0 4 3 0.0000000
6 0 4 4 -0.0071635
6 0 5 0 -0.0038030
6 0 5 1 -0.0014659
6 0 5 2 0.0000000
6 0 5 3 -0.0070966
6 0 5 4 -0.0000000
6 0 5 5 -0.0080263
6 0 6 0 0.0437847
6 0 6 1 0.0017952
6 0 6 2 0.0000000
6 0 6 3 -0.0000471
6 0 6 4 0.0000000
6 0 6 5 0.0014087
6 0 6 6 -0.0016749
6 1 0 0 -0.2749898
6 1 1 0 -0.0007685
6 1 1 1 -0.1056836
6 1 2 0 -0.0000000
6 1 2 1 -0.0000000
6 1 2 2 -0.0668959
6 1 3 0 -0.0006709
6 1 3 1 0.0018730
6 1 3 2 -0.0000000
6 1 3 3 -0.0596305
6 1 4 0 -0.0000000
6 1 4 1 -0.0000000
6 1 4 2 -0.0698310
6 1 4 3 0.0000000
6 1 4 4 -0.0637965
6 1 5 0 -0.0012522
6 1 5 1 -0.0115191
6 1 5 2 0.0000000
6 1 5 3 -0.0708321
6 1 5 4 -0.0000000
6 1 5 5 -0.0602597
6 1 6 0 0.0017952
6 1 6 1 0.1018380
6 1 6 2 -0.0000000
6 1 6 3 -0.0171698
6 1 6 4 0.0000000
6 1 6 5 0.0067361
6 1 6 6 -0.0823533
6 2 0 0 0.0000000
6 2 1 0 0.0000000
6 2 1 1 0.0000000
6 2 2 0 0.0061909
6 2 2 1 0.0174315
6 2 2 2 -0.0000000
6 2 3 0 0.0000000
6 2 3 1 -0.0000000
6 2 3 2 0.0259019
6 2 3 3 0.0000000
6 2 4 0 0.0081732
6 2 4 1 -0.0427654
6 2 4 2 0.0000000
6 2 4 3 -0.0190171
6 2 4 4 0.0000000
6 2 5 0 0.0000000
6 2 5 1 0.0000000
6 2 5 2 -0.0247173
6 2 5 3 0.0000000
6 2 5 4 0.0367523
6 2 5 5 0.0000000
6 2 6 0 0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.0446422
6 2 6 3 -0.0000000
6 2 6 4 -0.0230890
6 2 6 5 0.0000000
6 2 6 6 0.0000000
6 3 0 0 0.0417207
6 3 1 0 0.0008733
6 3 1 1 0.0122791
6 3 2 0 0.0000000
6 3 2 1 -0.0000000
6 3 2 2 0.0404860
6 3 3 0 0.0051348
6 3 3 1 0.0308638
6 3 3 2 0.0000000
6 3 3 3 -0.0232840
6 3 4 0 0.0000000
6 3 4 1 0.0000000
6 3 4 2 -0.0158633
6 3 4 3 -0.0000000
6 3 4 4 0.0489783
6 3 5 0 0.0069883
6 3 5 1 -0.0432715
6 3 5 2 -0.0000000
6 3 5 3 0.0356829
6 3 5 4 0.0000000
6 3 5 5 -0.0167593
6 3 6 0 -0.0000471
6 3 6 1 -0.0171698
6 3 6 2 -0.0000000
6 3 6 3 0.0620772
6 3 6 4 0.0000000
6 3 6 5 -0.0472139
6 3 6 6 -0.0061431
6 4 0 0 0.0000000
6 4 1 0 0.0000000
6 4 1 1 -0.0000000
6 4 2 0 0.0118676
6 4 2 1 -0.0957085
6 4 2 2 0.0000000
6 4 3 0 -0.0000000
6 4 3 1 0.0000000
6 4 3 2 -0.0403709
6 4 3 3 -0.0000000
6 4 4 0 0.0161368
6 4 4 1 0.0198590
6 4 4 2 -0.0000000
6 4 4 3 0.0494546
6 4 4 4 -0.0000000
6 4 5 0 -0.0000000
6 4 5 1 -0.0000000
6 4 5 2 0.0507086
6 4 5 3 0.0000000
6 4 5 4 -0.0486902
6 4 5 5 -0.0000000
6 4 6 0 0.0000000
6 4 6 1 0.0000000
6 4 6 2 -0.0230890
6 4 6 3 0.0000000
6 4 6 4 0.0947164
6 4 6 5 -0.0000000
6 4 6 6 0.0000000
6 5 0 0 -0.0029219
6 5 1 0 0.0008427
6 5 1 1 -0.0114553
6 5 2 0 0.0000000
6 5 2 1 0.0000000
6 5 2 2 -0.0495841
6 5 3 0 0.0113718
6 5 3 1 -0.0997367
6 5 3 2 -0.0000000
6 5 3 3 0.0553522
6 5 4 0 -0.0000000
6 5 4 1 -0.0000000
6 5 4 2 0.0532861
6 5 4 3 0.0000000
6 5 4 4 -0.0444295
6 5 5 0 0.0157997
6 5 5 1 0.0224446
6 5 5 2 0.0000000
6 5 5 3 -0.0435915
6 5 5 4 -0.0000000
6 5 5 5 0.0154402
6 5 6 0 0.0014087
6 5 6 1 0.0067361
6 5 6 2 0.0000000
6 5 6 3 -0.0472139
6 5 6 4 -0.0000000
6 5 6 5 0.1124111
6 5 6 6 0.0257862
6 6 0 0 0.7050470
6 6 1 0 0.0009753
6 6 1 1 0.5271976
6 6 2 0 0.0000000
6 6 2 1 -0.0000000
6 6 2 2 0.4732615
6 6 3 0 0.0030347
6 6 3 1 -0.0300708
6 6 3 2 -0.0000000
6 6 3 3 0.5016247
6 6 4 0 0.0000000
6 6 4 1 0.0000000
6 6 4 2 0.0521197
6 6 4 3 0.0000000
6 6 4 4 0.4794537
6 6 5 0 0.0045754
6 6 5 1 0.0193973
6 6 5 2 0.0000000
6 6 5 3 0.0237832
6 6 5 4 -0.0000000
6 6 5 5 0.4981211
6 6 6 0 -0.0016749
6 6 6 1 -0.0823533
6 6 6 2 0.0000000
6 6 6 3 -0.0061431
6 6 6 4 0.0000000
6 6 6 5 0.0257862
6 6 6 6 0.5333436
7 0 0 0 0.1189988
7 0 1 0 0.0063396
7 0 1 1 0.0142607
7 0 2 0 0.0000000
7 0 2 1 0.0000000
7 0 2 2 0.0011549
7 0 3 0 -0.0002519
7 0 3 1 -0.0004247
7 0 3 2 -0.0000000
7 0 3 3 0.0012316
7 0 4 0 0.0000000
7 0 4 1 0.0000000
7 0 4 2 -0.0023794
7 0 4 3 0.0000000
7 0 4 4 -0.0006258
7 0 5 0 0.0013492
7 0 5 1 0.0017155
7 0 5 2 -0.0000000
7 0 5 3 -0.0023976
7 0 5 4 0.0000000
7 0 5 5 -0.0003673
7 0 6 0 -0.0094056
7 0 6 1 -0.0119833
7 0 6 2 -0.0000000
7 0 6 3 0.0001177
7 0 6 4 -0.0000000
7 0 6 5 -0.0022473
7 0 6 6 0.0151101
7 0 7 0 0.0226228
7 0 7 1 -0.0065100
7 0 7 2 -0.0000000
7 0 7 3 0.0002500
7 0 7 4 -0.0000000
7 0 7 5 -0.0012647
7 0 7 6 0.0087982
7 0 7 7 -0.0195266
7 1 0 0 -0.0158558
7 1 1 0 0.0051571
7 1 1 1 -0.0386962
7 1 2 0 0.0000000
7 1 2 1 -0.0000000
7 1 2 2 -0.0033640
7 1 3 0 -0.0002753
7 1 3 1 0.0015351
7 1 3 2 -0.0000000
7 1 3 3 -0.0040456
7 1 4 0 0.0000000
7 1 4 1 -0.0000000
7 1 4 2 0.0062316
7 1 4 3 -0.0000000
7 1 4 4 -0.0013771
7 1 5 0 0.0006708
7 1 5 1 -0.0035115
7 1 5 2 0.0000000
7 1 5 3 0.0065986
7 1 5 4 -0.0000000
7 1 5 5 -0.0018281
7 1 6 0 -0.0055468
7 1 6 1 0.0249853
7 1 6 2 0.0000000
7 1 6 3 0.0000486
7 1 6 4 0.0000000
7 1 6 5 0.0036863
7 1 6 6 -0.0304800
7 1 7 0 -0.0065100
7 1 7 1 0.0241997
7 1 7 2 -0.0000000
7 1 7 3 -0.0002373
7 1 7 4 0.0000000
7 1 7 5 0.0034662
7 1 7 6 -0.0199248
7 1 7 7 0.0185928
7 2 0 0 -0.0000000
7 2 1 0 0.0000000
7 2 1 1 -0.0000000
7 2 2 0 -0.0067202
7 2 2 1 0.0299364
7 2 2 2 -0.0000000
7 2 3 0 -0.0000000
7 2 3 1 -0.0000000
7 2 3 2 0.0106676
7 2 3 3 0.0000000
7 2 4 0 -0.0095285
7 2 4 1 0.0065350
7 2 4 2 0.0000000
7 2 4 3 -0.0111646
7 2 4 4 0.0000000
7 2 5 0 -0.0000000
7 2 5 1 0.0000000
7 2 5 2 -0.0100252
7 2 5 3 -0.0000000
7 2 5 4 0.0059939
7 2 5 5 0.0000000
7 2 6 0 -0.0000000
7 2 6 1 0.0000000
7 2 6 2 -0.0025917
7 2 6 3 -0.0000000
7 2 6 4 -0.0273585
7 2 6 5 0.0000000
7 2 6 6 -0.0000000
7 2 7 0 -0.0000000
7 2 7 1 -0.0000000
7 2 7 2 0.0361312
7 2 7 3 0.0000000
7 2 7 4 0.0351852
7 2 7 5 0.0000000
7 2 7 6 0.0000000
7 2 7 7 0.0000000
7 3 0 0 0.0001994
7 3 1 0 -0.0002790
7 3 1 1 0.0025359
7 3 2 0 -0.0000000
7 3 2 1 -0.0000000
7 3 2 2 0.0112687
7 3 3 0 -0.0064842
7 3 3 1 0.0286936
7 3 3 2 0.0000000
7 3 3 3 -0.0128139
7 3 4 0 0.0000000
7 3 4 1 -0.0000000
7 3 4 2 -0.0108469
7 3 4 3 -0.0000000
7 3 4 4 0.0022895
7 3 5 0 -0.0094170
7 3 5 1 0.0073868
7 3 5 2 -0.0000000
7 3 5 3 0.0098876
7 3 5 4 0.0000000
7 3 5 5 0.0055689
7 3 6 0 -0.0010043
7 3 6 1 0.0001345
7 3 6 2 -0.0000000
7 3 6 3 0.0008745
7 3 6 4 0.0000000
7 3 6 5 -0.0271922
7 3 6 6 -0.0065281
7 3 7 0 0.0002500
7 3 7 1 -0.0002373
7 3 7 2 0.0000000
7 3 7 3 0.0352305
7 3 7 4 -0.0000000
7 3 7 5 0.0347423
7 3 7 6 0.0051482
7 3 7 7 -0.0009304
7 4 0 0 0.0000000
7 4 1 0 0.0000000
7 4 1 1 -0.0000000
7 4 2 0 -0.0080218
7 4 2 1 0.0272076
7 4 2 2 -0.0000000
7 4 3 0 0.0000000
7 4 3 1 -0.0000000
7 4 3 2 0.0047542
7 4 3 3 0.0000000
7 4 4 0 -0.0113119
7 4 4 1 0.0105241
7 4 4 2 0.0000000
7 4 4 3 -0.0107497
7 4 4 4 0.0000000
7 4 5 0 0.0000000
7 4 5 1 -0.0000000
7 4 5 2 -0.0088420
7 4 5 3 -0.0000000
7 4 5 4 0.0008319
7 4 5 5 0.0000000
7 4 6 0 -0.0000000
7 4 6 1 0.0000000
7 4 6 2 -0.0088428
7 4 6 3 -0.0000000
7 4 6 4 -0.0253350
7 4 6 5 0.0000000
7 4 6 6 -0.0000000
7 4 7 0 -0.0000000
7 4 7 1 0.0000000
7 4 7 2 0.0351852
7 4 7 3 -0.0000000
7 4 7 4 0.0393032
7 4 7 5 -0.0000000
7 4 7 6 0.0000000
7 4 7 7 0.0000000
7 5 0 0 0.0023770
7 5 1 0 0.0009237
7 5 1 1 -0.0030962
7 5 2 0 -0.0000000
7 5 2 1 0.0000000
7 5 2 2 0.0056471
7 5 3 0 -0.0079304
7 5 3 1 0.0268819
7 5 3 2 0.0000000
7 5 3 3 -0.0070814
7 5 4 0 0.0000000
7 5 4 1 -0.0000000
7 5 4 2 -0.0083817
7 5 4 3 -0.0000000
7 5 4 4 -0.0015279
7 5 5 0 -0.0111879
7 5 5 1 0.0109119
7 5 5 2 -0.0000000
7 5 5 3 0.0126918
7 5 5 4 0.0000000
7 5 5 5 0.0108071
7 5 6 0 -0.0025943
7 5 6 1 0.0038459
7 5 6 2 -0.0000000
7 5 6 3 -0.0054745
7 5 6 4 0.0000000
7 5 6 5 -0.0237148
7 5 6 6 -0.0102906
7 5 7 0 -0.0012647
7 5 7 1 0.0034662
7 5 7 2 0.0000000
7 5 7 3 0.0347423
7 5 7 4 -0.0000000
7 5 7 5 0.0400537
7 5 7 6 0.0017423
7 5 7 7 0.0064296
7 6 0 0 -0.0182729
7 6 1 0 -0.0071171
7 6 1 1 0.0284677
7 6 2 0 -0.0000000
7 6 2 1 0.0000000
7 6 2 2 -0.0008541
7 6 3 0 -0.0007612
7 6 3 1 0.0025958
7 6 3 2 0.0000000
7 6 3 3 -0.0019639
7 6 4 0 -0.0000000
7 6 4 1 0.0000000
7 6 4 2 -0.0150182
7 6 4 3 -0.0000000
7 6 4 4 -0.0077070
7 6 5 0 -0.0025929
7 6 5 1 0.0037636
7 6 5 2 -0.0000000
7 6 5 3 -0.0122269
7 6 5 4 0.0000000
7 6 5 5 -0.0057959
7 6 6 0 0.0076070
7 6 6 1 -0.0167319
7 6 6 2 -0.0000000
7 6 6 3 -0.0019610
7 6 6 4 -0.0000000
7 6 6 5 -0.0074288
7 6 6 6 0.0232284
7 6 7 0 0.0087982
7 6 7 1 -0.0199248
7 6 7 2 0.0000000
7 6 7 3 0.0051482
7 6 7 4 0.0000000
7 6 7 5 0.0017423
7 6 7 6 0.0236475
7 6 7 7 -0.0456615
7 7 0 0 0.8421383
7 7 1 0 0.0192172
7 7 1 1 0.4597420
7 7 2 0 0.0000000
7 7 2 1 0.0000000
7 7 2 2 0.4947801
7 7 3 0 -0.0006848
7 7 3 1 -0.0014529
7 7 3 2 0.0000000
7 7 3 3 0.4911837
7 7 4 0 0.0000000
7 7 4 1 0.0000000
7 7 4 2 0.1411941
7 7 4 3 -0.0000000
7 7 4 4 0.5102696
7 7 5 0 0.0029896
7 7 5 1 0.0164645
7 7 5 2 0.0000000
7 7 5 3 0.1393098
7 7 5 4 -0.0000000
7 7 5 5 0.5133714
7 7 6 0 -0.0205196
7 7 6 1 -0.0979316
7 7 6 2 0.0000000
7 7 6 3 0.0211480
7 7 6 4 0.0000000
7 7 6 5 0.0064920
7 7 6 6 0.4499528
7 7 7 0 -0.0195266
7 7 7 1 0.0185928
7 7 7 2 0.0000000
7 7 7 3 -0.0009304
7 7 7 4 0.0000000
7 7 7 5 0.0064296
7 7 7 6 -0.0456615
7 7 7 7 0.7504107
