NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.207286
ENERGIES
-10.934265
-0.978869
-0.491971
-0.357207
0.408007
0.650097
0.764165
849736.416261
965066.111951
996477.545653
1070620.296256
1118093.914523

OEI
-18.319694	
3 3 3 2 -0.0000000
3 3 3 3 0.5735210
4 0 0 0 -0.0760347
4 0 1 0 -0.0039202
4 0 1 1 -0.0076032
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0030169
4 0 3 0 -0.0136982
4 0 3 1 0.0041765
4 0 3 2 0.0000000
4 0 3 3 0.0064680
4 0 4 0 0.0098705
4 0 4 1 -0.0019273
4 0 4 2 -0.0000000
4 0 4 3 -0.0078758
4 0 4 4 0.0009957
4 1 0 0 0.0143752
4 1 1 0 0.0002778
4 1 1 1 -0.0262719
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0388140
4 1 3 0 0.0024528
4 1 3 1 0.0388090
4 1 3 2 -0.0000000
4 1 3 3 -0.0301616
4 1 4 0 -0.0019273
4 1 4 1 0.0615723
4 1 4 2 -0.0000000
4 1 4 3 -0.0239073
4 1 4 4 -0.0156533
4 2 0 0 -0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0024810
4 2 2 1 0.0668980
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 -0.0000000
4 2 3 2 0.0310727
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0735925
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.1899840
4 3 1 0 -0.0061071
4 3 1 1 0.0498099
4 3 2 0 0.0000000
4 3 2 1 -0.0000000
4 3 2 2 -0.0164290
4 3 3 0 0.0054989
4 3 3 1 -0.0718489
4 3 3 2 -0.0000000
4 3 3 3 -0.0784142
4 3 4 0 -0.0078758
4 3 4 1 -0.0239073
4 3 4 2 0.0000000
4 3 4 3 0.1327324
4 3 4 4 0.0094662
4 4 0 0 0.5758199
4 4 1 0 0.0014910
4 4 1 1 0.5061597
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4727562
4 4 3 0 -0.0001390
4 4 3 1 -0.0144220
4 4 3 2 0.0000000
4 4 3 3 0.4933974
4 4 4 0 0.0009957
4 4 4 1 -0.0156533
4 4 4 2 0.0000000
4 4 4 3 0.0094662
4 4 4 4 0.5040406
5 0 0 0 -0.2435400
5 0 1 0 -0.0255063
5 0 1 1 0.0120290
5 0 2 0 -0.0000000
5 0 2 1 0.0000000
5 0 2 2 0.0009036
5 0 3 0 -0.0160242
5 0 3 1 -0.0048435
5 0 3 2 0.0000000
5 0 3 3 -0.0106390
5 0 4 0 -0.0000787
5 0 4 1 0.0012752
5 0 4 2 0.0000000
5 0 4 3 0.0146755
5 0 4 4 -0.0033451
5 0 5 0 0.0437052
5 0 5 1 -0.0043556
5 0 5 2 0.0000000
5 0 5 3 -0.0024494
5 0 5 4 0.0012039
5 0 5 5 0.0098602
5 1 0 0 -0.2581676
5 1 1 0 0.0008490
5 1 1 1 -0.0662022
5 1 2 0 0.0000000
5 1 2 1 0.0000000
5 1 2 2 -0.0543871
5 1 3 0 -0.0066632
5 1 3 1 -0.0297672
5 1 3 2 0.0000000
5 1 3 3 -0.0764888
5 1 4 0 0.0059531
5 1 4 1 -0.0069498
5 1 4 2 0.0000000
5 1 4 3 0.0552208
5 1 4 4 -0.0215336
5 1 5 0 -0.0043556
5 1 5 1 0.0994897
5 1 5 2 0.0000000
5 1 5 3 0.0014998
5 1 5 4 0.0284251
5 1 5 5 -0.1106023
5 2 0 0 -0.0000000
5 2 1 0 -0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0043452
5 2 2 1 0.0206103
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 -0.0000000
5 2 3 2 0.0122500
5 2 3 3 -0.0000000
5 2 4 0 -0.0000000
5 2 4 1 0.0000000
5 2 4 2 0.0338586
5 2 4 3 0.0000000
5 2 4 4 0.0000000
5 2 5 0 0.0000000
5 2 5 1 0.0000000
