NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.236660
ENERGIES
-10.894379
-0.870383
-0.473665
-0.258948
0.538572
0.729203
0.778706
849736.497955
965066.354419
996478.133096
1070621.046083
1118093.629334

OEI
-18.482765	
0.217171	-4.558353	
0.000000	0.000000	-4.136921	
-0.189012	0.125397	0.000000	-4.238158	
-0.152929	0.290287	-0.000000	-0.404758	-3.090192	
-0.233983	0.890283	0.000000	0.232280	-0.157887	-3.807986	
-0.000000	0.000000	-0.782430	0.000000	-0.000000	-0.000000	-3.486637	
0.115673	0.053372	0.000000	-0.036176	0.002892	0.016709	-0.000000	849732.920689	
0.000000	-0.000000	-0.130908	0.000000	-0.000000	-0.000000	0.022630	-0.000000	965063.506178	
-0.005005	-0.022978	0.000000	-0.001959	-0.003155	0.013477	0.000000	0.001088	-0.000000	996474.925518	
-0.037933	-0.197658	0.000000	-0.070051	0.119426	-0.135504	-0.000000	0.147270	-0.000000	0.135227	1070618.516686	
0.112431	0.078601	0.000000	-0.127380	0.003161	-0.000555	0.000000	-0.837431	0.000000	0.037903	0.319798	1118089.949038	

ENV_OEI
-5.009725	
0.407824	-0.569386	
0.000000	-0.000000	-0.412716	
-0.367947	-0.080422	-0.000000	-0.594408	
-0.307740	0.301595	0.000000	0.155743	-0.713116	
-0.476621	0.022276	0.000000	-0.223803	0.311353	-0.902654	
-0.000000	-0.000000	-0.124386	-0.000000	0.000000	-0.000000	-0.451107	
0.222398	0.006592	0.000000	-0.049306	0.046527	0.017734	0.000000	-0.698587	
-0.000000	-0.000000	0.139334	0.000000	-0.000000	0.000000	-0.141670	0.000000	-0.791555	
0.015024	-0.269933	-0.000000	-0.648789	1.348868	-0.947787	-0.000000	0.125709	0.000000	-18.613214	
-0.055171	0.043163	0.000000	0.007269	-0.036456	0.068625	0.000000	-0.230130	0.000000	1.670875	-0.854189	
0.211452	-0.000848	0.000000	0.032820	-0.031405	0.047730	0.000000	0.081552	0.000000	0.179055	0.122106	-0.527012	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996651	-0.016372	0.006517	0.006517	-0.001356	0.006678	0.027501	0.000000	0.007936	-0.002256	0.000000	0.003216	
0.142777	-0.330924	-0.269127	-0.269127	0.028536	0.040276	0.317624	-0.000000	0.220038	-0.171613	0.000000	-0.288596	
0.000000	0.000000	0.450767	-0.450767	0.000000	-0.000000	0.000000	0.603931	-0.000000	-0.000000	-0.342359	-0.000000	
-0.128541	0.517918	0.124249	0.124249	0.058013	-0.241671	-0.304263	-0.000000	0.668814	-0.033554	-0.000000	-0.387554	
-0.105735	0.652077	-0.890777	-0.890777	-0.117513	0.703147	-0.239058	0.000000	0.169096	0.164680	0.000000	0.600469	
-0.167430	1.027580	-0.425289	-0.425289	0.084430	-0.514040	-0.368816	-0.000000	-0.939779	-0.283845	-0.000000	-0.686748	
-0.000000	0.000000	-0.944851	0.944851	0.000000	-0.000000	-0.000000	1.089369	-0.000000	-0.000000	0.325624	-0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012325	0.049401	-0.608823	0.000000	0.000000	0.744813	-0.000000	-0.291146	
0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	1.000000	-0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	-0.000000	-0.000000	0.053739	0.000000	0.092871	
-0.018947	0.087226	0.000000	0.000000	-0.019715	-0.850780	0.136854	0.000000	0.000000	0.334096	0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	0.000000	-0.000000	-0.509850	-0.000000	0.308002	

ERI
0 0 0 0 3.5235468
1 0 0 0 -0.1902895
1 0 1 0 0.0203071
1 0 1 1 0.0057964
1 1 0 0 0.6432594
1 1 1 0 0.0057964
1 1 1 1 0.5916416
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0091442
2 0 2 1 0.0108190
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0108190
2 1 2 1 0.1056044
2 1 2 2 0.0000000
2 2 0 0 0.6463389
2 2 1 0 -0.0006431
2 2 1 1 0.5108700
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5372062
3 0 0 0 0.1677287
3 0 1 0 -0.0129441
3 0 1 1 0.0083916
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0037966
3 0 3 0 0.0247165
3 0 3 1 0.0080058
3 0 3 2 0.0000000
3 0 3 3 -0.0091122
3 1 0 0 -0.0578022
3 1 1 0 0.0011168
3 1 1 1 0.0189427
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0199387
3 1 3 0 0.0080058
3 1 3 1 0.0607868
3 1 3 2 0.0000000
3 1 3 3 -0.0412505
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 -0.0071393
3 2 2 1 -0.0394567
3 2 2 2 -0.0000000
3 2 3 0 0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0369113
3 2 3 3 -0.0000000
3 3 0 0 0.7698799
3 3 1 0 -0.0062820
3 3 1 1 0.4873887
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4816515
3 3 3 0 -0.0091122
3 3 3 1 -0.0412505
3 3 3 2 -0.0000000
3 3 3 3 0.6238007
4 0 0 0 0.1391154
4 0 1 0 -0.0126798
4 0 1 1 0.0018011
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 0.0022133
4 0 3 0 0.0146212
4 0 3 1 0.0021900
4 0 3 2 -0.0000000
4 0 3 3 -0.0011220
4 0 4 0 0.0105671
4 0 4 1 -0.0003371
4 0 4 2 0.0000000
4 0 4 3 -0.0013803
4 0 4 4 0.0000130
4 1 0 0 -0.0841926
4 1 1 0 -0.0007808
4 1 1 1 -0.0406747
4 1 2 0 -0.0000000
4 1 2 1 -0.0000000
4 1 2 2 0.0159748
4 1 3 0 -0.0010437
4 1 3 1 -0.0200965
4 1 3 2 -0.0000000
4 1 3 3 -0.0538608
4 1 4 0 -0.0003371
4 1 4 1 0.0701605
4 1 4 2 -0.0000000
4 1 4 3 0.0063064
4 1 4 4 -0.0072670
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 0.0010898
4 2 2 1 0.0736324
4 2 2 2 0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0173952
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0816936
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.1480806
4 3 1 0 -0.0050566
4 3 1 1 -0.0218729
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0190417
4 3 3 0 -0.0083385
4 3 3 1 -0.0555016
4 3 3 2 -0.0000000
4 3 3 3 0.0913811
4 3 4 0 -0.0013803
4 3 4 1 0.0063064
4 3 4 2 0.0000000
4 3 4 3 0.0841543
4 3 4 4 -0.0329818
4 4 0 0 0.5060853
4 4 1 0 0.0017168
4 4 1 1 0.5137453
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4738002
4 4 3 0 0.0011209
4 4 3 1 0.0181259
4 4 3 2 0.0000000
4 4 3 3 0.4440226
4 4 4 0 0.0000130
4 4 4 1 -0.0072670
4 4 4 2 -0.0000000
4 4 4 3 -0.0329818
4 4 4 4 0.5183183
5 0 0 0 0.2200772
5 0 1 0 -0.0261568
5 0 1 1 -0.0118811
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 -0.0009094
5 0 3 0 0.0070676
5 0 3 1 -0.0064920
5 0 3 2 0.0000000
5 0 3 3 0.0153983
5 0 4 0 0.0125937
5 0 4 1 0.0010920
5 0 4 2 0.0000000
5 0 4 3 0.0124737
5 0 4 4 -0.0026161
5 0 5 0 0.0395427
5 0 5 1 0.0043440
5 0 5 2 -0.0000000
5 0 5 3 -0.0043259
5 0 5 4 -0.0027088
5 0 5 5 -0.0102024
5 1 0 0 -0.2643432
5 1 1 0 -0.0004120
5 1 1 1 -0.0704474
5 1 2 0 -0.0000000
5 1 2 1 0.0000000
5 1 2 2 -0.0684029
5 1 3 0 -0.0079702
5 1 3 1 0.0273892
5 1 3 2 0.0000000
5 1 3 3 -0.0880856
5 1 4 0 -0.0032263
5 1 4 1 0.0147935
5 1 4 2 0.0000000
5 1 4 3 -0.0483943
5 1 4 4 -0.0007008
5 1 5 0 0.0043440
5 1 5 1 0.1041936
5 1 5 2 0.0000000
5 1 5 3 0.0360938
5 1 5 4 -0.0352099
5 1 5 5 -0.0873057
5 2 0 0 -0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 -0.0057347
5 2 2 1 -0.0046252
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0009747
5 2 3 3 -0.0000000
5 2 4 0 -0.0000000
5 2 4 1 0.0000000
5 2 4 2 0.0166796
5 2 4 3 -0.0000000
5 2 4 4 0.0000000
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0236283
5 2 5 3 0.0000000
5 2 5 4 0.0000000
5 2 5 5 -0.0000000
5 3 0 0 -0.0851311
5 3 1 0 0.0041811
5 3 1 1 0.0199046
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 -0.0161655
5 3 3 0 -0.0025382
5 3 3 1 0.0089346
5 3 3 2 -0.0000000
5 3 3 3 -0.0340430
5 3 4 0 -0.0017998
5 3 4 1 -0.0203684
5 3 4 2 -0.0000000
5 3 4 3 -0.0377972
5 3 4 4 0.0259297
5 3 5 0 -0.0043259
5 3 5 1 0.0360938
5 3 5 2 0.0000000
5 3 5 3 0.0537645
5 3 5 4 -0.0193488
5 3 5 5 0.0018687
5 4 0 0 0.0483518
5 4 1 0 0.0012202
5 4 1 1 0.0092221
5 4 2 0 0.0000000
5 4 2 1 0.0000000
5 4 2 2 0.0316425
5 4 3 0 0.0020074
5 4 3 1 -0.0326841
5 4 3 2 -0.0000000
5 4 3 3 -0.0071406
5 4 4 0 0.0004474
5 4 4 1 0.0407694
5 4 4 2 0.0000000
5 4 4 3 0.0252819
5 4 4 4 -0.0013835
5 4 5 0 -0.0027088
5 4 5 1 -0.0352099
5 4 5 2 0.0000000
5 4 5 3 -0.0193488
5 4 5 4 0.0573094
5 4 5 5 -0.0124642
5 5 0 0 0.7922861
5 5 1 0 0.0005035
5 5 1 1 0.5771494
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.4993927
5 5 3 0 0.0183531
5 5 3 1 0.0367759
5 5 3 2 -0.0000000
5 5 3 3 0.5103246
5 5 4 0 0.0071365
5 5 4 1 -0.0640304
5 5 4 2 0.0000000
5 5 4 3 -0.0163715
5 5 4 4 0.4989686
5 5 5 0 -0.0102024
5 5 5 1 -0.0873057
5 5 5 2 -0.0000000
5 5 5 3 0.0018687
5 5 5 4 -0.0124642
5 5 5 5 0.6262797
6 0 0 0 0.0000000
6 0 1 0 -0.0000000
6 0 1 1 -0.0000000
6 0 2 0 0.0132061
6 0 2 1 0.0140194
6 0 2 2 0.0000000
6 0 3 0 0.0000000
6 0 3 1 -0.0000000
6 0 3 2 -0.0097005
6 0 3 3 0.0000000
6 0 4 0 0.0000000
6 0 4 1 0.0000000
6 0 4 2 0.0013564
6 0 4 3 0.0000000
6 0 4 4 -0.0000000
6 0 5 0 0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0072748
6 0 5 3 0.0000000
6 0 5 4 0.0000000
6 0 5 5 0.0000000
6 0 6 0 0.0191825
6 0 6 1 0.0049542
6 0 6 2 -0.0000000
6 0 6 3 -0.0098186
6 0 6 4 -0.0099906
6 0 6 5 -0.0097991
6 0 6 6 -0.0000000
6 1 0 0 -0.0000000
6 1 1 0 0.0000000
6 1 1 1 -0.0000000
6 1 2 0 0.0037821
6 1 2 1 -0.0314259
6 1 2 2 -0.0000000
6 1 3 0 -0.0000000
6 1 3 1 0.0000000
6 1 3 2 0.0019399
6 1 3 3 -0.0000000
6 1 4 0 -0.0000000
6 1 4 1 0.0000000
6 1 4 2 -0.0496841
6 1 4 3 -0.0000000
6 1 4 4 0.0000000
6 1 5 0 -0.0000000
6 1 5 1 0.0000000
6 1 5 2 -0.0232096
6 1 5 3 0.0000000
6 1 5 4 -0.0000000
6 1 5 5 -0.0000000
6 1 6 0 0.0049542
6 1 6 1 0.0419200
6 1 6 2 -0.0000000
6 1 6 3 -0.0117355
6 1 6 4 0.0511298
6 1 6 5 0.0207458
6 1 6 6 -0.0000000
6 2 0 0 0.2538941
6 2 1 0 -0.0060905
6 2 1 1 0.0128365
6 2 2 0 -0.0000000
6 2 2 1 -0.0000000
6 2 2 2 0.0425776
6 2 3 0 0.0012499
6 2 3 1 -0.0212742
6 2 3 2 -0.0000000
6 2 3 3 0.1078791
6 2 4 0 0.0028685
6 2 4 1 -0.0395329
6 2 4 2 -0.0000000
6 2 4 3 0.0583451
6 2 4 4 -0.0336544
6 2 5 0 0.0083391
6 2 5 1 -0.0703256
6 2 5 2 -0.0000000
6 2 5 3 -0.0331418
6 2 5 4 -0.0108794
6 2 5 5 0.0520186
6 2 6 0 -0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.1207915
6 2 6 3 -0.0000000
6 2 6 4 0.0000000
6 2 6 5 0.0000000
6 2 6 6 0.0454406
6 3 0 0 -0.0000000
6 3 1 0 0.0000000
6 3 1 1 0.0000000
6 3 2 0 -0.0070521
6 3 2 1 -0.0155042
6 3 2 2 -0.0000000
6 3 3 0 -0.0000000
6 3 3 1 0.0000000
6 3 3 2 0.0276024
6 3 3 3 -0.0000000
6 3 4 0 -0.0000000
6 3 4 1 -0.0000000
6 3 4 2 0.0085430
6 3 4 3 -0.0000000
6 3 4 4 0.0000000
6 3 5 0 0.0000000
6 3 5 1 0.0000000
6 3 5 2 0.0048154
6 3 5 3 0.0000000
6 3 5 4 -0.0000000
6 3 5 5 -0.0000000
6 3 6 0 -0.0098186
6 3 6 1 -0.0117355
6 3 6 2 -0.0000000
6 3 6 3 0.0309199
6 3 6 4 0.0108695
6 3 6 5 0.0016726
6 3 6 6 -0.0000000
6 4 0 0 0.0000000
6 4 1 0 0.0000000
6 4 1 1 0.0000000
6 4 2 0 -0.0072591
6 4 2 1 -0.0925377
6 4 2 2 -0.0000000
6 4 3 0 0.0000000
6 4 3 1 -0.0000000
6 4 3 2 0.0371519
6 4 3 3 0.0000000
6 4 4 0 -0.0000000
6 4 4 1 0.0000000
6 4 4 2 -0.0860849
6 4 4 3 0.0000000
6 4 4 4 0.0000000
6 4 5 0 0.0000000
6 4 5 1 -0.0000000
6 4 5 2 -0.0173407
6 4 5 3 -0.0000000
6 4 5 4 -0.0000000
6 4 5 5 -0.0000000
6 4 6 0 -0.0099906
6 4 6 1 0.0511298
6 4 6 2 0.0000000
6 4 6 3 0.0108695
6 4 6 4 0.1115883
6 4 6 5 0.0571346
6 4 6 6 0.0000000
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 0.0000000
6 5 2 0 -0.0074239
6 5 2 1 -0.0593895
6 5 2 2 -0.0000000
6 5 3 0 0.0000000
6 5 3 1 0.0000000
6 5 3 2 0.0153884
6 5 3 3 0.0000000
6 5 4 0 0.0000000
6 5 4 1 -0.0000000
6 5 4 2 -0.0457089
6 5 4 3 -0.0000000
6 5 4 4 0.0000000
6 5 5 0 -0.0000000
6 5 5 1 -0.0000000
6 5 5 2 0.0031490
6 5 5 3 0.0000000
6 5 5 4 -0.0000000
6 5 5 5 0.0000000
6 5 6 0 -0.0097991
6 5 6 1 0.0207458
6 5 6 2 0.0000000
6 5 6 3 0.0016726
6 5 6 4 0.0571346
6 5 6 5 0.0433436
6 5 6 6 0.0000000
6 6 0 0 0.7171099
6 6 1 0 -0.0056213
6 6 1 1 0.4982864
6 6 2 0 -0.0000000
6 6 2 1 -0.0000000
6 6 2 2 0.5303168
6 6 3 0 0.0041974
6 6 3 1 -0.0201659
6 6 3 2 0.0000000
6 6 3 3 0.4933596
6 6 4 0 0.0038323
6 6 4 1 0.0190668
6 6 4 2 -0.0000000
6 6 4 3 0.0294100
6 6 4 4 0.4792165
6 6 5 0 0.0060588
6 6 5 1 -0.0613214
6 6 5 2 -0.0000000
6 6 5 3 -0.0245159
6 6 5 4 0.0357191
6 6 5 5 0.5022517
6 6 6 0 -0.0000000
6 6 6 1 -0.0000000
6 6 6 2 0.0454406
6 6 6 3 -0.0000000
6 6 6 4 0.0000000
6 6 6 5 0.0000000
6 6 6 6 0.5530545
7 0 0 0 -0.0850715
7 0 1 0 0.0037458
7 0 1 1 -0.0068755
7 0 2 0 -0.0000000
7 0 2 1 -0.0000000
7 0 2 2 -0.0006027
7 0 3 0 -0.0033945
7 0 3 1 0.0049793
7 0 3 2 0.0000000
7 0 3 3 -0.0045553
7 0 4 0 -0.0032953
7 0 4 1 0.0034969
7 0 4 2 0.0000000
7 0 4 3 -0.0025351
7 0 4 4 -0.0037154
7 0 5 0 -0.0053759
7 0 5 1 0.0043280
7 0 5 2 -0.0000000
7 0 5 3 -0.0057482
7 0 5 4 -0.0033543
7 0 5 5 -0.0047386
7 0 6 0 -0.0000000
7 0 6 1 0.0000000
7 0 6 2 0.0016914
7 0 6 3 -0.0000000
7 0 6 4 -0.0000000
7 0 6 5 -0.0000000
7 0 6 6 0.0006095
7 0 7 0 0.0112593
7 0 7 1 0.0015107
7 0 7 2 -0.0000000
7 0 7 3 -0.0026158
7 0 7 4 -0.0014624
7 0 7 5 -0.0031474
7 0 7 6 -0.0000000
7 0 7 7 0.0059810
7 1 0 0 -0.0067425
7 1 1 0 -0.0008213
7 1 1 1 -0.0001793
7 1 2 0 -0.0000000
7 1 2 1 -0.0000000
7 1 2 2 0.0056544
7 1 3 0 0.0031894
7 1 3 1 0.0071382
7 1 3 2 0.0000000
7 1 3 3 -0.0109990
7 1 4 0 0.0014731
7 1 4 1 0.0072476
7 1 4 2 -0.0000000
7 1 4 3 -0.0075749
7 1 4 4 0.0012288
7 1 5 0 -0.0006026
7 1 5 1 0.0024737
7 1 5 2 0.0000000
7 1 5 3 -0.0048939
7 1 5 4 0.0011741
7 1 5 5 0.0000062
7 1 6 0 -0.0000000
7 1 6 1 0.0000000
7 1 6 2 -0.0027536
7 1 6 3 -0.0000000
7 1 6 4 0.0000000
7 1 6 5 -0.0000000
7 1 6 6 0.0046799
7 1 7 0 0.0015107
7 1 7 1 0.0101577
7 1 7 2 -0.0000000
7 1 7 3 0.0046920
7 1 7 4 -0.0069252
7 1 7 5 -0.0004649
7 1 7 6 -0.0000000
7 1 7 7 -0.0022895
7 2 0 0 -0.0000000
7 2 1 0 -0.0000000
7 2 1 1 -0.0000000
7 2 2 0 0.0048960
7 2 2 1 0.0222432
7 2 2 2 0.0000000
7 2 3 0 -0.0000000
7 2 3 1 0.0000000
7 2 3 2 -0.0119142
7 2 3 3 0.0000000
7 2 4 0 0.0000000
7 2 4 1 -0.0000000
7 2 4 2 0.0123474
7 2 4 3 -0.0000000
7 2 4 4 -0.0000000
7 2 5 0 -0.0000000
7 2 5 1 -0.0000000
7 2 5 2 -0.0042681
7 2 5 3 0.0000000
7 2 5 4 0.0000000
7 2 5 5 0.0000000
7 2 6 0 0.0069228
7 2 6 1 -0.0011019
7 2 6 2 -0.0000000
7 2 6 3 -0.0099692
7 2 6 4 -0.0181821
7 2 6 5 -0.0126066
7 2 6 6 -0.0000000
7 2 7 0 -0.0000000
7 2 7 1 -0.0000000
7 2 7 2 0.0181319
7 2 7 3 0.0000000
7 2 7 4 -0.0000000
7 2 7 5 -0.0000000
7 2 7 6 0.0158413
7 2 7 7 -0.0000000
7 3 0 0 -0.0080116
7 3 1 0 0.0043320
7 3 1 1 0.0264387
7 3 2 0 -0.0000000
7 3 2 1 0.0000000
7 3 2 2 0.0009247
7 3 3 0 0.0024587
7 3 3 1 0.0030257
7 3 3 2 0.0000000
7 3 3 3 -0.0106928
7 3 4 0 -0.0003899
7 3 4 1 -0.0091040
7 3 4 2 -0.0000000
7 3 4 3 -0.0161898
7 3 4 4 0.0151750
7 3 5 0 -0.0080160
7 3 5 1 -0.0023474
7 3 5 2 0.0000000
7 3 5 3 0.0187915
7 3 5 4 0.0025522
7 3 5 5 0.0223236
7 3 6 0 -0.0000000
7 3 6 1 0.0000000
7 3 6 2 -0.0157377
7 3 6 3 0.0000000
7 3 6 4 0.0000000
7 3 6 5 0.0000000
7 3 6 6 -0.0050201
7 3 7 0 -0.0026158
7 3 7 1 0.0046920
7 3 7 2 0.0000000
7 3 7 3 0.0265040
7 3 7 4 -0.0011333
7 3 7 5 -0.0002652
7 3 7 6 -0.0000000
7 3 7 7 0.0052722
7 4 0 0 -0.0073091
7 4 1 0 0.0021371
7 4 1 1 0.0074550
7 4 2 0 0.0000000
7 4 2 1 0.0000000
7 4 2 2 0.0037610
7 4 3 0 -0.0000261
7 4 3 1 -0.0010480
7 4 3 2 -0.0000000
7 4 3 3 -0.0052976
7 4 4 0 -0.0007333
7 4 4 1 0.0006533
7 4 4 2 -0.0000000
7 4 4 3 -0.0026764
7 4 4 4 0.0044874
7 4 5 0 -0.0033068
7 4 5 1 -0.0021101
7 4 5 2 0.0000000
7 4 5 3 0.0047989
7 4 5 4 0.0052823
7 4 5 5 0.0037842
7 4 6 0 -0.0000000
7 4 6 1 -0.0000000
7 4 6 2 -0.0060597
7 4 6 3 0.0000000
7 4 6 4 0.0000000
7 4 6 5 0.0000000
7 4 6 6 -0.0000607
7 4 7 0 -0.0014624
