NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.403271
ENERGIES
-10.872069
-0.580653
-0.487512
-0.296277
0.532074
0.742290
0.801527
849736.471475
965066.454699
996478.107518
1070621.077623
1118093.599244

OEI
-18.362573	
3 3 3 2 -0.0000000
3 3 3 3 0.5724674
4 0 0 0 0.2179525
4 0 1 0 -0.0166656
4 0 1 1 0.0167397
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 0.0000094
4 0 3 0 0.0141134
4 0 3 1 0.0000459
4 0 3 2 0.0000000
4 0 3 3 0.0040925
4 0 4 0 0.0255388
4 0 4 1 -0.0026044
4 0 4 2 -0.0000000
4 0 4 3 0.0006857
4 0 4 4 -0.0016595
4 1 0 0 -0.0568937
4 1 1 0 0.0014102
4 1 1 1 -0.0181116
4 1 2 0 -0.0000000
4 1 2 1 -0.0000000
4 1 2 2 0.0005962
4 1 3 0 0.0014040
4 1 3 1 0.0126811
4 1 3 2 0.0000000
4 1 3 3 -0.0291082
4 1 4 0 -0.0026044
4 1 4 1 0.0073087
4 1 4 2 -0.0000000
4 1 4 3 -0.0180726
4 1 4 4 0.0008393
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0015700
4 2 2 1 0.0243001
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0582763
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.1237216
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.1438373
4 3 1 0 -0.0032246
4 3 1 1 0.0489246
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0093899
4 3 3 0 -0.0097044
4 3 3 1 -0.0326272
4 3 3 2 -0.0000000
4 3 3 3 0.0900281
4 3 4 0 0.0006857
4 3 4 1 -0.0180726
4 3 4 2 -0.0000000
4 3 4 3 0.0718938
4 3 4 4 -0.0002930
4 4 0 0 0.5990372
4 4 1 0 -0.0127679
4 4 1 1 0.3566571
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5116319
4 4 3 0 0.0003216
