NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.222539
ENERGIES
-10.892639
-0.870414
-0.473149
-0.258469
0.537938
0.729107
0.779422
849736.497221
965066.352628
996478.129016
1070621.044643
1118093.628684

OEI
-18.478089	
3 3 3 3 0.6230226
4 0 0 0 -0.1382678
4 0 1 0 0.0125491
4 0 1 1 -0.0018784
4 0 2 0 -0.0000000
4 0 2 1 -0.0000000
4 0 2 2 -0.0022224
4 0 3 0 0.0146381
4 0 3 1 0.0022304
4 0 3 2 -0.0000000
4 0 3 3 0.0012218
4 0 4 0 0.0104888
4 0 4 1 -0.0003247
4 0 4 2 0.0000000
4 0 4 3 0.0014519
4 0 4 4 -0.0000186
4 1 0 0 0.0827599
4 1 1 0 0.0007772
4 1 1 1 0.0403572
4 1 2 0 -0.0000000
4 1 2 1 0.0000000
4 1 2 2 -0.0163771
4 1 3 0 -0.0009877
4 1 3 1 -0.0203399
4 1 3 2 0.0000000
4 1 3 3 0.0534601
4 1 4 0 -0.0003247
4 1 4 1 0.0699797
4 1 4 2 -0.0000000
4 1 4 3 -0.0065290
4 1 4 4 0.0075452
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0011134
4 2 2 1 -0.0736641
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0175806
4 2 3 3 -0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0816447
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.1491277
4 3 1 0 -0.0050855
4 3 1 1 -0.0221557
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0190928
4 3 3 0 0.0083115
4 3 3 1 0.0557224
4 3 3 2 -0.0000000
4 3 3 3 0.0915661
4 3 4 0 0.0014519
4 3 4 1 -0.0065290
4 3 4 2 -0.0000000
4 3 4 3 0.0850103
4 3 4 4 -0.0331379
4 4 0 0 0.5061121
4 4 1 0 0.0016822
4 4 1 1 0.5135599
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4736258
4 4 3 0 -0.0010625
4 4 3 1 -0.0181911
4 4 3 2 -0.0000000
4 4 3 3 0.4445667
4 4 4 0 -0.0000186
4 4 4 1 0.0075452
4 4 4 2 0.0000000
4 4 4 3 -0.0331379
4 4 4 4 0.5180647
5 0 0 0 -0.2206791
5 0 1 0 0.0261849
5 0 1 1 0.0118952
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0009123
5 0 3 0 0.0071726
5 0 3 1 -0.0064769
5 0 3 2 -0.0000000
5 0 3 3 -0.0153616
5 0 4 0 0.0124407
5 0 4 1 0.0010615
5 0 4 2 0.0000000
5 0 4 3 -0.0125318
5 0 4 4 0.0025417
5 0 5 0 0.0396913
5 0 5 1 0.0043540
5 0 5 2 0.0000000
5 0 5 3 0.0043045
5 0 5 4 0.0026987
5 0 5 5 0.0102158
5 1 0 0 0.2646392
5 1 1 0 0.0004200
5 1 1 1 0.0704562
5 1 2 0 -0.0000000
5 1 2 1 0.0000000
5 1 2 2 0.0682652
5 1 3 0 -0.0079693
5 1 3 1 0.0274170
5 1 3 2 0.0000000
5 1 3 3 0.0880417
5 1 4 0 -0.0032662
5 1 4 1 0.0145271
5 1 4 2 -0.0000000
5 1 4 3 0.0487226
5 1 4 4 0.0005888
5 1 5 0 0.0043540
5 1 5 1 0.1043343
5 1 5 2 -0.0000000
5 1 5 3 -0.0357405
5 1 5 4 0.0344157
5 1 5 5 0.0882444
5 2 0 0 -0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0057208
5 2 2 1 0.0042477
5 2 2 2 -0.0000000
5 2 3 0 0.0000000
5 2 3 1 -0.0000000
5 2 3 2 0.0008650
5 2 3 3 -0.0000000
5 2 4 0 -0.0000000
5 2 4 1 -0.0000000
5 2 4 2 0.0169541
5 2 4 3 -0.0000000
5 2 4 4 0.0000000
5 2 5 0 0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0237936
5 2 5 3 0.0000000
5 2 5 4 0.0000000
5 2 5 5 -0.0000000
5 3 0 0 -0.0841745
5 3 1 0 0.0041586
5 3 1 1 0.0200658
5 3 2 0 -0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0159941
5 3 3 0 0.0025486
5 3 3 1 -0.0088820
5 3 3 2 -0.0000000
5 3 3 3 -0.0333407
5 3 4 0 0.0017757
5 3 4 1 0.0206409
5 3 4 2 0.0000000
5 3 4 3 -0.0378849
5 3 4 4 0.0258464
5 3 5 0 0.0043045
5 3 5 1 -0.0357405
5 3 5 2 0.0000000
5 3 5 3 0.0534964
5 3 5 4 -0.0189661
5 3 5 5 0.0016259
5 4 0 0 0.0464778
5 4 1 0 0.0012412
5 4 1 1 0.0088031
5 4 2 0 -0.0000000
5 4 2 1 -0.0000000
5 4 2 2 0.0314105
5 4 3 0 -0.0019208
5 4 3 1 0.0328193
5 4 3 2 -0.0000000
5 4 3 3 -0.0077694
5 4 4 0 -0.0004272
5 4 4 1 -0.0411232
5 4 4 2 0.0000000
5 4 4 3 0.0250701
5 4 4 4 -0.0015868
5 4 5 0 0.0026987
5 4 5 1 0.0344157
5 4 5 2 0.0000000
5 4 5 3 -0.0189661
5 4 5 4 0.0571481
5 4 5 5 -0.0123810
5 5 0 0 0.7934668
5 5 1 0 0.0005062
5 5 1 1 0.5772948
5 5 2 0 -0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.4998127
5 5 3 0 -0.0183658
5 5 3 1 -0.0363306
5 5 3 2 -0.0000000
5 5 3 3 0.5105107
