NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HOMO	1
LUMO	1
ENT	5
HF_ENERGY	-35.684537
ENERGIES
-11.052929
-0.802629
-0.531535
-0.529192
0.752798
0.753437
0.800346
1000000.638468

OEI
-18.482119	
-0.261328	-4.537987	
-0.002458	-0.001850	-4.116333	
0.000771	0.000149	0.000447	-4.116691	
0.008902	0.032420	-0.659380	0.414535	-3.530881	
0.005269	0.017149	-0.413354	-0.660564	-0.002515	-3.530014	
-0.310451	-0.924390	-0.033564	0.003175	-0.000084	-0.000617	-3.424349	
-0.160630	0.151381	0.001260	-0.000351	0.000397	-0.000200	0.000723	999996.183978	

ENV_OEI
-4.809284	
-0.504881	-0.286336	
-0.004920	0.001483	-0.180586	
0.001499	-0.000448	0.000057	-0.178303	
0.018437	0.007685	-0.109658	0.070281	-0.255089	
0.010939	0.004063	-0.068121	-0.111394	-0.001071	-0.254432	
-0.651409	-0.237879	-0.007601	0.001002	0.004951	0.002353	-0.349296	
-0.312223	0.004326	0.002483	-0.000683	0.002274	0.000551	-0.018930	-0.259637	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996528	0.018349	-0.007009	-0.007026	-0.006995	-0.020920	-0.017452	0.003912	
0.177450	-0.451841	-0.242500	-0.247796	-0.240563	0.290238	0.246703	-0.052331	
0.001690	-0.005544	-0.250587	0.495386	-0.247911	0.337831	-0.430857	-0.136747	
-0.000512	0.001736	-0.427187	-0.000169	0.428643	0.147506	-0.055809	0.544603	
-0.006476	0.043385	-0.059009	-0.900986	0.892642	0.402408	-0.688952	-0.807877	
-0.003832	0.024956	1.023267	-0.561669	-0.500444	0.603814	-0.563736	0.779419	
0.226979	-1.506678	0.801151	0.749982	0.802305	0.426217	0.308844	-0.085192	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5230025
1 0 0 0 0.2345912
1 0 1 0 0.0286090
1 0 1 1 -0.0030297
1 1 0 0 0.6942623
1 1 1 0 -0.0030297
1 1 1 1 0.5715776
2 0 0 0 0.0022196
2 0 1 0 0.0002044
2 0 1 1 0.0001619
2 0 2 0 0.0083457
2 0 2 1 -0.0117324
2 0 2 2 0.0028019
2 1 0 0 0.0007615
2 1 1 0 0.0000577
2 1 1 1 -0.0012254
2 1 2 0 -0.0117324
2 1 2 1 0.1153901
2 1 2 2 -0.0506654
2 2 0 0 0.6402148
2 2 1 0 0.0015384
2 2 1 1 0.5089564
2 2 2 0 0.0028019
2 2 2 1 -0.0506654
2 2 2 2 0.5432247
3 0 0 0 -0.0006758
3 0 1 0 -0.0000571
3 0 1 1 -0.0000580
3 0 2 0 -0.0000120
3 0 2 1 0.0000010
3 0 2 2 -0.0000280
3 0 3 0 0.0084038
3 0 3 1 -0.0117358
3 0 3 2 -0.0030907
3 0 3 3 0.0000724
3 1 0 0 -0.0001135
3 1 1 0 -0.0000197
3 1 1 1 0.0004168
3 1 2 0 0.0000032
3 1 2 1 0.0002596
3 1 2 2 0.0002369
3 1 3 0 -0.0117358
3 1 3 1 0.1136339
3 1 3 2 0.0525764
3 1 3 3 -0.0007121
3 2 0 0 -0.0001861
3 2 1 0 -0.0000127
3 2 1 1 0.0002224
3 2 2 0 0.0000151
3 2 2 1 0.0001574
3 2 2 2 0.0001177
3 2 3 0 -0.0030907
3 2 3 1 0.0525764
3 2 3 2 0.0454759
3 2 3 3 -0.0003894
3 3 0 0 0.6412962
3 3 1 0 0.0016107
3 3 1 1 0.5074881
3 3 2 0 -0.0029602
3 3 2 1 0.0524993
3 3 2 2 0.4562215
3 3 3 0 0.0000724
3 3 3 1 -0.0007121
3 3 3 2 -0.0003894
3 3 3 3 0.5450011
4 0 0 0 -0.0084980
4 0 1 0 -0.0011365
4 0 1 1 0.0003196
4 0 2 0 0.0110614
4 0 2 1 -0.0139814
4 0 2 2 0.0029916
4 0 3 0 -0.0069602
4 0 3 1 0.0087303
4 0 3 2 0.0021394
4 0 3 3 -0.0033795
4 0 4 0 0.0206138
4 0 4 1 -0.0091399
4 0 4 2 -0.0020155
4 0 4 3 -0.0039196
4 0 4 4 0.0008579
4 1 0 0 -0.0098764
4 1 1 0 -0.0000237
4 1 1 1 -0.0032739
4 1 2 0 -0.0052951
4 1 2 1 -0.0086747
4 1 2 2 0.0200101
4 1 3 0 0.0033476
4 1 3 1 0.0047925
4 1 3 2 0.0136178
4 1 3 3 -0.0242016
4 1 4 0 -0.0091399
4 1 4 1 0.0425014
4 1 4 2 -0.0090375
4 1 4 3 -0.0098355
4 1 4 4 -0.0045309
4 2 0 0 0.2094483
4 2 1 0 0.0051007
4 2 1 1 0.0418193
4 2 2 0 -0.0022408
4 2 2 1 0.0423596
4 2 2 2 0.0276836
4 2 3 0 -0.0014601
4 2 3 1 0.0255464
4 2 3 2 0.0095234
4 2 3 3 0.0586247
4 2 4 0 -0.0020155
4 2 4 1 -0.0090375
4 2 4 2 0.0971858
4 2 4 3 -0.0367163
4 2 4 4 0.0431895
4 3 0 0 -0.1316234
4 3 1 0 -0.0031817
4 3 1 1 -0.0272178
4 3 2 0 -0.0014919
4 3 2 1 0.0255995
4 3 2 2 -0.0359884
4 3 3 0 0.0025315
4 3 3 1 -0.0402130
4 3 3 2 -0.0142978
4 3 3 3 -0.0175206
4 3 4 0 -0.0039196
4 3 4 1 -0.0098355
4 3 4 2 -0.0367163
4 3 4 3 0.0586257
4 3 4 4 -0.0316913
4 4 0 0 0.7419507
4 4 1 0 0.0071553
4 4 1 1 0.5042800
4 4 2 0 0.0004148
4 4 2 1 -0.0189825
4 4 2 2 0.5195105
4 4 3 0 -0.0008112
4 4 3 1 -0.0256432
4 4 3 2 -0.0297329
4 4 3 3 0.4855619
4 4 4 0 0.0008579
4 4 4 1 -0.0045309
4 4 4 2 0.0431895
4 4 4 3 -0.0316913
4 4 4 4 0.5626969
5 0 0 0 -0.0050132
5 0 1 0 -0.0006339
5 0 1 1 0.0000995
5 0 2 0 0.0069336
5 0 2 1 -0.0087870
5 0 2 2 0.0018484
5 0 3 0 0.0110962
5 0 3 1 -0.0139410
5 0 3 2 -0.0033742
5 0 3 3 -0.0019948
5 0 4 0 0.0000504
5 0 4 1 0.0000153
5 0 4 2 -0.0039310
5 0 4 3 0.0021626
5 0 4 4 -0.0012995
5 0 5 0 0.0205974
5 0 5 1 -0.0091516
5 0 5 2 0.0018471
5 0 5 3 0.0039856
5 0 5 4 0.0003696
5 0 5 5 0.0016041
5 1 0 0 -0.0051891
5 1 1 0 -0.0000154
5 1 1 1 -0.0018479
5 1 2 0 -0.0033149
5 1 2 1 -0.0056052
5 1 2 2 0.0125681
5 1 3 0 -0.0053227
5 1 3 1 -0.0079215
5 1 3 2 -0.0220085
5 1 3 3 -0.0148026
5 1 4 0 0.0000119
5 1 4 1 0.0002514
5 1 4 2 -0.0137717
5 1 4 3 0.0052399
5 1 4 4 0.0290389
5 1 5 0 -0.0091516
5 1 5 1 0.0423336
5 1 5 2 0.0048693
5 1 5 3 0.0100307
5 1 5 4 0.0037379
5 1 5 5 -0.0309842
5 2 0 0 0.1313249
5 2 1 0 0.0032050
5 2 1 1 0.0259557
5 2 2 0 -0.0013914
5 2 2 1 0.0260786
5 2 2 2 0.0173894
5 2 3 0 0.0023302
5 2 3 1 -0.0411654
5 2 3 2 -0.0155192
5 2 3 3 0.0369217
5 2 4 0 -0.0039364
5 2 4 1 -0.0138541
5 2 4 2 0.0380256
5 2 4 3 0.0087650
5 2 4 4 0.0391322
5 2 5 0 0.0018471
5 2 5 1 0.0048693
5 2 5 2 0.0602931
5 2 5 3 0.0367792
5 2 5 4 -0.0112777
5 2 5 5 0.0289626
5 3 0 0 0.2097824
5 3 1 0 0.0050831
5 3 1 1 0.0429610
5 3 2 0 0.0024414
5 3 2 1 -0.0413841
5 3 2 2 0.0571517
5 3 3 0 0.0015684
5 3 3 1 -0.0249902
5 3 3 2 -0.0088886
5 3 3 3 0.0284294
5 3 4 0 0.0017115
5 3 4 1 0.0041944
5 3 4 2 0.0267393
5 3 4 3 -0.0383029
5 3 4 4 0.0670503
5 3 5 0 0.0039856
5 3 5 1 0.0100307
5 3 5 2 0.0367792
5 3 5 3 0.0956154
5 3 5 4 0.0088128
5 3 5 5 0.0470931
5 4 0 0 0.0006771
5 4 1 0 0.0000163
5 4 1 1 0.0007382
5 4 2 0 -0.0000884
5 4 2 1 -0.0320230
5 4 2 2 0.0321843
5 4 3 0 0.0003927
5 4 3 1 0.0124326
5 4 3 2 0.0143954
5 4 3 3 -0.0323299
5 4 4 0 -0.0008679
5 4 4 1 0.0306451
5 4 4 2 -0.0089366
5 4 4 3 -0.0106043
5 4 4 4 0.0031790
5 4 5 0 0.0003696
5 4 5 1 0.0037379
5 4 5 2 -0.0112777
5 4 5 3 0.0088128
5 4 5 4 0.0394504
5 4 5 5 -0.0006017
5 5 0 0 0.7419023
5 5 1 0 0.0071607
5 5 1 1 0.5039848
5 5 2 0 0.0004819
5 5 2 1 0.0128223
5 5 2 2 0.4884405
5 5 3 0 0.0007581
5 5 3 1 0.0257397
5 5 3 2 0.0297084
5 5 3 3 0.5168179
5 5 4 0 -0.0003700
5 5 4 1 0.0006637
5 5 4 2 0.0654347
5 5 4 3 -0.0399499
5 5 4 4 0.4883239
5 5 5 0 0.0016041
5 5 5 1 -0.0309842
5 5 5 2 0.0289626
5 5 5 3 0.0470931
5 5 5 4 -0.0006017
5 5 5 5 0.5606077
6 0 0 0 0.2967304
6 0 1 0 0.0360874
6 0 1 1 -0.0019427
6 0 2 0 0.0007605
6 0 2 1 -0.0005572
6 0 2 2 0.0021872
6 0 3 0 -0.0001086
6 0 3 1 0.0000188
6 0 3 2 -0.0000023
6 0 3 3 0.0019798
6 0 4 0 -0.0007392
6 0 4 1 -0.0003636
6 0 4 2 0.0055668
6 0 4 3 -0.0036487
6 0 4 4 0.0081803
6 0 5 0 -0.0004294
6 0 5 1 -0.0001987
6 0 5 2 0.0034870
6 0 5 3 0.0058122
6 0 5 4 -0.0000016
6 0 5 5 0.0081963
6 0 6 0 0.0457253
6 0 6 1 0.0020513
6 0 6 2 -0.0000000
6 0 6 3 -0.0000085
6 0 6 4 -0.0003196
6 0 6 5 -0.0001909
6 0 6 6 0.0022901
6 1 0 0 0.2780648
6 1 1 0 0.0009411
6 1 1 1 0.1070686
6 1 2 0 -0.0001421
6 1 2 1 0.0002815
6 1 2 2 0.0603765
6 1 3 0 -0.0000172
6 1 3 1 -0.0001528
6 1 3 2 -0.0001048
6 1 3 3 0.0593875
6 1 4 0 -0.0002463
6 1 4 1 -0.0026333
6 1 4 2 0.0588581
6 1 4 3 -0.0372660
6 1 4 4 0.0669076
6 1 5 0 -0.0001681
6 1 5 1 -0.0012659
6 1 5 2 0.0369680
6 1 5 3 0.0594759
6 1 5 4 0.0008551
6 1 5 5 0.0661140
6 1 6 0 0.0020513
6 1 6 1 0.1030073
6 1 6 2 0.0041900
6 1 6 3 -0.0002359
6 1 6 4 -0.0009538
6 1 6 5 -0.0006092
6 1 6 6 0.0864056
6 2 0 0 0.0104846
6 2 1 0 0.0002469
6 2 1 1 0.0030009
6 2 2 0 -0.0051790
6 2 2 1 -0.0276496
6 2 2 2 0.0328985
6 2 3 0 0.0000069
6 2 3 1 -0.0001053
6 2 3 2 -0.0001403
6 2 3 3 -0.0287978
6 2 4 0 -0.0063072
6 2 4 1 0.0367132
6 2 4 2 -0.0193305
6 2 4 3 -0.0148437
6 2 4 4 0.0199134
6 2 5 0 -0.0039514
6 2 5 1 0.0230834
6 2 5 2 -0.0118562
6 2 5 3 0.0237010
6 2 5 4 0.0327842
6 2 5 5 -0.0123266
6 2 6 0 -0.0000000
6 2 6 1 0.0041900
6 2 6 2 0.0521434
6 2 6 3 -0.0000341
6 2 6 4 -0.0289429
6 2 6 5 -0.0181063
6 2 6 6 -0.0004588
6 3 0 0 -0.0009456
6 3 1 0 -0.0000231
6 3 1 1 -0.0004575
6 3 2 0 0.0000069
6 3 2 1 -0.0000953
6 3 2 2 -0.0004307
6 3 3 0 -0.0050345
6 3 3 1 -0.0301021
6 3 3 2 -0.0323317
6 3 3 3 0.0000909
6 3 4 0 0.0038131
6 3 4 1 -0.0233625
6 3 4 2 -0.0144873
6 3 4 3 0.0214145
6 3 4 4 0.0311025
6 3 5 0 -0.0060724
6 3 5 1 0.0373242
6 3 5 2 0.0229357
6 3 5 3 0.0128633
6 3 5 4 -0.0153661
6 3 5 5 -0.0316175
6 3 6 0 -0.0000085
6 3 6 1 -0.0002359
6 3 6 2 -0.0000341
6 3 6 3 0.0553502
6 3 6 4 0.0212710
6 3 6 5 -0.0337988
6 3 6 6 -0.0001566
6 4 0 0 0.0003279
6 4 1 0 0.0002602
6 4 1 1 -0.0026601
6 4 2 0 -0.0099996
6 4 2 1 0.0839947
6 4 2 2 -0.0394758
6 4 3 0 0.0062868
6 4 3 1 -0.0535112
6 4 3 2 -0.0272206
6 4 3 3 0.0412055
6 4 4 0 -0.0173285
6 4 4 1 -0.0176747
6 4 4 2 0.0231062
6 4 4 3 0.0443514
6 4 4 4 -0.0003272
6 4 5 0 -0.0000429
6 4 5 1 0.0007110
6 4 5 2 0.0462017
6 4 5 3 -0.0214636
6 4 5 4 -0.0366307
6 4 5 5 -0.0041400
6 4 6 0 -0.0003196
6 4 6 1 -0.0009538
6 4 6 2 -0.0289429
6 4 6 3 0.0212710
6 4 6 4 0.1032998
6 4 6 5 -0.0024753
6 4 6 6 0.0048993
6 5 0 0 0.0003095
