NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-22.390992
ENERGIES
-6.714161
-0.319964
0.090456
0.306238
1.034157
1.501239
1.586561
849736.814420
965066.535543
996478.245460
1070621.166552
1118093.924732

OEI
-13.416010	
3 3 3 2 -0.0000000
3 3 3 3 0.4976719
4 0 0 0 -0.2104569
4 0 1 0 0.0121188
4 0 1 1 -0.0119152
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0066885
4 0 3 0 0.0269757
4 0 3 1 0.0039711
4 0 3 2 -0.0000000
4 0 3 3 -0.0006280
4 0 4 0 0.0317810
4 0 4 1 0.0011339
4 0 4 2 0.0000000
4 0 4 3 0.0080118
4 0 4 4 0.0035319
4 1 0 0 0.0077631
4 1 1 0 0.0003655
4 1 1 1 0.0342618
4 1 2 0 -0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0320589
4 1 3 0 0.0015017
4 1 3 1 -0.0482375
4 1 3 2 0.0000000
4 1 3 3 0.0211857
4 1 4 0 0.0011339
4 1 4 1 0.0449945
4 1 4 2 0.0000000
4 1 4 3 -0.0057919
4 1 4 4 0.0066004
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0005344
4 2 2 1 -0.0595424
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0541564
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0578055
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.2143341
4 3 1 0 -0.0067538
4 3 1 1 -0.0756221
4 3 2 0 0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0165742
4 3 3 0 0.0029616
4 3 3 1 0.0464268
4 3 3 2 0.0000000
4 3 3 3 0.0142532
4 3 4 0 0.0080118
4 3 4 1 -0.0057919
4 3 4 2 0.0000000
4 3 4 3 0.1423022
4 3 4 4 0.0823269
4 4 0 0 0.7125840
4 4 1 0 -0.0065798
4 4 1 1 0.4516078
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4624460
4 4 3 0 -0.0007015
4 4 3 1 0.0119206
4 4 3 2 0.0000000
4 4 3 3 0.5000292
4 4 4 0 0.0035319
4 4 4 1 0.0066004
4 4 4 2 0.0000000
4 4 4 3 0.0823269
4 4 4 4 0.5511214
5 0 0 0 -0.0000000
5 0 1 0 0.0000000
5 0 1 1 0.0000000
5 0 2 0 0.0124821
5 0 2 1 0.0137061
5 0 2 2 -0.0000000
5 0 3 0 0.0000000
5 0 3 1 -0.0000000
5 0 3 2 0.0165898
5 0 3 3 -0.0000000
5 0 4 0 0.0000000
5 0 4 1 -0.0000000
5 0 4 2 -0.0018768
5 0 4 3 -0.0000000
5 0 4 4 -0.0000000
5 0 5 0 0.0266437
5 0 5 1 0.0023251
5 0 5 2 -0.0000000
5 0 5 3 0.0093504
5 0 5 4 0.0145637
5 0 5 5 0.0000000
5 1 0 0 0.0000000
5 1 1 0 0.0000000
5 1 1 1 0.0000000
5 1 2 0 0.0020394
5 1 2 1 -0.0323167
5 1 2 2 0.0000000
5 1 3 0 -0.0000000
5 1 3 1 0.0000000
5 1 3 2 -0.0304834
5 1 3 3 0.0000000
5 1 4 0 -0.0000000
5 1 4 1 0.0000000
5 1 4 2 0.0319111
5 1 4 3 0.0000000
5 1 4 4 0.0000000
5 1 5 0 0.0023251
5 1 5 1 0.0273382
5 1 5 2 0.0000000
5 1 5 3 0.0262221
5 1 5 4 -0.0241145
5 1 5 5 0.0000000
5 2 0 0 0.2237804
5 2 1 0 -0.0049116
5 2 1 1 -0.0184121
5 2 2 0 0.0000000
5 2 2 1 -0.0000000
5 2 2 2 0.0015381
5 2 3 0 -0.0039564
5 2 3 1 0.0012360
5 2 3 2 -0.0000000
5 2 3 3 0.0242844
5 2 4 0 -0.0042569
5 2 4 1 0.0135187
5 2 4 2 0.0000000
5 2 4 3 0.0866423
5 2 4 4 0.0568706
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.1059294
5 2 5 3 0.0000000
5 2 5 4 -0.0000000
5 2 5 5 0.0781227
5 3 0 0 0.0000000
5 3 1 0 0.0000000
5 3 1 1 0.0000000
5 3 2 0 0.0055090
5 3 2 1 -0.0233618
5 3 2 2 0.0000000
5 3 3 0 0.0000000
5 3 3 1 -0.0000000
5 3 3 2 -0.0144315
5 3 3 3 0.0000000
5 3 4 0 0.0000000
5 3 4 1 0.0000000
5 3 4 2 0.0387353
5 3 4 3 -0.0000000
5 3 4 4 0.0000000
5 3 5 0 0.0093504
5 3 5 1 0.0262221
5 3 5 2 0.0000000
5 3 5 3 0.0417836
5 3 5 4 -0.0025547
5 3 5 5 -0.0000000
5 4 0 0 -0.0000000
5 4 1 0 0.0000000
5 4 1 1 0.0000000
5 4 2 0 0.0068206
5 4 2 1 0.0561750
5 4 2 2 0.0000000
5 4 3 0 0.0000000
5 4 3 1 0.0000000
5 4 3 2 0.0693164
5 4 3 3 -0.0000000
5 4 4 0 0.0000000
5 4 4 1 -0.0000000
5 4 4 2 -0.0295640
5 4 4 3 -0.0000000
5 4 4 4 -0.0000000
5 4 5 0 0.0145637
5 4 5 1 -0.0241145
5 4 5 2 -0.0000000
5 4 5 3 -0.0025547
5 4 5 4 0.0634121
5 4 5 5 0.0000000
5 5 0 0 0.8010335
5 5 1 0 -0.0084281
5 5 1 1 0.4503650
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5154547
5 5 3 0 -0.0109684
5 5 3 1 0.0415421
5 5 3 2 0.0000000
5 5 3 3 0.4838039
5 5 4 0 -0.0109867
5 5 4 1 -0.0249024
5 5 4 2 -0.0000000
5 5 4 3 0.0588728
5 5 4 4 0.5215121
5 5 5 0 0.0000000
5 5 5 1 0.0000000
5 5 5 2 0.0781227
5 5 5 3 -0.0000000
5 5 5 4 0.0000000
5 5 5 5 0.5982569
6 0 0 0 -0.3963943
6 0 1 0 0.0323399
6 0 1 1 0.0136950
6 0 2 0 -0.0000000
6 0 2 1 -0.0000000
6 0 2 2 0.0022408
6 0 3 0 0.0323917
6 0 3 1 -0.0051440
6 0 3 2 -0.0000000
6 0 3 3 -0.0057811
6 0 4 0 0.0254617
6 0 4 1 -0.0007880
6 0 4 2 -0.0000000
6 0 4 3 -0.0234360
6 0 4 4 -0.0222505
6 0 5 0 0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0146883
6 0 5 3 -0.0000000
6 0 5 4 -0.0000000
6 0 5 5 -0.0214428
6 0 6 0 0.0896677
6 0 6 1 -0.0019293
6 0 6 2 0.0000000
