NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-37.160427
ENERGIES
-11.009701
-0.965896
-0.578389
-0.366179
0.437140
0.614962
0.677618
849736.431521
965066.237149
996477.913569
1070620.539048
1118093.860636

OEI
-18.621548	
0.212964	-4.658757	
0.000000	0.000000	-4.282833	
-0.194520	0.114091	-0.000000	-4.354055	
0.119431	-0.147167	0.000000	0.447996	-3.173894	
0.253433	-0.933122	0.000000	-0.145450	-0.013520	-3.949838	
-0.000000	0.000000	0.790468	-0.000000	-0.000000	0.000000	-3.550428	
-0.115813	-0.052464	0.000000	0.038160	0.000909	0.017372	0.000000	849732.846257	
0.000000	0.000000	0.129899	-0.000000	0.000000	0.000000	0.025118	0.000000	965063.385760	
0.005018	0.022824	0.000000	0.001027	-0.005510	0.013248	0.000000	0.001176	0.000000	996474.696021	
-0.037990	-0.201934	0.000000	-0.063565	-0.132244	0.119206	0.000000	-0.148532	0.000000	-0.136401	1070618.006869	
0.112517	0.073526	-0.000000	-0.130625	-0.003367	0.000696	-0.000000	0.840887	0.000000	-0.038089	0.320621	1118090.172284	

ENV_OEI
-5.148667	
0.400604	-0.687806	
0.000000	0.000000	-0.526542	
-0.378699	-0.110957	0.000000	-0.705096	
0.240023	-0.323607	0.000000	-0.173595	-0.890518	
0.516129	-0.054721	0.000000	0.200616	0.353781	-0.937840	
-0.000000	0.000000	0.150237	-0.000000	-0.000000	0.000000	-0.546984	
-0.219775	-0.007280	-0.000000	0.026942	0.007702	0.051193	-0.000000	-0.845508	
-0.000000	-0.000000	-0.146046	0.000000	-0.000000	-0.000000	-0.162577	0.000000	-0.911973	
-0.014947	0.319489	-0.000000	0.651192	1.453158	-0.765330	0.000000	0.148200	0.000000	-18.832680	
-0.055520	0.042061	-0.000000	0.023666	0.055316	-0.067585	0.000000	0.055929	0.000000	-1.706673	-0.874507	
0.209661	-0.021819	0.000000	0.027901	-0.000600	-0.028571	0.000000	-0.106318	0.000000	-0.166889	0.005326	-0.730806	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.996708	0.016132	-0.006476	-0.006476	0.001353	-0.006645	-0.016613	0.000000	-0.023155	-0.002253	-0.000000	0.003184	
-0.139572	0.322668	0.248466	0.248466	-0.032804	-0.018484	-0.331134	0.000000	-0.211784	0.354436	-0.000000	0.060939	
0.000000	0.000000	-0.427285	0.427285	0.000000	-0.000000	0.000000	0.630662	-0.000000	-0.000000	-0.334209	-0.000000	
0.131553	-0.516964	-0.147571	-0.147571	-0.058028	0.249717	-0.520192	0.000000	0.514370	0.368530	0.000000	-0.100867	
-0.081593	0.510191	-0.829083	-0.829083	-0.126445	0.762773	0.225398	-0.000000	-0.277303	0.703619	-0.000000	-0.039575	
-0.180454	1.107800	-0.539749	-0.539749	0.068453	-0.417321	-0.985550	-0.000000	-0.073905	-0.655797	-0.000000	-0.043510	
0.000000	-0.000000	-0.955700	0.955700	-0.000000	0.000000	0.000000	-1.074115	0.000000	0.000000	-0.333983	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049399	-0.203229	0.000000	-0.573902	-0.025821	-0.000000	0.799278	
-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-1.000000	-0.000000	
-0.000565	0.002600	0.000000	0.000000	1.025611	-0.216380	0.001361	0.000000	0.003845	0.105482	-0.000000	0.019655	
0.018948	-0.087231	-0.000000	-0.000000	0.019715	0.850777	-0.045686	0.000000	-0.129013	-0.446528	0.000000	-0.196306	
-0.081637	0.375835	0.000000	0.000000	-0.011611	0.229176	0.196837	-0.000000	0.555851	-0.120150	0.000000	0.583417	

ERI
0 0 0 0 3.5238458
1 0 0 0 -0.1859676
1 0 1 0 0.0197129
1 0 1 1 0.0061925
1 1 0 0 0.6416734
1 1 1 0 0.0061925
1 1 1 1 0.5975384
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0097968
2 0 2 1 0.0109318
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0109318
2 1 2 1 0.0984641
2 1 2 2 -0.0000000
2 2 0 0 0.6589255
2 2 1 0 -0.0008334
2 2 1 1 0.5093075
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5416993
3 0 0 0 0.1716136
3 0 1 0 -0.0126923
3 0 1 1 0.0087790
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0038427
3 0 3 0 0.0251682
3 0 3 1 0.0074890
3 0 3 2 -0.0000000
3 0 3 3 -0.0092814
3 1 0 0 -0.0534161
3 1 1 0 0.0010025
3 1 1 1 0.0214168
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0220990
3 1 3 0 0.0074890
3 1 3 1 0.0584538
3 1 3 2 -0.0000000
3 1 3 3 -0.0398039
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0079469
3 2 2 1 -0.0426329
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0418235
3 2 3 3 0.0000000
3 3 0 0 0.7707443
3 3 1 0 -0.0065511
3 3 1 1 0.4849951
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4881817
3 3 3 0 -0.0092814
3 3 3 1 -0.0398039
3 3 3 2 0.0000000
3 3 3 3 0.6254776
4 0 0 0 -0.1072619
4 0 1 0 0.0085105
4 0 1 1 -0.0038094
4 0 2 0 -0.0000000
4 0 2 1 -0.0000000
4 0 2 2 -0.0024247
4 0 3 0 -0.0137919
4 0 3 1 -0.0029692
4 0 3 2 0.0000000
4 0 3 3 0.0035261
4 0 4 0 0.0077765
4 0 4 1 0.0000011
4 0 4 2 0.0000000
4 0 4 3 -0.0030299
4 0 4 4 -0.0002480
4 1 0 0 0.0404380
4 1 1 0 0.0008440
4 1 1 1 0.0344542
4 1 2 0 -0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0248232
4 1 3 0 0.0000015
4 1 3 1 0.0261964
4 1 3 2 -0.0000000
4 1 3 3 0.0360150
4 1 4 0 0.0000011
4 1 4 1 0.0667439
4 1 4 2 -0.0000000
4 1 4 3 0.0154761
4 1 4 4 0.0184153
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0018329
4 2 2 1 -0.0696153
4 2 2 2 0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 0.0201945
4 2 3 3 -0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0745145
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.1620884
4 3 1 0 0.0058756
4 3 1 1 0.0274546
4 3 2 0 0.0000000
4 3 2 1 -0.0000000
4 3 2 2 -0.0229452
4 3 3 0 0.0077419
4 3 3 1 0.0516526
4 3 3 2 -0.0000000
4 3 3 3 -0.1002408
4 3 4 0 -0.0030299
4 3 4 1 0.0154761
4 3 4 2 0.0000000
4 3 4 3 0.0937151
4 3 4 4 0.0398807
4 4 0 0 0.5008175
4 4 1 0 0.0012330
4 4 1 1 0.5131797
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4658948
4 4 3 0 0.0006490
4 4 3 1 0.0232886
4 4 3 2 0.0000000
4 4 3 3 0.4470024
4 4 4 0 -0.0002480
4 4 4 1 0.0184153
4 4 4 2 0.0000000
4 4 4 3 0.0398807
4 4 4 4 0.5190943
5 0 0 0 -0.2371211
5 0 1 0 0.0274788
5 0 1 1 0.0119380
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0001579
5 0 3 0 -0.0097059
5 0 3 1 0.0053288
5 0 3 2 0.0000000
5 0 3 3 -0.0151739
5 0 4 0 0.0080041
5 0 4 1 0.0007448
5 0 4 2 0.0000000
5 0 4 3 0.0126982
5 0 4 4 0.0016685
5 0 5 0 0.0423142
5 0 5 1 0.0038223
5 0 5 2 0.0000000
5 0 5 3 -0.0028642
5 0 5 4 0.0015545
5 0 5 5 0.0096535
5 1 0 0 0.2761482
5 1 1 0 0.0006516
5 1 1 1 0.0731969
5 1 2 0 -0.0000000
5 1 2 1 0.0000000
5 1 2 2 0.0704554
5 1 3 0 0.0080671
5 1 3 1 -0.0247791
5 1 3 2 0.0000000
5 1 3 3 0.0960573
5 1 4 0 -0.0039523
5 1 4 1 0.0048457
5 1 4 2 -0.0000000
5 1 4 3 -0.0540119
5 1 4 4 -0.0047202
5 1 5 0 0.0038223
5 1 5 1 0.1103743
5 1 5 2 -0.0000000
5 1 5 3 0.0245788
5 1 5 4 0.0158536
5 1 5 5 0.1001723
5 2 0 0 -0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0059450
5 2 2 1 -0.0022119
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0010744
5 2 3 3 -0.0000000
5 2 4 0 -0.0000000
5 2 4 1 -0.0000000
5 2 4 2 0.0217463
5 2 4 3 0.0000000
5 2 4 4 0.0000000
5 2 5 0 0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0287435
