NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.175795
ENERGIES
-10.778073
-0.735722
-0.316142
-0.152560
0.667446
0.867566
0.925905
849736.673203
965066.477459
996478.261504
1070621.164839
1118093.815010

OEI
-18.358113	
0.221631	-4.422522	
-0.000000	0.000000	-3.945344	
-0.188478	0.151346	-0.000000	-4.144246	
0.150192	-0.312164	-0.000000	0.367541	-2.937421	
-0.230913	0.874947	0.000000	0.256844	0.182296	-3.665689	
0.000000	-0.000000	0.776645	-0.000000	-0.000000	0.000000	-3.373791	
-0.115883	-0.054492	0.000000	0.034327	0.005225	-0.014930	0.000000	849733.101569	
0.000000	-0.000000	-0.131787	0.000000	-0.000000	-0.000000	-0.019852	-0.000000	965063.633800	
-0.005005	-0.023010	-0.000000	-0.002709	0.002708	0.013339	0.000000	-0.000990	0.000000	996475.063779	
0.037993	0.196699	0.000000	0.072281	0.118189	0.136454	-0.000000	0.146742	-0.000000	-0.134146	1070618.638834	
0.112665	0.082987	-0.000000	-0.124184	-0.007593	-0.001252	-0.000000	0.836824	0.000000	0.037791	-0.319637	1118090.140476	

ENV_OEI
-4.884995	
0.416248	-0.428770	
-0.000000	0.000000	-0.250834	
-0.366785	-0.052858	-0.000000	-0.480052	
0.302893	-0.304730	-0.000000	-0.141407	-0.576362	
-0.470690	0.015046	0.000000	-0.220596	-0.308513	-0.769645	
0.000000	-0.000000	0.103896	0.000000	0.000000	0.000000	-0.308566	
-0.226023	-0.021338	0.000000	0.040601	0.049174	0.003976	0.000000	-0.516549	
-0.000000	-0.000000	0.147515	-0.000000	-0.000000	0.000000	0.137590	-0.000000	-0.663933	
0.014983	-0.259649	-0.000000	-0.614318	-1.348683	-0.971371	0.000000	-0.126682	-0.000000	-18.474953	
0.055997	-0.046538	-0.000000	-0.011078	-0.041522	-0.082053	0.000000	-0.235844	0.000000	-1.666926	-0.731815	
0.215130	0.015735	0.000000	0.041061	0.030213	0.022407	-0.000000	-0.127933	-0.000000	0.177192	-0.102771	-0.336959	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996623	-0.016470	0.006510	0.006510	-0.001354	0.006658	0.027568	0.000000	0.007763	-0.002282	0.000000	0.003205	
0.146048	-0.343566	-0.270600	-0.270600	0.027689	0.042383	0.325302	-0.000000	0.197946	-0.172251	0.000000	-0.282655	
-0.000000	0.000000	0.471732	-0.471732	0.000000	-0.000000	-0.000000	0.579479	0.000000	-0.000000	-0.349538	-0.000000	
-0.129182	0.535843	0.084583	0.084583	0.055218	-0.219371	-0.305359	-0.000000	0.674885	-0.034123	0.000000	-0.378401	
0.104460	-0.654598	0.903892	0.903892	0.117543	-0.700139	0.235411	0.000000	-0.127253	-0.159289	0.000000	-0.597988	
-0.165068	1.012526	-0.405983	-0.405983	0.086519	-0.527793	-0.363521	-0.000000	-0.946924	-0.286455	-0.000000	-0.696420	
0.000000	-0.000000	0.934560	-0.934560	-0.000000	0.000000	0.000000	-1.102570	0.000000	0.000000	-0.317905	0.000000	
-0.084288	0.388040	-0.000000	-0.000000	0.012325	-0.049401	0.608823	0.000000	-0.000000	-0.744813	-0.000000	0.291146	
0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	1.000000	0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	0.000000	-0.000000	0.053739	-0.000000	0.092871	
0.018947	-0.087225	-0.000000	-0.000000	0.019715	0.850780	-0.136854	0.000000	-0.000000	-0.334096	-0.000000	-0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229165	-0.589676	0.000000	-0.000000	-0.509850	0.000000	0.308002	

ERI
0 0 0 0 3.5233974
1 0 0 0 -0.1946290
1 0 1 0 0.0209405
1 0 1 1 0.0054559
1 1 0 0 0.6452900
1 1 1 0 0.0054559
1 1 1 1 0.5891817
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0085630
2 0 2 1 0.0105820
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0105820
2 1 2 1 0.1084442
2 1 2 2 -0.0000000
2 2 0 0 0.6350473
2 2 1 0 -0.0004946
2 2 1 1 0.5107057
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5336412
3 0 0 0 0.1687502
3 0 1 0 -0.0136885
3 0 1 1 0.0080735
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0038181
3 0 3 0 0.0250976
3 0 3 1 0.0084829
3 0 3 2 -0.0000000
3 0 3 3 -0.0093386
3 1 0 0 -0.0663400
3 1 1 0 0.0011879
3 1 1 1 0.0170731
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0179211
3 1 3 0 0.0084829
3 1 3 1 0.0636195
3 1 3 2 -0.0000000
3 1 3 3 -0.0480654
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0064713
3 2 2 1 -0.0344804
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0325763
3 2 3 3 0.0000000
3 3 0 0 0.7752844
3 3 1 0 -0.0062018
3 3 1 1 0.4893152
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4768190
3 3 3 0 -0.0093386
3 3 3 1 -0.0480654
3 3 3 2 0.0000000
3 3 3 3 0.6301424
4 0 0 0 -0.1375264
4 0 1 0 0.0131018
4 0 1 1 -0.0011769
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0019375
4 0 3 0 -0.0139788
4 0 3 1 -0.0018028
4 0 3 2 -0.0000000
4 0 3 3 0.0004832
4 0 4 0 0.0100673
4 0 4 1 -0.0003731
4 0 4 2 -0.0000000
4 0 4 3 -0.0008741
4 0 4 4 -0.0000046
4 1 0 0 0.0907950
4 1 1 0 0.0006417
4 1 1 1 0.0412624
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 -0.0167751
4 1 3 0 0.0012731
4 1 3 1 0.0174267
4 1 3 2 0.0000000
4 1 3 3 0.0571437
4 1 4 0 -0.0003731
4 1 4 1 0.0717445
4 1 4 2 0.0000000
4 1 4 3 0.0085617
4 1 4 4 0.0054263
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0013631
4 2 2 1 -0.0785372
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0145297
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0878862
4 2 4 3 -0.0000000
4 2 4 4 -0.0000000
4 3 0 0 -0.1347867
4 3 1 0 0.0044350
4 3 1 1 0.0189306
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0166485
4 3 3 0 0.0081246
4 3 3 1 0.0568605
4 3 3 2 -0.0000000
4 3 3 3 -0.0845540
4 3 4 0 -0.0008741
4 3 4 1 0.0085617
4 3 4 2 -0.0000000
4 3 4 3 0.0746431
4 3 4 4 0.0340257
4 4 0 0 0.4981690
4 4 1 0 0.0020243
4 4 1 1 0.5142317
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4756570
4 4 3 0 0.0018187
4 4 3 1 0.0224673
4 4 3 2 -0.0000000
4 4 3 3 0.4365458
4 4 4 0 -0.0000046
4 4 4 1 0.0054263
4 4 4 2 -0.0000000
4 4 4 3 0.0340257
4 4 4 4 0.5226548
5 0 0 0 0.2169084
5 0 1 0 -0.0259803
5 0 1 1 -0.0115822
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 -0.0013465
5 0 3 0 0.0066395
5 0 3 1 -0.0073154
5 0 3 2 0.0000000
5 0 3 3 0.0158787
5 0 4 0 -0.0128676
5 0 4 1 -0.0010697
5 0 4 2 0.0000000
5 0 4 3 -0.0118189
5 0 4 4 -0.0035643
5 0 5 0 0.0391096
5 0 5 1 0.0046026
5 0 5 2 -0.0000000
5 0 5 3 -0.0046154
5 0 5 4 0.0027853
5 0 5 5 -0.0103246
5 1 0 0 -0.2594148
5 1 1 0 -0.0002909
5 1 1 1 -0.0711681
5 1 2 0 -0.0000000
5 1 2 1 0.0000000
5 1 2 2 -0.0652791
5 1 3 0 -0.0080060
5 1 3 1 0.0291273
5 1 3 2 0.0000000
5 1 3 3 -0.0868036
5 1 4 0 0.0028060
5 1 4 1 -0.0157702
5 1 4 2 -0.0000000
5 1 4 3 0.0432826
5 1 4 4 0.0002041
5 1 5 0 0.0046026
5 1 5 1 0.1014055
5 1 5 2 0.0000000
5 1 5 3 0.0373562
5 1 5 4 0.0381759
5 1 5 5 -0.0854639
5 2 0 0 -0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 -0.0054424
5 2 2 1 -0.0046113
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0014361
5 2 3 3 -0.0000000
5 2 4 0 0.0000000
5 2 4 1 -0.0000000
5 2 4 2 -0.0165234
5 2 4 3 0.0000000
5 2 4 4 0.0000000
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0227881
5 2 5 3 0.0000000
5 2 5 4 -0.0000000
5 2 5 5 -0.0000000
5 3 0 0 -0.0930684
5 3 1 0 0.0043941
5 3 1 1 0.0189582
5 3 2 0 0.0000000
5 3 2 1 0.0000000
5 3 2 2 -0.0155459
5 3 3 0 -0.0023712
5 3 3 1 0.0113753
5 3 3 2 -0.0000000
5 3 3 3 -0.0403282
5 3 4 0 0.0018086
5 3 4 1 0.0173780
5 3 4 2 0.0000000
5 3 4 3 0.0373679
5 3 4 4 0.0283717
5 3 5 0 -0.0046154
5 3 5 1 0.0373562
5 3 5 2 0.0000000
5 3 5 3 0.0562728
5 3 5 4 0.0209113
5 3 5 5 -0.0000402
5 4 0 0 -0.0562583
5 4 1 0 -0.0009904
5 4 1 1 -0.0110798
5 4 2 0 -0.0000000
5 4 2 1 -0.0000000
5 4 2 2 -0.0327343
5 4 3 0 -0.0025056
5 4 3 1 0.0307774
5 4 3 2 0.0000000
5 4 3 3 0.0050280
5 4 4 0 0.0005191
5 4 4 1 0.0397438
5 4 4 2 0.0000000
5 4 4 3 0.0273351
5 4 4 4 0.0016802
5 4 5 0 0.0027853
5 4 5 1 0.0381759
5 4 5 2 -0.0000000
5 4 5 3 0.0209113
5 4 5 4 0.0574399
5 4 5 5 0.0116954
5 5 0 0 0.7928332
5 5 1 0 -0.0001573
5 5 1 1 0.5748452
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.4963345
5 5 3 0 0.0185777
5 5 3 1 0.0369582
5 5 3 2 -0.0000000
5 5 3 3 0.5124024
5 5 4 0 -0.0063302
5 5 4 1 0.0680311
5 5 4 2 -0.0000000
5 5 4 3 0.0189039
5 5 4 4 0.4990307
5 5 5 0 -0.0103246
5 5 5 1 -0.0854639
5 5 5 2 -0.0000000
5 5 5 3 -0.0000402
5 5 5 4 0.0116954
5 5 5 5 0.6285355
6 0 0 0 -0.0000000
6 0 1 0 0.0000000
6 0 1 1 0.0000000
6 0 2 0 -0.0129726
6 0 2 1 -0.0143682
6 0 2 2 0.0000000
6 0 3 0 -0.0000000
6 0 3 1 0.0000000
6 0 3 2 0.0092276
6 0 3 3 -0.0000000
6 0 4 0 0.0000000
6 0 4 1 0.0000000
6 0 4 2 0.0018192
6 0 4 3 0.0000000
6 0 4 4 0.0000000
6 0 5 0 -0.0000000
6 0 5 1 0.0000000
6 0 5 2 0.0072202
6 0 5 3 -0.0000000
6 0 5 4 0.0000000
6 0 5 5 -0.0000000
6 0 6 0 0.0197710
6 0 6 1 0.0056306
6 0 6 2 -0.0000000
6 0 6 3 -0.0104339
6 0 6 4 0.0099627
6 0 6 5 -0.0098853
6 0 6 6 0.0000000
6 1 0 0 0.0000000
6 1 1 0 0.0000000
6 1 1 1 0.0000000
6 1 2 0 -0.0040906
6 1 2 1 0.0293062
6 1 2 2 0.0000000
6 1 3 0 0.0000000
6 1 3 1 -0.0000000
6 1 3 2 0.0020785
6 1 3 3 0.0000000
6 1 4 0 -0.0000000
6 1 4 1 0.0000000
6 1 4 2 -0.0497049
6 1 4 3 -0.0000000
6 1 4 4 0.0000000
6 1 5 0 0.0000000
6 1 5 1 -0.0000000
6 1 5 2 0.0226298
6 1 5 3 -0.0000000
6 1 5 4 -0.0000000
6 1 5 5 0.0000000
6 1 6 0 0.0056306
6 1 6 1 0.0409754
6 1 6 2 -0.0000000
6 1 6 3 -0.0101368
6 1 6 4 -0.0483337
6 1 6 5 0.0176775
6 1 6 6 0.0000000
6 2 0 0 -0.2520625
6 2 1 0 0.0059956
6 2 1 1 -0.0141341
6 2 2 0 0.0000000
6 2 2 1 0.0000000
6 2 2 2 -0.0373103
6 2 3 0 -0.0012360
6 2 3 1 0.0258325
6 2 3 2 -0.0000000
6 2 3 3 -0.1095938
6 2 4 0 0.0029422
6 2 4 1 -0.0415803
6 2 4 2 0.0000000
6 2 4 3 0.0512200
6 2 4 4 0.0381004
6 2 5 0 -0.0081236
6 2 5 1 0.0683348
6 2 5 2 0.0000000
6 2 5 3 0.0364602
6 2 5 4 -0.0082690
6 2 5 5 -0.0531493
6 2 6 0 -0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.1204383
6 2 6 3 -0.0000000
6 2 6 4 0.0000000
6 2 6 5 0.0000000
6 2 6 6 -0.0502669
6 3 0 0 0.0000000
6 3 1 0 -0.0000000
6 3 1 1 -0.0000000
6 3 2 0 0.0071504
6 3 2 1 0.0211006
6 3 2 2 0.0000000
6 3 3 0 0.0000000
6 3 3 1 -0.0000000
6 3 3 2 -0.0285801
6 3 3 3 0.0000000
6 3 4 0 -0.0000000
6 3 4 1 -0.0000000
6 3 4 2 0.0024188
6 3 4 3 -0.0000000
6 3 4 4 -0.0000000
6 3 5 0 -0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0034156
6 3 5 3 -0.0000000
6 3 5 4 -0.0000000
6 3 5 5 0.0000000
6 3 6 0 -0.0104339
6 3 6 1 -0.0101368
6 3 6 2 -0.0000000
6 3 6 3 0.0325242
6 3 6 4 -0.0160539
6 3 6 5 0.0042673
6 3 6 6 0.0000000
6 4 0 0 0.0000000
