NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.276375
ENERGIES
-10.888898
-0.848219
-0.469917
-0.255144
0.559083
0.744810
0.781791
849736.509655
965066.381459
996478.163838
1070621.074267
1118093.636707

OEI
-18.513838	
3 3 3 3 0.6346854
4 0 0 0 0.1410888
4 0 1 0 -0.0130374
4 0 1 1 0.0014058
4 0 2 0 -0.0000000
4 0 2 1 -0.0000000
4 0 2 2 0.0022024
4 0 3 0 -0.0142496
4 0 3 1 -0.0019673
4 0 3 2 -0.0000000
4 0 3 3 -0.0005615
4 0 4 0 0.0106362
4 0 4 1 -0.0003972
4 0 4 2 -0.0000000
4 0 4 3 0.0009936
4 0 4 4 -0.0000101
4 1 0 0 -0.0891690
4 1 1 0 -0.0008606
4 1 1 1 -0.0421984
4 1 2 0 -0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0135808
4 1 3 0 0.0014596
4 1 3 1 0.0193942
4 1 3 2 -0.0000000
4 1 3 3 -0.0537203
4 1 4 0 -0.0003972
4 1 4 1 0.0714867
4 1 4 2 0.0000000
4 1 4 3 -0.0060486
4 1 4 4 -0.0073593
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 0.0009700
4 2 2 1 0.0721600
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 0.0160413
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0796918
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.1401825
4 3 1 0 0.0049283
4 3 1 1 0.0206754
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 -0.0193705
4 3 3 0 -0.0085802
4 3 3 1 -0.0517030
4 3 3 2 -0.0000000
4 3 3 3 -0.0923353
4 3 4 0 0.0009936
4 3 4 1 -0.0060486
4 3 4 2 0.0000000
4 3 4 3 0.0772711
4 3 4 4 0.0333794
4 4 0 0 0.5034329
4 4 1 0 0.0019906
4 4 1 1 0.5154717
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4731066
4 4 3 0 -0.0016274
4 4 3 1 -0.0187965
4 4 3 2 0.0000000
4 4 3 3 0.4383065
4 4 4 0 -0.0000101
4 4 4 1 -0.0073593
4 4 4 2 0.0000000
4 4 4 3 0.0333794
4 4 4 4 0.5210697
5 0 0 0 -0.2200652
5 0 1 0 0.0262231
5 0 1 1 0.0117191
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 0.0006514
5 0 3 0 0.0066570
5 0 3 1 -0.0062749
5 0 3 2 0.0000000
5 0 3 3 -0.0158409
5 0 4 0 -0.0134113
5 0 4 1 -0.0013577
5 0 4 2 0.0000000
5 0 4 3 0.0119116
5 0 4 4 0.0031794
5 0 5 0 0.0390288
5 0 5 1 0.0040162
5 0 5 2 0.0000000
5 0 5 3 0.0040449
5 0 5 4 -0.0024458
5 0 5 5 0.0099499
5 1 0 0 0.2645910
5 1 1 0 0.0003861
5 1 1 1 0.0701504
5 1 2 0 0.0000000
5 1 2 1 0.0000000
5 1 2 2 0.0706570
5 1 3 0 -0.0079652
5 1 3 1 0.0260933
5 1 3 2 -0.0000000
5 1 3 3 0.0919117
5 1 4 0 0.0029589
5 1 4 1 -0.0155327
5 1 4 2 -0.0000000
5 1 4 3 -0.0464409
5 1 4 4 -0.0002832
5 1 5 0 0.0040162
5 1 5 1 0.1045832
5 1 5 2 0.0000000
5 1 5 3 -0.0367049
5 1 5 4 -0.0401927
5 1 5 5 0.0811785
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 0.0060439
5 2 2 1 0.0073051
5 2 2 2 0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0019337
5 2 3 3 0.0000000
5 2 4 0 -0.0000000
5 2 4 1 -0.0000000
5 2 4 2 -0.0149168
5 2 4 3 -0.0000000
5 2 4 4 -0.0000000
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0231393
5 2 5 3 -0.0000000
5 2 5 4 0.0000000
5 2 5 5 0.0000000
5 3 0 0 -0.0871841
5 3 1 0 0.0041446
5 3 1 1 0.0178225
5 3 2 0 0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0171522
5 3 3 0 0.0028743
5 3 3 1 -0.0058987
5 3 3 2 0.0000000
5 3 3 3 -0.0371546
5 3 4 0 -0.0019822
5 3 4 1 -0.0188196
5 3 4 2 0.0000000
5 3 4 3 0.0338266
5 3 4 4 0.0262144
5 3 5 0 0.0040449
5 3 5 1 -0.0367049
5 3 5 2 -0.0000000
5 3 5 3 0.0525259
5 3 5 4 0.0213355
5 3 5 5 0.0031822
5 4 0 0 -0.0599509
5 4 1 0 -0.0010167
5 4 1 1 -0.0107178
5 4 2 0 -0.0000000
5 4 2 1 -0.0000000
5 4 2 2 -0.0332360
5 4 3 0 0.0022945
5 4 3 1 -0.0320345
5 4 3 2 -0.0000000
5 4 3 3 0.0006929
5 4 4 0 -0.0005030
5 4 4 1 -0.0400879
5 4 4 2 -0.0000000
5 4 4 3 0.0270372
5 4 4 4 0.0025574
5 4 5 0 -0.0024458
5 4 5 1 -0.0401927
5 4 5 2 0.0000000
5 4 5 3 0.0213355
5 4 5 4 0.0599809
5 4 5 5 0.0140506
5 5 0 0 0.7828872
5 5 1 0 0.0007806
5 5 1 1 0.5769651
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.4978665
5 5 3 0 -0.0184178
5 5 3 1 -0.0390939
5 5 3 2 0.0000000
5 5 3 3 0.5067677
5 5 4 0 0.0064270
5 5 4 1 -0.0690249
5 5 4 2 0.0000000
5 5 4 3 0.0196530
5 5 4 4 0.5014256
5 5 5 0 0.0099499
5 5 5 1 0.0811785
5 5 5 2 0.0000000
5 5 5 3 0.0031822
5 5 5 4 0.0140506
5 5 5 5 0.6253552
6 0 0 0 -0.0000000
6 0 1 0 0.0000000
6 0 1 1 0.0000000
6 0 2 0 -0.0133308
6 0 2 1 -0.0139878
6 0 2 2 -0.0000000
6 0 3 0 0.0000000
6 0 3 1 0.0000000
6 0 3 2 -0.0095427
6 0 3 3 -0.0000000
6 0 4 0 -0.0000000
6 0 4 1 0.0000000
6 0 4 2 -0.0011744
6 0 4 3 0.0000000
6 0 4 4 -0.0000000
6 0 5 0 0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0074835
6 0 5 3 0.0000000
6 0 5 4 0.0000000
6 0 5 5 -0.0000000
6 0 6 0 0.0188353
6 0 6 1 0.0047104
6 0 6 2 0.0000000
6 0 6 3 0.0095787
6 0 6 4 -0.0099258
6 0 6 5 0.0096177
6 0 6 6 0.0000000
6 1 0 0 0.0000000
6 1 1 0 0.0000000
6 1 1 1 0.0000000
6 1 2 0 -0.0036950
6 1 2 1 0.0327318
6 1 2 2 0.0000000
6 1 3 0 -0.0000000
6 1 3 1 -0.0000000
6 1 3 2 0.0020070
6 1 3 3 0.0000000
6 1 4 0 0.0000000
6 1 4 1 -0.0000000
6 1 4 2 0.0504980
6 1 4 3 -0.0000000
6 1 4 4 0.0000000
6 1 5 0 0.0000000
6 1 5 1 0.0000000
6 1 5 2 -0.0222280
6 1 5 3 0.0000000
6 1 5 4 -0.0000000
6 1 5 5 0.0000000
6 1 6 0 0.0047104
6 1 6 1 0.0432048
6 1 6 2 -0.0000000
6 1 6 3 0.0109277
6 1 6 4 0.0537432
6 1 6 5 -0.0209743
6 1 6 6 -0.0000000
6 2 0 0 -0.2547311
6 2 1 0 0.0061782
6 2 1 1 -0.0129790
6 2 2 0 0.0000000
6 2 2 1 -0.0000000
6 2 2 2 -0.0456200
6 2 3 0 0.0011230
6 2 3 1 -0.0197780
6 2 3 2 -0.0000000
6 2 3 3 -0.1118784
6 2 4 0 -0.0030600
6 2 4 1 0.0405951
6 2 4 2 0.0000000
6 2 4 3 0.0552918
6 2 4 4 0.0356523
6 2 5 0 0.0083538
6 2 5 1 -0.0702745
6 2 5 2 -0.0000000
6 2 5 3 0.0331786
6 2 5 4 -0.0070106
6 2 5 5 -0.0499225
6 2 6 0 0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.1207891
6 2 6 3 -0.0000000
6 2 6 4 -0.0000000
6 2 6 5 0.0000000
6 2 6 6 -0.0425748
6 3 0 0 0.0000000
6 3 1 0 -0.0000000
6 3 1 1 -0.0000000
6 3 2 0 -0.0070610
6 3 2 1 -0.0155997
6 3 2 2 0.0000000
6 3 3 0 0.0000000
6 3 3 1 0.0000000
6 3 3 2 -0.0279761
6 3 3 3 0.0000000
6 3 4 0 0.0000000
6 3 4 1 -0.0000000
6 3 4 2 0.0078549
6 3 4 3 -0.0000000
6 3 4 4 -0.0000000
6 3 5 0 -0.0000000
6 3 5 1 0.0000000
6 3 5 2 -0.0048188
6 3 5 3 -0.0000000
6 3 5 4 -0.0000000
6 3 5 5 -0.0000000
6 3 6 0 0.0095787
6 3 6 1 0.0109277
6 3 6 2 -0.0000000
6 3 6 3 0.0305603
6 3 6 4 -0.0107056
6 3 6 5 0.0020181
6 3 6 6 0.0000000
6 4 0 0 0.0000000
6 4 1 0 -0.0000000
6 4 1 1 -0.0000000
6 4 2 0 0.0074200
6 4 2 1 0.0938252
6 4 2 2 0.0000000
6 4 3 0 -0.0000000
6 4 3 1 -0.0000000
6 4 3 2 0.0358869
6 4 3 3 0.0000000
6 4 4 0 -0.0000000
6 4 4 1 0.0000000
6 4 4 2 0.0866935
6 4 4 3 -0.0000000
6 4 4 4 0.0000000
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 -0.0148185
6 4 5 3 -0.0000000
6 4 5 4 -0.0000000
6 4 5 5 0.0000000
6 4 6 0 -0.0099258
6 4 6 1 0.0537432
6 4 6 2 -0.0000000
6 4 6 3 -0.0107056
6 4 6 4 0.1147780
6 4 6 5 -0.0570251
6 4 6 6 -0.0000000
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 0.0000000
6 5 2 0 -0.0074780
6 5 2 1 -0.0582163
6 5 2 2 0.0000000
6 5 3 0 -0.0000000
6 5 3 1 0.0000000
6 5 3 2 -0.0144243
6 5 3 3 0.0000000
6 5 4 0 0.0000000
6 5 4 1 -0.0000000
6 5 4 2 -0.0435302
6 5 4 3 0.0000000
6 5 4 4 -0.0000000
6 5 5 0 0.0000000
6 5 5 1 0.0000000
6 5 5 2 -0.0044594
6 5 5 3 -0.0000000
6 5 5 4 0.0000000
6 5 5 5 0.0000000
6 5 6 0 0.0096177
6 5 6 1 -0.0209743
6 5 6 2 0.0000000
6 5 6 3 0.0020181
6 5 6 4 -0.0570251
6 5 6 5 0.0414934
6 5 6 6 0.0000000
6 6 0 0 0.7104862
6 6 1 0 -0.0054633
6 6 1 1 0.4989604
6 6 2 0 -0.0000000
6 6 2 1 -0.0000000
6 6 2 2 0.5303144
6 6 3 0 -0.0041094
6 6 3 1 0.0174842
6 6 3 2 -0.0000000
6 6 3 3 0.4927782
6 6 4 0 0.0038174
6 6 4 1 0.0190257
6 6 4 2 -0.0000000
6 6 4 3 -0.0264700
6 6 4 4 0.4800816
6 6 5 0 -0.0058252
6 6 5 1 0.0600468
6 6 5 2 0.0000000
6 6 5 3 -0.0236620
6 6 5 4 -0.0380084
6 6 5 5 0.4976692
6 6 6 0 0.0000000
6 6 6 1 -0.0000000
6 6 6 2 -0.0425748
6 6 6 3 0.0000000
6 6 6 4 -0.0000000
6 6 6 5 0.0000000
6 6 6 6 0.5507617
7 0 0 0 -0.0850727
7 0 1 0 0.0037516
7 0 1 1 -0.0068758
7 0 2 0 0.0000000
7 0 2 1 -0.0000000
7 0 2 2 -0.0005589
7 0 3 0 0.0033401
7 0 3 1 -0.0049678
7 0 3 2 -0.0000000
7 0 3 3 -0.0043955
7 0 4 0 -0.0033516
7 0 4 1 0.0035167
7 0 4 2 -0.0000000
7 0 4 3 0.0025835
7 0 4 4 -0.0037832
7 0 5 0 0.0053656
7 0 5 1 -0.0043393
7 0 5 2 0.0000000
7 0 5 3 -0.0057320
7 0 5 4 0.0033242
7 0 5 5 -0.0048293
7 0 6 0 0.0000000
7 0 6 1 -0.0000000
7 0 6 2 -0.0017065
7 0 6 3 -0.0000000
7 0 6 4 0.0000000
7 0 6 5 -0.0000000
7 0 6 6 0.0005649
7 0 7 0 0.0112589
7 0 7 1 0.0015189
7 0 7 2 0.0000000
7 0 7 3 0.0025731
7 0 7 4 -0.0014789
7 0 7 5 0.0031704
7 0 7 6 0.0000000
7 0 7 7 0.0059801
7 1 0 0 -0.0067332
7 1 1 0 -0.0007953
7 1 1 1 -0.0000214
7 1 2 0 0.0000000
7 1 2 1 0.0000000
7 1 2 2 0.0056394
7 1 3 0 -0.0032830
7 1 3 1 -0.0073087
7 1 3 2 -0.0000000
7 1 3 3 -0.0112296
7 1 4 0 0.0014155
7 1 4 1 0.0071431
7 1 4 2 0.0000000
7 1 4 3 0.0076133
7 1 4 4 0.0015110
7 1 5 0 0.0006047
7 1 5 1 -0.0024933
7 1 5 2 -0.0000000
7 1 5 3 -0.0049474
7 1 5 4 -0.0011091
7 1 5 5 -0.0000986
7 1 6 0 -0.0000000
7 1 6 1 -0.0000000
7 1 6 2 0.0027940
7 1 6 3 -0.0000000
7 1 6 4 0.0000000
7 1 6 5 -0.0000000
7 1 6 6 0.0047625
7 1 7 0 0.0015189
7 1 7 1 0.0100736
7 1 7 2 0.0000000
7 1 7 3 -0.0045681
7 1 7 4 -0.0068856
7 1 7 5 0.0004756
7 1 7 6 0.0000000
7 1 7 7 -0.0022115
7 2 0 0 0.0000000
7 2 1 0 0.0000000
7 2 1 1 -0.0000000
7 2 2 0 0.0050576
7 2 2 1 0.0224954
7 2 2 2 0.0000000
7 2 3 0 0.0000000
7 2 3 1 -0.0000000
7 2 3 2 0.0118494
7 2 3 3 -0.0000000
7 2 4 0 -0.0000000
7 2 4 1 -0.0000000
7 2 4 2 0.0121207
7 2 4 3 -0.0000000
7 2 4 4 0.0000000
7 2 5 0 0.0000000
7 2 5 1 -0.0000000
7 2 5 2 0.0048772
7 2 5 3 0.0000000
7 2 5 4 -0.0000000
7 2 5 5 0.0000000
7 2 6 0 -0.0069589
7 2 6 1 0.0013739
7 2 6 2 -0.0000000
7 2 6 3 -0.0100493
7 2 6 4 0.0184572
7 2 6 5 -0.0125364
7 2 6 6 -0.0000000
7 2 7 0 0.0000000
7 2 7 1 0.0000000
7 2 7 2 0.0185448
7 2 7 3 0.0000000
7 2 7 4 -0.0000000
7 2 7 5 0.0000000
7 2 7 6 -0.0158599
7 2 7 7 -0.0000000
7 3 0 0 0.0079049
7 3 1 0 -0.0043967
7 3 1 1 -0.0265480
7 3 2 0 -0.0000000
7 3 2 1 0.0000000
7 3 2 2 -0.0007004
7 3 3 0 0.0028137
7 3 3 1 0.0030430
7 3 3 2 -0.0000000
7 3 3 3 0.0126813
7 3 4 0 0.0005652
7 3 4 1 0.0093022
7 3 4 2 -0.0000000
7 3 4 3 -0.0157521
7 3 4 4 -0.0160920
7 3 5 0 -0.0080514
7 3 5 1 -0.0021236
7 3 5 2 0.0000000
7 3 5 3 -0.0182739
7 3 5 4 0.0019003
7 3 5 5 -0.0235129
7 3 6 0 -0.0000000
7 3 6 1 -0.0000000
7 3 6 2 -0.0158482
7 3 6 3 0.0000000
7 3 6 4 0.0000000
7 3 6 5 -0.0000000
7 3 6 6 0.0045631
7 3 7 0 0.0025731
7 3 7 1 -0.0045681
7 3 7 2 0.0000000
7 3 7 3 0.0264767
7 3 7 4 0.0010142
7 3 7 5 -0.0006620
7 3 7 6 0.0000000
7 3 7 7 -0.0055797
7 4 0 0 -0.0072997
7 4 1 0 0.0020886
7 4 1 1 0.0069069
7 4 2 0 -0.0000000
7 4 2 1 -0.0000000
7 4 2 2 0.0034581
7 4 3 0 0.0001889
7 4 3 1 0.0014905
7 4 3 2 -0.0000000
7 4 3 3 -0.0049978
7 4 4 0 -0.0008615
7 4 4 1 0.0007293
7 4 4 2 0.0000000
7 4 4 3 0.0018576
7 4 4 4 0.0044593
7 4 5 0 0.0030576
7 4 5 1 0.0020448
7 4 5 2 -0.0000000
7 4 5 3 0.0045287
7 4 5 4 -0.0051594
7 4 5 5 0.0030333
7 4 6 0 0.0000000
7 4 6 1 0.0000000
7 4 6 2 0.0058311
7 4 6 3 0.0000000
7 4 6 4 -0.0000000
7 4 6 5 0.0000000
7 4 6 6 0.0001210
7 4 7 0 -0.0014789
7 4 7 1 -0.0068856
7 4 7 2 -0.0000000
7 4 7 3 0.0010142
7 4 7 4 0.0172956
7 4 7 5 0.0143488
7 4 7 6 0.0000000
7 4 7 7 -0.0062164
7 5 0 0 0.0108470
7 5 1 0 -0.0011220
7 5 1 1 0.0022916
7 5 2 0 0.0000000
7 5 2 1 0.0000000
7 5 2 2 0.0050724
7 5 3 0 -0.0078530
7 5 3 1 -0.0184102
7 5 3 2 0.0000000
7 5 3 3 -0.0159766
7 5 4 0 0.0029956
7 5 4 1 -0.0003804
7 5 4 2 -0.0000000
7 5 4 3 0.0146629
7 5 4 4 -0.0012159
7 5 5 0 0.0029077
7 5 5 1 0.0007624
7 5 5 2 0.0000000
7 5 5 3 -0.0074833
7 5 5 4 0.0041758
7 5 5 5 0.0152155
7 5 6 0 -0.0000000
7 5 6 1 -0.0000000
7 5 6 2 -0.0036044
7 5 6 3 -0.0000000
7 5 6 4 0.0000000
7 5 6 5 -0.0000000
7 5 6 6 0.0020361
7 5 7 0 0.0031704
7 5 7 1 0.0004756
7 5 7 2 0.0000000
7 5 7 3 -0.0006620
7 5 7 4 0.0143488
7 5 7 5 0.0332905
7 5 7 6 -0.0000000
7 5 7 7 0.0181980
7 6 0 0 0.0000000
7 6 1 0 -0.0000000
7 6 1 1 -0.0000000
7 6 2 0 -0.0055659
7 6 2 1 -0.0123072
7 6 2 2 -0.0000000
7 6 3 0 -0.0000000
7 6 3 1 -0.0000000
7 6 3 2 -0.0111704
7 6 3 3 -0.0000000
7 6 4 0 0.0000000
7 6 4 1 0.0000000
7 6 4 2 -0.0006705
7 6 4 3 0.0000000
7 6 4 4 -0.0000000
7 6 5 0 -0.0000000
7 6 5 1 -0.0000000
7 6 5 2 -0.0065574
7 6 5 3 -0.0000000
7 6 5 4 0.0000000
7 6 5 5 -0.0000000
7 6 6 0 0.0077162
7 6 6 1 0.0054640
7 6 6 2 -0.0000000
7 6 6 3 0.0119904
7 6 6 4 -0.0071837
7 6 6 5 0.0064337
7 6 6 6 0.0000000
7 6 7 0 0.0000000
7 6 7 1 0.0000000
7 6 7 2 -0.0158599
7 6 7 3 0.0000000
7 6 7 4 0.0000000
7 6 7 5 -0.0000000
7 6 7 6 0.0195619
7 6 7 7 0.0000000
7 7 0 0 0.5615260
7 7 1 0 -0.0065339
7 7 1 1 0.4321536
7 7 2 0 -0.0000000
7 7 2 1 -0.0000000
7 7 2 2 0.4042085
7 7 3 0 -0.0083470
7 7 3 1 -0.0397838
7 7 3 2 0.0000000
7 7 3 3 0.4233327
7 7 4 0 0.0052508
