NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.346875
ENERGIES
-11.010958
-0.755490
-0.490686
-0.486995
0.739234
0.740283
0.765573
1000000.670343

OEI
-18.354179	
0.254610	-4.421555	
0.006060	-0.003920	-3.985497	
0.000000	-0.000000	0.000000	-3.990510	
0.062631	-0.203779	0.757652	0.000000	-3.498283	
-0.000000	0.000000	0.000000	-0.781346	-0.000000	-3.487279	
-0.301109	0.896451	0.178817	0.000000	-0.014860	0.000000	-3.393297	
0.159391	0.148957	0.003572	0.000000	0.000410	0.000000	-0.003804	999996.260361	

ENV_OEI
-4.741818	
0.493437	-0.248378	
0.012458	0.004343	-0.143912	
0.000000	0.000000	0.000000	-0.139943	
0.130091	-0.048603	0.110527	0.000000	-0.227956	
-0.000000	0.000000	0.000000	-0.121328	0.000000	-0.218127	
-0.631028	0.218917	0.030151	0.000000	0.024528	-0.000000	-0.308584	
0.313859	0.004652	0.007625	0.000000	-0.010738	0.000000	0.014833	-0.219109	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996620	0.017115	-0.006555	-0.006642	-0.006555	-0.027195	0.000000	0.000132	
-0.173925	0.452921	0.245456	0.261763	0.245456	-0.380573	0.000000	0.012654	
-0.004191	0.012542	0.261112	-0.509599	0.261112	-0.009340	0.000000	-0.547195	
-0.000000	0.000000	-0.439160	-0.000000	0.439160	-0.000000	-0.555033	-0.000000	
-0.045899	0.286751	0.328473	-1.113613	0.328473	-0.104692	-0.000000	1.087851	
0.000000	-0.000000	0.853575	0.000000	-0.853575	0.000000	-1.107022	-0.000000	
0.221068	-1.382316	0.832865	0.532064	0.832865	0.505219	0.000000	0.224849	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	-0.000000	-0.000000	

ERI
0 0 0 0 3.5234957
1 0 0 0 -0.2302100
1 0 1 0 0.0275802
1 0 1 1 0.0030178
1 1 0 0 0.6832850
1 1 1 0 0.0030178
1 1 1 1 0.5612204
2 0 0 0 -0.0054726
2 0 1 0 0.0004802
2 0 1 1 -0.0004143
2 0 2 0 0.0077929
2 0 2 1 0.0109747
2 0 2 2 -0.0023844
2 1 0 0 0.0017004
2 1 1 0 -0.0001580
2 1 1 1 -0.0035450
2 1 2 0 0.0109747
2 1 2 1 0.1161131
2 1 2 2 -0.0502000
2 2 0 0 0.6225543
2 2 1 0 -0.0012556
2 2 1 1 0.5003184
2 2 2 0 -0.0023844
2 2 2 1 -0.0502000
2 2 2 2 0.5296156
3 0 0 0 -0.0000000
3 0 1 0 0.0000000
3 0 1 1 -0.0000000
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0000000
3 0 3 0 0.0079563
3 0 3 1 0.0110166
3 0 3 2 0.0031206
3 0 3 3 0.0000000
3 1 0 0 0.0000000
3 1 1 0 -0.0000000
3 1 1 1 -0.0000000
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0000000
3 1 3 0 0.0110166
3 1 3 1 0.1114221
3 1 3 2 0.0554503
3 1 3 3 0.0000000
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 -0.0000000
3 2 2 1 -0.0000000
3 2 2 2 -0.0000000
3 2 3 0 0.0031206
3 2 3 1 0.0554503
3 2 3 2 0.0478356
3 2 3 3 0.0000000
3 3 0 0 0.6259571
3 3 1 0 -0.0014557
3 3 1 1 0.4964277
3 3 2 0 0.0027937
3 3 2 1 0.0551290
3 3 2 2 0.4456478
3 3 3 0 0.0000000
3 3 3 1 0.0000000
3 3 3 2 0.0000000
3 3 3 3 0.5348535
4 0 0 0 -0.0600146
4 0 1 0 0.0074293
4 0 1 1 0.0010771
4 0 2 0 -0.0121281
4 0 2 1 -0.0157354
4 0 2 2 0.0027470
4 0 3 0 -0.0000000
4 0 3 1 -0.0000000
4 0 3 2 0.0000000
4 0 3 3 -0.0042011
4 0 4 0 0.0214255
4 0 4 1 0.0089548
4 0 4 2 0.0039362
4 0 4 3 0.0000000
4 0 4 4 0.0041447
4 1 0 0 0.0620182
4 1 1 0 -0.0001394
4 1 1 1 0.0222003
4 1 2 0 -0.0061796
4 1 2 1 0.0102972
4 1 2 2 -0.0122728
4 1 3 0 -0.0000000
4 1 3 1 0.0000000
4 1 3 2 -0.0000000
4 1 3 3 0.0378469
4 1 4 0 0.0089548
4 1 4 1 0.0466008
4 1 4 2 -0.0375278
4 1 4 3 -0.0000000
4 1 4 4 -0.0187507
4 2 0 0 -0.2418232
4 2 1 0 0.0055269
4 2 1 1 -0.0475798
4 2 2 0 -0.0014185
4 2 2 1 -0.0533150
4 2 2 2 -0.0245541
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 0.0000000
4 2 3 3 -0.0721370
4 2 4 0 0.0039362
4 2 4 1 -0.0375278
4 2 4 2 0.1265792
4 2 4 3 0.0000000
4 2 4 4 -0.0266098
4 3 0 0 -0.0000000
4 3 1 0 0.0000000
