NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.347599
ENERGIES
-11.053808
-0.790662
-0.536200
-0.504799
0.665287
0.716016
0.734114
849736.529660
965066.338198
996477.773995
1070620.546732
1118093.980461

OEI
-18.380308	
3 3 3 1 0.0000000
3 3 3 2 -0.0000000
3 3 3 3 0.5352956
4 0 0 0 0.1303758
4 0 1 0 0.0162857
4 0 1 1 -0.0028212
4 0 2 0 0.0099285
4 0 2 1 -0.0144340
4 0 2 2 -0.0006189
4 0 3 0 -0.0000000
4 0 3 1 0.0000000
4 0 3 2 0.0000000
4 0 3 3 0.0046702
4 0 4 0 0.0254840
4 0 4 1 -0.0075676
4 0 4 2 0.0032111
4 0 4 3 -0.0000000
4 0 4 4 -0.0088602
4 1 0 0 0.1411569
4 1 1 0 0.0002015
4 1 1 1 0.0521742
4 1 2 0 -0.0058826
4 1 2 1 -0.0105137
4 1 2 2 0.0102837
4 1 3 0 0.0000000
4 1 3 1 0.0000000
4 1 3 2 0.0000000
4 1 3 3 0.0528153
4 1 4 0 -0.0075676
4 1 4 1 0.0602433
4 1 4 2 0.0565902
4 1 4 3 -0.0000000
4 1 4 4 0.0118346
4 2 0 0 0.2170814
4 2 1 0 0.0049165
4 2 1 1 0.0410223
4 2 2 0 -0.0001393
4 2 2 1 -0.0529516
4 2 2 2 0.0258191
4 2 3 0 -0.0000000
4 2 3 1 0.0000000
4 2 3 2 0.0000000
4 2 3 3 0.0735139
4 2 4 0 0.0032111
4 2 4 1 0.0565902
4 2 4 2 0.1138837
4 2 4 3 -0.0000000
4 2 4 4 0.0044342
4 3 0 0 -0.0000000
4 3 1 0 -0.0000000
4 3 1 1 -0.0000000
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0000000
4 3 3 0 -0.0042898
4 3 3 1 0.0274663
4 3 3 2 -0.0039132
4 3 3 3 -0.0000000
4 3 4 0 -0.0000000
4 3 4 1 -0.0000000
4 3 4 2 -0.0000000
4 3 4 3 0.0182786
4 3 4 4 0.0000000
4 4 0 0 0.7386154
4 4 1 0 0.0052587
4 4 1 1 0.5150881
4 4 2 0 -0.0089254
4 4 2 1 0.0990048
4 4 2 2 0.5331405
4 4 3 0 0.0000000
4 4 3 1 -0.0000000
4 4 3 2 -0.0000000
4 4 3 3 0.4245970
4 4 4 0 -0.0088602
4 4 4 1 0.0118346
4 4 4 2 0.0044342
4 4 4 3 0.0000000
4 4 4 4 0.6293500
5 0 0 0 0.0000000
5 0 1 0 0.0000000
5 0 1 1 0.0000000
5 0 2 0 -0.0000000
5 0 2 1 0.0000000
5 0 2 2 -0.0000000
5 0 3 0 -0.0128441
5 0 3 1 0.0157055
5 0 3 2 -0.0053616
5 0 3 3 0.0000000
5 0 4 0 0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0000000
5 0 4 3 0.0066777
5 0 4 4 0.0000000
5 0 5 0 0.0207109
5 0 5 1 -0.0098126
5 0 5 2 -0.0031267
5 0 5 3 0.0000000
5 0 5 4 -0.0086449
5 0 5 5 -0.0000000
5 1 0 0 0.0000000
5 1 1 0 0.0000000
5 1 1 1 0.0000000
5 1 2 0 0.0000000
5 1 2 1 0.0000000
5 1 2 2 -0.0000000
5 1 3 0 0.0065585
5 1 3 1 0.0043486
5 1 3 2 -0.0230732
5 1 3 3 0.0000000
