NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HF_ENERGY	-35.660737
ENERGIES
-11.058073
-0.803497
-0.531674
-0.528843
0.749895
0.750637
0.798877
1000000.635551

OEI
-18.480496	
-0.261039	-4.537381	
-0.002538	-0.001931	-4.116083	
0.000827	0.000225	0.000407	-4.115921	
0.010300	0.037210	-0.718343	0.299521	-3.531270	
0.003601	0.011175	-0.298502	-0.719957	-0.001969	-3.529062	
-0.310384	-0.924065	-0.035516	0.004323	-0.000566	-0.000620	-3.424051	
-0.160504	0.151051	0.001297	-0.000374	0.000327	-0.000262	0.000890	999996.184222	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996531	0.018341	-0.007012	-0.007027	-0.006999	-0.020917	-0.017446	0.003912	
0.177418	-0.451735	-0.242518	-0.248056	-0.240444	0.290049	0.246908	-0.052166	
0.001741	-0.005551	-0.254874	0.495073	-0.243953	0.339387	-0.431362	-0.131462	
-0.000551	0.001826	-0.424918	-0.004943	0.431356	0.144122	-0.051655	0.545592	
-0.007513	0.050206	0.119320	-0.986948	0.789598	0.500922	-0.777558	-0.658944	
-0.002625	0.016896	1.017755	-0.395367	-0.648734	0.524144	-0.434478	0.908878	
0.226975	-1.506610	0.801309	0.747995	0.803926	0.427292	0.307214	-0.086647	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5230180
1 0 0 0 0.2345279
1 0 1 0 0.0285967
1 0 1 1 -0.0030324
1 1 0 0 0.6942161
1 1 1 0 -0.0030324
1 1 1 1 0.5715510
2 0 0 0 0.0022888
2 0 1 0 0.0002086
2 0 1 1 0.0001718
2 0 2 0 0.0083470
2 0 2 1 -0.0117332
2 0 2 2 0.0027902
2 1 0 0 0.0007426
2 1 1 0 0.0000611
2 1 1 1 -0.0013172
2 1 2 0 -0.0117332
2 1 2 1 0.1154428
