NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.840307
ENERGIES
-10.875688
-0.834845
-0.400205
-0.242909
0.563603
0.758680
0.844466
849736.619511
965066.344268
996478.025104
1070620.633650
1118094.064852

OEI
-18.426935	
3 3 3 1 -0.0452575
3 3 3 2 -0.0000000
3 3 3 3 0.6185764
4 0 0 0 -0.1089185
4 0 1 0 -0.0091426
4 0 1 1 -0.0033919
4 0 2 0 0.0000000
4 0 2 1 -0.0000000
4 0 2 2 -0.0022676
4 0 3 0 0.0138381
4 0 3 1 -0.0029295
4 0 3 2 0.0000000
4 0 3 3 0.0032436
4 0 4 0 0.0077921
4 0 4 1 -0.0000454
4 0 4 2 -0.0000000
4 0 4 3 0.0028349
4 0 4 4 -0.0002398
4 1 0 0 -0.0480564
4 1 1 0 0.0006079
4 1 1 1 -0.0342896
4 1 2 0 -0.0000000
4 1 2 1 -0.0000000
4 1 2 2 0.0262419
4 1 3 0 -0.0001369
4 1 3 1 -0.0247452
4 1 3 2 -0.0000000
4 1 3 3 -0.0432816
4 1 4 0 -0.0000454
4 1 4 1 0.0669641
4 1 4 2 -0.0000000
4 1 4 3 0.0153493
4 1 4 4 -0.0138410
4 2 0 0 0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0020574
4 2 2 1 0.0762403
4 2 2 2 0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0197518
4 2 3 3 0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0840871
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.1584216
4 3 1 0 0.0053374
4 3 1 1 -0.0264573
4 3 2 0 0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0187615
4 3 3 0 0.0073699
4 3 3 1 -0.0596932
4 3 3 2 0.0000000
4 3 3 3 0.0919135
4 3 4 0 0.0028349
4 3 4 1 0.0153493
4 3 4 2 0.0000000
4 3 4 3 0.0926997
4 3 4 4 -0.0389675
4 4 0 0 0.4990194
4 4 1 0 -0.0012431
4 4 1 1 0.5113978
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4699270
4 4 3 0 -0.0006579
4 4 3 1 0.0243184
4 4 3 2 0.0000000
4 4 3 3 0.4477717
4 4 4 0 -0.0002398
4 4 4 1 -0.0138410
4 4 4 2 -0.0000000
4 4 4 3 -0.0389675
4 4 4 4 0.5178190
5 0 0 0 -0.2309913
5 0 1 0 -0.0269320
5 0 1 1 0.0119732
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0010584
5 0 3 0 0.0095411
5 0 3 1 0.0065081
5 0 3 2 0.0000000
5 0 3 3 -0.0151295
5 0 4 0 0.0078740
5 0 4 1 -0.0003173
5 0 4 2 -0.0000000
5 0 4 3 -0.0128769
5 0 4 4 0.0018261
5 0 5 0 0.0419995
5 0 5 1 -0.0045600
5 0 5 2 -0.0000000
5 0 5 3 0.0037554
5 0 5 4 0.0021299
5 0 5 5 0.0103181
5 1 0 0 -0.2692883
5 1 1 0 0.0005112
5 1 1 1 -0.0729454
5 1 2 0 -0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0639502
5 1 3 0 0.0080258
5 1 3 1 0.0290724
5 1 3 2 0.0000000
5 1 3 3 -0.0894306
5 1 4 0 0.0038768
5 1 4 1 0.0067050
5 1 4 2 -0.0000000
5 1 4 3 -0.0506570
5 1 4 4 0.0032099
5 1 5 0 -0.0045600
5 1 5 1 0.1063641
5 1 5 2 -0.0000000
5 1 5 3 0.0268702
5 1 5 4 -0.0148075
5 1 5 5 -0.1037643
5 2 0 0 0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 0.0052071
5 2 2 1 0.0051700
5 2 2 2 -0.0000000
5 2 3 0 0.0000000
5 2 3 1 -0.0000000
5 2 3 2 -0.0015847
5 2 3 3 0.0000000
5 2 4 0 0.0000000
5 2 4 1 -0.0000000
5 2 4 2 0.0241650
5 2 4 3 0.0000000
5 2 4 4 -0.0000000
5 2 5 0 -0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0283545
5 2 5 3 -0.0000000
5 2 5 4 -0.0000000
5 2 5 5 -0.0000000
5 3 0 0 -0.0633219
5 3 1 0 -0.0037370
5 3 1 1 0.0227303
5 3 2 0 0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0115907
5 3 3 0 0.0027465
5 3 3 1 0.0064642
5 3 3 2 0.0000000
5 3 3 3 -0.0218253
5 3 4 0 0.0011528
5 3 4 1 -0.0236726
5 3 4 2 -0.0000000
5 3 4 3 -0.0362288
5 3 4 4 0.0246264
5 3 5 0 0.0037554
5 3 5 1 0.0268702
5 3 5 2 -0.0000000
5 3 5 3 0.0464494
5 3 5 4 -0.0106683
5 3 5 5 -0.0025814
5 4 0 0 0.0009317
5 4 1 0 -0.0015118
5 4 1 1 -0.0031686
5 4 2 0 0.0000000
5 4 2 1 -0.0000000
5 4 2 2 0.0255988
5 4 3 0 0.0001211
5 4 3 1 -0.0329922
5 4 3 2 0.0000000
5 4 3 3 -0.0206840
5 4 4 0 0.0001717
5 4 4 1 0.0482239
5 4 4 2 -0.0000000
5 4 4 3 0.0196121
5 4 4 4 -0.0071913
5 4 5 0 0.0021299
5 4 5 1 -0.0148075
5 4 5 2 -0.0000000
5 4 5 3 -0.0106683
5 4 5 4 0.0549551
5 4 5 5 -0.0146482
5 5 0 0 0.8094552
5 5 1 0 -0.0003754
5 5 1 1 0.5796005
5 5 2 0 0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.5067867
5 5 3 0 -0.0185580
5 5 3 1 0.0250400
5 5 3 2 0.0000000
5 5 3 3 0.5107168
5 5 4 0 -0.0087149
5 5 4 1 -0.0389829
5 5 4 2 -0.0000000
5 5 4 3 -0.0063196
5 5 4 4 0.4959688
5 5 5 0 0.0103181
5 5 5 1 -0.1037643
5 5 5 2 -0.0000000
5 5 5 3 -0.0025814
5 5 5 4 -0.0146482
5 5 5 5 0.6250869
6 0 0 0 -0.0000000
6 0 1 0 -0.0000000
6 0 1 1 -0.0000000
6 0 2 0 -0.0130295
6 0 2 1 0.0138685
6 0 2 2 0.0000000
6 0 3 0 0.0000000
6 0 3 1 0.0000000
6 0 3 2 -0.0100229
6 0 3 3 -0.0000000
6 0 4 0 -0.0000000
6 0 4 1 0.0000000
6 0 4 2 0.0026890
6 0 4 3 -0.0000000
6 0 4 4 -0.0000000
6 0 5 0 0.0000000
6 0 5 1 0.0000000
6 0 5 2 -0.0068187
6 0 5 3 -0.0000000
6 0 5 4 -0.0000000
6 0 5 5 -0.0000000
6 0 6 0 0.0196229
6 0 6 1 -0.0053196
6 0 6 2 0.0000000
6 0 6 3 0.0104014
6 0 6 4 0.0088111
6 0 6 5 0.0108674
6 0 6 6 0.0000000
6 1 0 0 -0.0000000
6 1 1 0 0.0000000
6 1 1 1 -0.0000000
6 1 2 0 0.0039158
6 1 2 1 0.0274857
6 1 2 2 0.0000000
6 1 3 0 0.0000000
6 1 3 1 -0.0000000
6 1 3 2 -0.0006950
6 1 3 3 -0.0000000
6 1 4 0 0.0000000
6 1 4 1 0.0000000
6 1 4 2 0.0451811
6 1 4 3 0.0000000
6 1 4 4 -0.0000000
6 1 5 0 -0.0000000
6 1 5 1 0.0000000
6 1 5 2 0.0279700
6 1 5 3 -0.0000000
6 1 5 4 -0.0000000
6 1 5 5 -0.0000000
6 1 6 0 -0.0053196
6 1 6 1 0.0383395
6 1 6 2 0.0000000
6 1 6 3 -0.0120866
6 1 6 4 0.0450781
6 1 6 5 0.0234742
6 1 6 6 0.0000000
6 2 0 0 -0.2525636
6 2 1 0 -0.0059512
6 2 1 1 -0.0129352
6 2 2 0 -0.0000000
6 2 2 1 0.0000000
6 2 2 2 -0.0386158
6 2 3 0 0.0015539
6 2 3 1 0.0246142
6 2 3 2 -0.0000000
6 2 3 3 -0.1050677
6 2 4 0 0.0017073
6 2 4 1 0.0298017
6 2 4 2 -0.0000000
6 2 4 3 -0.0618367
6 2 4 4 0.0307033
6 2 5 0 0.0084966
6 2 5 1 0.0728944
6 2 5 2 0.0000000
6 2 5 3 0.0267219
6 2 5 4 0.0246013
6 2 5 5 -0.0515759
6 2 6 0 0.0000000
6 2 6 1 0.0000000
6 2 6 2 0.1205674
6 2 6 3 -0.0000000
6 2 6 4 0.0000000
6 2 6 5 0.0000000
6 2 6 6 -0.0490865
6 3 0 0 0.0000000
6 3 1 0 0.0000000
6 3 1 1 -0.0000000
6 3 2 0 -0.0072260
6 3 2 1 0.0168833
6 3 2 2 0.0000000
6 3 3 0 0.0000000
6 3 3 1 -0.0000000
6 3 3 2 -0.0281700
6 3 3 3 0.0000000
6 3 4 0 -0.0000000
6 3 4 1 0.0000000
6 3 4 2 -0.0067150
6 3 4 3 0.0000000
6 3 4 4 -0.0000000
6 3 5 0 -0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0053656
6 3 5 3 -0.0000000
6 3 5 4 -0.0000000
6 3 5 5 -0.0000000
6 3 6 0 0.0104014
6 3 6 1 -0.0120866
6 3 6 2 -0.0000000
6 3 6 3 0.0320337
6 3 6 4 0.0118008
6 3 6 5 0.0033658
6 3 6 6 0.0000000
6 4 0 0 -0.0000000
6 4 1 0 -0.0000000
6 4 1 1 -0.0000000
6 4 2 0 -0.0061365
6 4 2 1 0.0832254
6 4 2 2 -0.0000000
6 4 3 0 0.0000000
6 4 3 1 0.0000000
6 4 3 2 -0.0357221
6 4 3 3 -0.0000000
6 4 4 0 -0.0000000
6 4 4 1 -0.0000000
6 4 4 2 0.0816247
6 4 4 3 -0.0000000
6 4 4 4 -0.0000000
6 4 5 0 0.0000000
6 4 5 1 0.0000000
6 4 5 2 0.0283675
6 4 5 3 0.0000000
6 4 5 4 -0.0000000
6 4 5 5 -0.0000000
6 4 6 0 0.0088111
6 4 6 1 0.0450781
6 4 6 2 0.0000000
6 4 6 3 0.0118008
6 4 6 4 0.0981502
6 4 6 5 0.0619517
6 4 6 6 0.0000000
6 5 0 0 -0.0000000
6 5 1 0 -0.0000000
6 5 1 1 -0.0000000
6 5 2 0 -0.0079308
6 5 2 1 0.0672505
6 5 2 2 0.0000000
6 5 3 0 -0.0000000
6 5 3 1 0.0000000
6 5 3 2 -0.0196290
6 5 3 3 -0.0000000
6 5 4 0 -0.0000000
6 5 4 1 -0.0000000
6 5 4 2 0.0573606
6 5 4 3 -0.0000000
6 5 4 4 -0.0000000
6 5 5 0 0.0000000
6 5 5 1 -0.0000000
