NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.432467
ENERGIES
-10.812319
-0.808184
-0.370614
-0.213700
0.581177
0.792493
0.878333
849736.642871
965066.351881
996478.016141
1070620.638239
1118094.091399

OEI
-18.326648	
3 3 3 2 -0.0000000
3 3 3 3 0.6103943
4 0 0 0 0.1071740
4 0 1 0 -0.0086946
4 0 1 1 0.0037796
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 0.0023464
4 0 3 0 0.0141245
4 0 3 1 0.0031347
4 0 3 2 -0.0000000
4 0 3 3 -0.0036827
4 0 4 0 0.0080139
4 0 4 1 0.0001897
4 0 4 2 0.0000000
4 0 4 3 -0.0033368
4 0 4 4 0.0001705
4 1 0 0 -0.0426533
4 1 1 0 -0.0005537
4 1 1 1 -0.0328259
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 0.0282193
4 1 3 0 0.0004554
4 1 3 1 -0.0263968
4 1 3 2 0.0000000
4 1 3 3 -0.0431918
4 1 4 0 0.0001897
4 1 4 1 0.0667390
4 1 4 2 -0.0000000
4 1 4 3 0.0160018
4 1 4 4 -0.0144133
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 0.0020956
4 2 2 1 0.0768184
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0213486
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0844878
4 2 4 3 0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.1650848
4 3 1 0 -0.0054001
4 3 1 1 -0.0292141
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 0.0179467
4 3 3 0 -0.0071898
4 3 3 1 -0.0627768
4 3 3 2 -0.0000000
4 3 3 3 0.0908738
4 3 4 0 -0.0033368
4 3 4 1 0.0160018
4 3 4 2 0.0000000
4 3 4 3 0.0996648
4 3 4 4 -0.0372881
4 4 0 0 0.5057862
4 4 1 0 0.0009196
4 4 1 1 0.5104711
4 4 2 0 -0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4705022
4 4 3 0 0.0003423
4 4 3 1 0.0233592
4 4 3 2 0.0000000
4 4 3 3 0.4543947
4 4 4 0 0.0001705
4 4 4 1 -0.0144133
4 4 4 2 -0.0000000
4 4 4 3 -0.0372881
4 4 4 4 0.5148605
5 0 0 0 0.2331477
5 0 1 0 -0.0266694
5 0 1 1 -0.0120316
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 -0.0012294
5 0 3 0 0.0102728
5 0 3 1 -0.0064870
5 0 3 2 -0.0000000
5 0 3 3 0.0146540
5 0 4 0 0.0071653
5 0 4 1 0.0000711
5 0 4 2 0.0000000
5 0 4 3 0.0133703
5 0 4 4 -0.0011846
5 0 5 0 0.0427221
5 0 5 1 0.0046980
5 0 5 2 0.0000000
5 0 5 3 -0.0037775
5 0 5 4 -0.0022177
5 0 5 5 -0.0104831
5 1 0 0 -0.2673307
5 1 1 0 -0.0005442
5 1 1 1 -0.0711917
5 1 2 0 -0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0616796
5 1 3 0 -0.0078760
5 1 3 1 0.0296544
5 1 3 2 0.0000000
5 1 3 3 -0.0867189
5 1 4 0 -0.0041402
5 1 4 1 0.0058053
5 1 4 2 -0.0000000
5 1 4 3 -0.0519569
5 1 4 4 0.0008793
5 1 5 0 0.0046980
5 1 5 1 0.1052883
5 1 5 2 0.0000000
5 1 5 3 0.0242512
5 1 5 4 -0.0097338
5 1 5 5 -0.1080841
5 2 0 0 -0.0000000
5 2 1 0 -0.0000000
5 2 1 1 -0.0000000
5 2 2 0 -0.0050333
5 2 2 1 0.0073793
5 2 2 2 -0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 -0.0024841
5 2 3 3 -0.0000000
5 2 4 0 -0.0000000
5 2 4 1 -0.0000000
5 2 4 2 0.0255888
5 2 4 3 -0.0000000
5 2 4 4 -0.0000000
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0294379
5 2 5 3 0.0000000
5 2 5 4 0.0000000
5 2 5 5 -0.0000000
5 3 0 0 -0.0567956
5 3 1 0 0.0036142
5 3 1 1 0.0245580
5 3 2 0 0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0101546
5 3 3 0 -0.0025988
5 3 3 1 0.0073478
5 3 3 2 0.0000000
5 3 3 3 -0.0170998
5 3 4 0 -0.0010067
5 3 4 1 -0.0246695
5 3 4 2 -0.0000000
5 3 4 3 -0.0369115
5 3 4 4 0.0229342
5 3 5 0 -0.0037775
5 3 5 1 0.0242512
5 3 5 2 0.0000000
5 3 5 3 0.0453926
5 3 5 4 -0.0083720
5 3 5 5 -0.0028163
5 4 0 0 -0.0099499
5 4 1 0 0.0016642
5 4 1 1 -0.0046426
5 4 2 0 -0.0000000
5 4 2 1 -0.0000000
5 4 2 2 0.0242274
5 4 3 0 -0.0005256
5 4 3 1 -0.0329822
5 4 3 2 0.0000000
5 4 3 3 -0.0243470
5 4 4 0 -0.0003109
5 4 4 1 0.0474589
5 4 4 2 -0.0000000
5 4 4 3 0.0165581
5 4 4 4 -0.0065683
5 4 5 0 -0.0022177
5 4 5 1 -0.0097338
5 4 5 2 0.0000000
5 4 5 3 -0.0083720
5 4 5 4 0.0530632
5 4 5 5 -0.0145933
5 5 0 0 0.8175977
5 5 1 0 0.0002446
5 5 1 1 0.5784555
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5086147
5 5 3 0 0.0185166
5 5 3 1 0.0216013
5 5 3 2 -0.0000000
5 5 3 3 0.5123788
5 5 4 0 0.0094775
5 5 4 1 -0.0334809
5 5 4 2 0.0000000
5 5 4 3 -0.0027530
5 5 4 4 0.4950238
5 5 5 0 -0.0104831
5 5 5 1 -0.1080841
5 5 5 2 -0.0000000
5 5 5 3 -0.0028163
5 5 5 4 -0.0145933
5 5 5 5 0.6291605
6 0 0 0 0.0000000
6 0 1 0 0.0000000
6 0 1 1 0.0000000
6 0 2 0 -0.0129210
6 0 2 1 -0.0137857
6 0 2 2 0.0000000
6 0 3 0 0.0000000
6 0 3 1 0.0000000
6 0 3 2 0.0102204
6 0 3 3 0.0000000
6 0 4 0 -0.0000000
6 0 4 1 -0.0000000
6 0 4 2 -0.0027937
6 0 4 3 0.0000000
6 0 4 4 0.0000000
6 0 5 0 -0.0000000
6 0 5 1 -0.0000000
6 0 5 2 0.0067191
6 0 5 3 -0.0000000
6 0 5 4 0.0000000
6 0 5 5 0.0000000
6 0 6 0 0.0198969
6 0 6 1 0.0053556
6 0 6 2 -0.0000000
6 0 6 3 -0.0105822
6 0 6 4 -0.0088225
6 0 6 5 -0.0111202
6 0 6 6 -0.0000000
6 1 0 0 0.0000000
6 1 1 0 0.0000000
6 1 1 1 0.0000000
6 1 2 0 -0.0038629
6 1 2 1 0.0275143
6 1 2 2 0.0000000
6 1 3 0 0.0000000
6 1 3 1 -0.0000000
6 1 3 2 -0.0013061
6 1 3 3 0.0000000
6 1 4 0 -0.0000000
6 1 4 1 0.0000000
6 1 4 2 0.0446637
6 1 4 3 0.0000000
6 1 4 4 -0.0000000
6 1 5 0 -0.0000000
6 1 5 1 -0.0000000
6 1 5 2 0.0286935
6 1 5 3 -0.0000000
6 1 5 4 0.0000000
6 1 5 5 0.0000000
6 1 6 0 0.0053556
6 1 6 1 0.0378312
6 1 6 2 0.0000000
6 1 6 3 -0.0128908
6 1 6 4 0.0435502
6 1 6 5 0.0235840
6 1 6 6 0.0000000
6 2 0 0 -0.2516061
6 2 1 0 0.0058077
6 2 1 1 -0.0113084
6 2 2 0 -0.0000000
6 2 2 1 -0.0000000
6 2 2 2 -0.0361827
6 2 3 0 -0.0016810
6 2 3 1 0.0251985
6 2 3 2 0.0000000
6 2 3 3 -0.1016170
6 2 4 0 -0.0015392
6 2 4 1 0.0286251
6 2 4 2 -0.0000000
6 2 4 3 -0.0646940
6 2 4 4 0.0271576
6 2 5 0 -0.0085125
6 2 5 1 0.0726750
6 2 5 2 0.0000000
6 2 5 3 0.0248251
6 2 5 4 0.0277936
6 2 5 5 -0.0529104
6 2 6 0 -0.0000000
6 2 6 1 0.0000000
6 2 6 2 0.1203051
6 2 6 3 -0.0000000
6 2 6 4 0.0000000
6 2 6 5 0.0000000
6 2 6 6 -0.0512780
6 3 0 0 0.0000000
6 3 1 0 -0.0000000
6 3 1 1 -0.0000000
6 3 2 0 0.0072022
6 3 2 1 0.0160964
6 3 2 2 0.0000000
6 3 3 0 -0.0000000
6 3 3 1 -0.0000000
6 3 3 2 -0.0277380
6 3 3 3 0.0000000
6 3 4 0 0.0000000
6 3 4 1 0.0000000
6 3 4 2 -0.0078841
6 3 4 3 0.0000000
6 3 4 4 -0.0000000
6 3 5 0 0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0059236
6 3 5 3 -0.0000000
6 3 5 4 0.0000000
6 3 5 5 -0.0000000
6 3 6 0 -0.0105822
6 3 6 1 -0.0128908
6 3 6 2 -0.0000000
6 3 6 3 0.0323170
6 3 6 4 0.0114424
6 3 6 5 0.0029603
6 3 6 6 0.0000000
6 4 0 0 -0.0000000
6 4 1 0 0.0000000
6 4 1 1 -0.0000000
6 4 2 0 0.0060005
6 4 2 1 0.0817579
6 4 2 2 -0.0000000
6 4 3 0 -0.0000000
6 4 3 1 0.0000000
6 4 3 2 -0.0372602
6 4 3 3 -0.0000000
6 4 4 0 0.0000000
6 4 4 1 -0.0000000
6 4 4 2 0.0795327
6 4 4 3 -0.0000000
6 4 4 4 -0.0000000
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 0.0298630
6 4 5 3 0.0000000
6 4 5 4 -0.0000000
